,sun_male,sun_female,tuple,microsystems_male,microsystems_female,average_male,average_female,female-male
75,6.1621914,6.411914,"('confident', 'shy')",3.4945388,3.5394564,4.828365325927734,4.975685119628906,0.14731979370117188
27,-5.6649513,-5.634954,"('sincere', 'insincere')",-0.85308874,-1.0324183,-3.2590200901031494,-3.333686113357544,-0.07466602325439453
6,4.974481,4.84243,"('liked', 'disliked')",1.5257366,1.7794185,3.2501087188720703,3.3109242916107178,0.06081557273864746
95,-4.700275,-4.938196,"('rich', 'poor')",-0.9411118,-1.1804111,-2.8206934928894043,-3.0593037605285645,-0.23861026763916016
40,-3.9581861,-4.370853,"('honorable', 'mean')",-1.3770539,-1.6975367,-2.6676199436187744,-3.0341949462890625,-0.3665750026702881
53,-3.8417163,-3.8202395,"('smart', 'stupid')",-1.2228285,-1.4804476,-2.5322723388671875,-2.650343656539917,-0.11807131767272949
78,2.4960756,2.2315059,"('active', 'inactive')",1.4252148,1.1833982,1.9606451988220215,1.7074520587921143,-0.2531931400299072
13,-2.4863474,-2.3223414,"('helpful', 'unhelpful')",-0.20668823,-0.34295106,-1.34651780128479,-1.3326462507247925,0.013871550559997559
86,2.4775033,2.4910445,"('self-reliant', 'helpless')",-0.22710545,-0.12791628,1.1251989603042603,1.1815640926361084,0.056365132331848145
38,-2.3723993,-2.0711112,"('kind', 'unkind')",0.12102863,0.111200206,-1.1256853342056274,-0.9799554944038391,0.14572983980178833
50,2.3710952,2.1601458,"('unprejudiced', 'prejudiced')",0.08241825,-0.08820477,1.2267566919326782,1.0359704494476318,-0.1907862424850464
81,2.279881,1.9914279,"('industrious', 'lazy')",-1.2676356,-1.2731003,0.5061227083206177,0.3591638207435608,-0.14695888757705688
66,2.1479409,2.2896929,"('imaginative', 'unimaginative')",2.1212883,2.239583,2.1346144676208496,2.2646379470825195,0.13002347946166992
46,2.133215,2.12736,"('generous', 'stingy')",-0.15525977,-0.032279193,0.9889776110649109,1.0475404262542725,0.05856281518936157
58,-2.126647,-1.8442312,"('able', 'clumsy')",0.32743979,0.33125904,-0.8996036052703857,-0.7564861178398132,0.1431174874305725
37,1.9891273,1.862982,"('good', 'evil')",-0.77832395,-0.6757056,0.6054016351699829,0.5936381816864014,-0.011763453483581543
29,-1.9324278,-1.9255956,"('honest', 'immoral')",0.71645844,0.61675376,-0.6079846620559692,-0.6544209718704224,-0.046436309814453125
48,1.930884,1.9998488,"('reliable', 'unreliable')",2.1327987,1.9124963,2.031841278076172,1.9561725854873657,-0.07566869258880615
3,1.8022902,1.8108879,"('likable', 'unlikable')",1.1008124,1.107657,1.4515513181686401,1.4592723846435547,0.007721066474914551
34,-1.7942322,-1.6058326,"('loyal', 'disloyal')",0.09551585,0.24766773,-0.8493582010269165,-0.6790823936462402,0.17027580738067627
102,-1.6460404,-1.508444,"('eminent', 'low')",0.40126994,0.41135484,-0.6223852634429932,-0.5485445261001587,0.07384073734283447
32,-1.616895,-1.2815039,"('benevolent', 'hardhearted')",-2.4450557,-2.2531848,-2.030975341796875,-1.767344355583191,0.2636309862136841
56,1.525783,1.6229036,"('intelligent', 'dumb')",1.4129069,1.2760642,1.4693448543548584,1.449483871459961,-0.01986098289489746
88,1.5190585,1.4893389,"('impulsive', 'meek')",0.23604289,0.29175353,0.8775506615638733,0.8905462026596069,0.012995541095733643
11,-1.518738,-1.3158947,"('caring', 'unaffectionate')",-1.4044882,-1.2530814,-1.4616131782531738,-1.2844880819320679,0.17712509632110596
7,1.5052507,1.3858047,"('outgoing', 'distant')",-0.71747,-0.73032343,0.3938903510570526,0.3277406096458435,-0.0661497414112091
9,-1.4819568,-1.5160495,"('sensitive', 'insensitive')",0.40944844,0.29039901,-0.5362541675567627,-0.6128252744674683,-0.07657110691070557
55,-1.4759479,-1.3994102,"('intelligent', 'unintelligent')",-0.49780655,-0.34123397,-0.9868772029876709,-0.8703221082687378,0.1165550947189331
77,1.4347681,1.5509183,"('active', 'inactive')",0.5249699,0.52053523,0.97986900806427,1.03572678565979,0.05585777759552002
