,mettler_male,mettler_female,tuple,toledo_male,toledo_female,international_male,international_female,average_male,average_female,female-male
75,2.680784,2.2537985,"('confident', 'shy')",4.91623,5.462688,4.4129763,4.6069536,4.003330230712891,4.1078135172526045,0.10448328653971384
76,1.9777424,2.1941228,"('secure', 'insecure')",0.5321977,0.099473774,-1.1052368,-0.76828873,0.46823445955912274,0.5084359248479208,0.04020146528879803
94,1.9624305,2.159765,"('aggressive', 'submissive')",-0.16022575,-0.48457602,-0.13143872,0.30075985,0.5569219986597697,0.6586496035257975,0.10172760486602783
2,1.8791083,2.2596974,"('friendly', 'unfriendly')",0.21502037,-0.41308305,-1.4845258,-1.0125425,0.20320093631744385,0.27802395820617676,0.07482302188873291
107,1.6731876,2.2235885,"('conventional', 'modern')",1.217867,0.97493064,1.7484398,2.117013,1.5464981396993,1.7718440691630046,0.22534592946370458
99,-1.6560669,-1.8491215,"('prestigious', 'insignificant')",-1.5496596,-0.8797499,-0.7292119,-1.0639325,-1.3116461435953777,-1.264267921447754,0.04737822214762377
40,-1.5962391,-1.7578951,"('honorable', 'mean')",-2.775432,-3.3265693,-3.5743296,-3.7060323,-2.648667017618815,-2.9301656087239585,-0.2814985911051435
53,-1.5720739,-1.6676162,"('smart', 'stupid')",-2.7349925,-3.4849813,-2.8855224,-2.967436,-2.3975296020507812,-2.7066777547200522,-0.309148152669271
12,1.5387576,1.8853886,"('sympathetic', 'unsympathetic')",-1.1946874,-1.5593649,-1.2716076,-0.97232556,-0.309179147084554,-0.21543395519256592,0.0937451918919881
98,-1.5278676,-1.5543327,"('prestigious', 'insignificant')",-0.5445835,-0.20185372,-0.04390247,-0.36697432,-0.7054511706034342,-0.7077202796936035,-0.002269109090169308
104,-1.4022709,-1.4743042,"('conventional', 'unconventional')",-0.18453202,0.06999132,-0.39736626,-0.4205701,-0.6613897482554117,-0.6082943280537924,0.05309542020161939
27,-1.3209566,-0.84717864,"('sincere', 'insincere')",-3.210435,-4.201088,-4.67974,-4.495806,-3.0703773498535156,-3.1813577016194663,-0.11098035176595067
52,1.3045586,1.6001567,"('competitive', 'uncompetitive')",-0.6747519,-0.8037517,-0.823648,-0.44145668,-0.06461373964945476,0.1183160940806071,0.18292983373006186
66,1.2985046,1.1687658,"('imaginative', 'unimaginative')",-1.2503617,-0.58572185,1.235498,1.3372915,0.42788028717041016,0.6401118040084839,0.21223151683807373
25,1.2776237,1.4341798,"('moral', 'immoral')",-0.26993126,-0.65043896,-1.7042415,-1.387457,-0.23218305905659994,-0.20123873154322305,0.03094432751337689
81,-1.2432742,-1.7838304,"('industrious', 'lazy')",1.2979695,1.5183096,0.8034052,0.49967223,0.2860334912935893,0.07805047432581584,-0.20798301696777344
7,-1.2363273,-1.6489582,"('outgoing', 'distant')",-0.744285,-0.20420676,0.99279284,0.48027906,-0.32927314440409344,-0.45762860774993896,-0.12835546334584552
8,-1.2361505,-1.6232353,"('open', 'distant')",-1.8646253,-1.1812606,0.50583357,-0.00076802075,-0.8649806976318359,-0.9350879192352295,-0.07010722160339355
55,1.1950963,1.2537924,"('intelligent', 'unintelligent')",-1.4851534,-1.4214053,-1.1294755,-0.8415381,-0.47317755222320557,-0.3363836606343587,0.13679389158884686
64,1.1907941,1.3249813,"('clever', 'incompetent')",-0.84210354,-1.1579001,-0.85765785,-0.55732083,-0.16965576012929282,-0.13007986545562744,0.039575894673665374
89,1.1847734,1.1844432,"('daring', 'anxious')",-1.1705432,-1.2609005,-1.4468725,-1.3584311,-0.47754740715026855,-0.47829612096150714,-0.0007487138112385883
42,-1.1638687,-1.3510375,"('amicable', 'hostile')",-0.63923997,0.2404337,0.34724063,0.20905173,-0.4852893352508545,-0.30051736036936444,0.18477197488149005
