,monsanto_male,monsanto_female,tuple,co_male,co_female,new_male,new_female,average_male,average_female,female-male
75,2.2907445,2.3639956,"('confident', 'shy')",5.673871,5.3735704,4.247345,4.725128,4.070653597513835,4.1542313893636065,0.08357779184977154
16,2.0619814,2.1757271,"('social', 'antisocial')",-0.06470011,-0.22989884,-0.8021402,-0.50254613,0.3983803590138753,0.4810940424601237,0.08271368344624841
107,2.0055895,2.0294027,"('conventional', 'modern')",0.13644336,0.2839453,1.0958123,1.6039909,1.0792817274729412,1.3057796160380046,0.22649788856506348
48,1.6802468,1.7464411,"('reliable', 'unreliable')",2.188315,1.8972862,1.1541629,1.1235613,1.674241542816162,1.589096228281657,-0.08514531453450513
95,-1.6125529,-1.6792065,"('rich', 'poor')",-5.0380754,-4.956311,-2.7676091,-3.1545284,-3.1394125620524087,-3.2633485794067383,-0.12393601735432958
5,1.6069145,1.5902545,"('pleasant', 'repellent')",-0.24824771,-0.5681621,-0.097297505,-0.30082503,0.4204564094543457,0.24042248725891113,-0.18003392219543457
66,1.5683624,1.6864736,"('imaginative', 'unimaginative')",1.86568,2.2137253,0.34587073,0.7209271,1.259971062342326,1.5403753916422527,0.28040432929992676
15,1.4641948,1.4940225,"('polite', 'impolite')",0.12108457,0.4388826,-0.60293305,-0.018667951,0.3274487654368083,0.638079047203064,0.3106302817662557
14,1.4072149,1.280813,"('supportive', 'unsupportive')",0.99658,0.9259297,-0.059206426,-0.05194989,0.781529426574707,0.7182642618815104,-0.06326516469319665
99,-1.3644317,-1.2678199,"('prestigious', 'insignificant')",0.28756195,0.29070893,0.7842057,0.64763576,-0.09755468368530273,-0.10982507467269897,-0.01227039098739624
76,1.3227973,1.3951607,"('secure', 'insecure')",-0.49637794,-0.6593478,-0.46814716,-0.3669712,0.1194240649541219,0.12294723590215047,0.0035231709480285645
40,-1.2328751,-1.5245826,"('honorable', 'mean')",-4.2676973,-4.659159,-2.9068136,-3.3330858,-2.8024619420369468,-3.1722758611043296,-0.3698139190673828
22,1.191876,1.1325455,"('welcoming', 'disagreeable')",1.1170642,1.2603632,0.5636344,0.47769773,0.9575249354044596,0.9568688074747721,-0.0006561279296875
