,disney_male,disney_female,tuple,walt_male,walt_female,average_male,average_female,female-male
75,4.562222,4.256763,"('confident', 'shy')",6.4996147,6.337185,5.530918121337891,5.296974182128906,-0.23394393920898438
95,-3.8761063,-3.6972737,"('rich', 'poor')",-4.610839,-4.8385806,-4.243472576141357,-4.267927169799805,-0.024454593658447266
27,-3.370129,-3.0779722,"('sincere', 'insincere')",-4.9794693,-5.2675376,-4.174798965454102,-4.172754764556885,0.002044200897216797
53,-3.022878,-2.905746,"('smart', 'stupid')",-3.9381285,-4.277472,-3.4805030822753906,-3.591609001159668,-0.11110591888427734
6,2.8390381,2.5585475,"('liked', 'disliked')",4.8315687,5.0107403,3.83530330657959,3.7846438884735107,-0.0506594181060791
40,-2.5764089,-2.4245746,"('honorable', 'mean')",-4.3072605,-4.5969996,-3.4418346881866455,-3.510787010192871,-0.06895232200622559
62,-2.5571723,-2.4493294,"('creative', 'uncreative')",-0.85171807,-1.00322,-1.7044451236724854,-1.7262747287750244,-0.021829605102539062
3,2.3958218,2.256061,"('likable', 'unlikable')",2.5769,2.349648,2.486361026763916,2.302854537963867,-0.18350648880004883
1,-2.37859,-2.3065467,"('friendly', 'unfriendly')",-1.8031715,-1.9270005,-2.090880870819092,-2.1167736053466797,-0.02589273452758789
11,-2.2886772,-2.3253675,"('caring', 'unaffectionate')",-1.6714191,-1.9586953,-1.9800481796264648,-2.14203143119812,-0.16198325157165527
10,-2.0698862,-2.0501037,"('affectionate', 'unaffectionate')",-1.5867083,-1.6269238,-1.8282972574234009,-1.838513731956482,-0.010216474533081055
107,2.0261018,2.0560012,"('conventional', 'modern')",0.78729093,0.87407464,1.4066963195800781,1.4650379419326782,0.0583416223526001
86,1.9786773,1.6605799,"('self-reliant', 'helpless')",2.9714758,3.0110264,2.475076675415039,2.3358030319213867,-0.13927364349365234
50,1.9486201,1.7375311,"('unprejudiced', 'prejudiced')",2.7856197,2.5982864,2.367119789123535,2.1679086685180664,-0.19921112060546875
19,-1.6232158,-1.5692043,"('funny', 'boring')",-0.7434019,-0.7431381,-1.1833088397979736,-1.156171202659607,0.0271376371383667
94,1.6180131,1.678501,"('aggressive', 'submissive')",0.98343825,1.080771,1.3007256984710693,1.3796360492706299,0.07891035079956055
48,1.598893,1.3745749,"('reliable', 'unreliable')",2.5476732,2.4509702,2.0732831954956055,1.912772536277771,-0.16051065921783447
32,-1.5825195,-1.4930468,"('benevolent', 'hardhearted')",-1.9019431,-1.7773868,-1.7422313690185547,-1.6352167129516602,0.10701465606689453
13,-1.5077,-1.4272497,"('helpful', 'unhelpful')",-1.9225988,-2.0591729,-1.7151494026184082,-1.743211269378662,-0.028061866760253906
99,-1.5065289,-1.6066698,"('prestigious', 'insignificant')",-0.78981805,-0.80370295,-1.148173451423645,-1.205186367034912,-0.05701291561126709
16,1.4793429,1.6262358,"('social', 'antisocial')",1.5532837,1.5968992,1.5163133144378662,1.611567497253418,0.09525418281555176
93,1.4047239,1.5038884,"('dominating', 'dominated')",0.50158036,0.7244911,0.9531521201133728,1.1141897439956665,0.1610376238822937
56,1.3740189,1.2683988,"('intelligent', 'dumb')",1.143638,1.1712683,1.2588284015655518,1.2198336124420166,-0.038994789123535156
26,1.3583739,1.3986535,"('trustworthy', 'untrustworthy')",1.1283216,0.98473644,1.2433477640151978,1.191694974899292,-0.05165278911590576
33,-1.301454,-1.2257063,"('softhearted', 'hardhearted')",-1.134524,-1.1200931,-1.2179889678955078,-1.1728997230529785,0.0450892448425293
8,-1.2998756,-1.608854,"('open', 'distant')",0.34890223,-0.102586925,-0.475486695766449,-0.8557205200195312,-0.3802338242530823
38,-1.2986629,-1.1672482,"('kind', 'unkind')",-1.5346744,-1.5085305,-1.4166686534881592,-1.3378894329071045,0.07877922058105469
109,1.2457536,1.4727015,"('conservative', 'liberal')",1.5431678,1.6708717,1.394460678100586,1.571786642074585,0.17732596397399902
108,1.2457536,1.4727015,"('conservative', 'liberal')",1.5431678,1.6708717,1.394460678100586,1.571786642074585,0.17732596397399902
90,1.2173637,1.1135006,"('motivated', 'unmotivated')",1.8101869,1.6935787,1.51377534866333,1.4035396575927734,-0.11023569107055664
79,1.178391,1.1172094,"('determined', 'doubtful')",0.2002095,0.3737706,0.6893002390861511,0.7454900145530701,0.056189775466918945
103,1.1168523,1.1271648,"('traditional', 'modern')",1.4552755,1.5718033,1.2860639095306396,1.3494840860366821,0.06342017650604248
102,-1.1115552,-1.0943573,"('eminent', 'low')",-0.49177855,-0.61030763,-0.8016668558120728,-0.8523324728012085,-0.05066561698913574
15,1.0983417,1.2459027,"('polite', 'impolite')",0.6048769,0.6496153,0.8516092896461487,0.9477589726448059,0.09614968299865723
7,-1.0899236,-1.353361,"('outgoing', 'distant')",1.1692026,0.8523551,0.03963947296142578,-0.25050294399261475,-0.2901424169540405
20,-1.0820651,-1.1862026,"('popular', 'unpopular')",-0.93469095,-0.7984219,-1.008378028869629,-0.9923123121261597,0.01606571674346924
34,-1.0686474,-0.87130773,"('loyal', 'disloyal')",-2.0273051,-1.6666826,-1.5479762554168701,-1.2689951658248901,0.27898108959198
65,-1.0079143,-1.0120513,"('practical', 'impractical')",-0.30618948,-0.49353313,-0.6570519208908081,-0.752792239189148,-0.09574031829833984
