,schlumberger_male,schlumberger_female,tuple,average_male,average_female,female-male
71,3.1027467,3.041611,"('efficient', 'inefficient')",3.1027467250823975,3.0416109561920166,-0.06113576889038086
12,2.8221283,3.0249352,"('sympathetic', 'unsympathetic')",2.8221282958984375,3.024935245513916,0.20280694961547852
99,-2.7290366,-2.9063368,"('prestigious', 'insignificant')",-2.729036569595337,-2.906336784362793,-0.17730021476745605
2,2.60155,2.854063,"('friendly', 'unfriendly')",2.6015501022338867,2.854063034057617,0.25251293182373047
94,2.5781155,2.84107,"('aggressive', 'submissive')",2.578115463256836,2.8410699367523193,0.2629544734954834
41,-2.4434648,-2.6600971,"('incorrupt', 'corrupt')",-2.443464756011963,-2.660097122192383,-0.21663236618041992
15,2.3813803,2.6277442,"('polite', 'impolite')",2.381380319595337,2.627744197845459,0.24636387825012207
109,2.360041,2.5596988,"('conservative', 'liberal')",2.3600409030914307,2.5596988201141357,0.19965791702270508
108,2.360041,2.5596988,"('conservative', 'liberal')",2.3600409030914307,2.5596988201141357,0.19965791702270508
52,2.2274296,2.441228,"('competitive', 'uncompetitive')",2.2274296283721924,2.441227912902832,0.21379828453063965
0,2.2049632,2.3245194,"('sociable', 'unsociable')",2.204963207244873,2.324519395828247,0.11955618858337402
98,-2.195234,-2.3023932,"('prestigious', 'insignificant')",-2.1952340602874756,-2.3023931980133057,-0.10715913772583008
76,2.1313517,2.226442,"('secure', 'insecure')",2.1313517093658447,2.2264420986175537,0.09509038925170898
64,2.0590637,2.1682525,"('clever', 'incompetent')",2.059063673019409,2.168252468109131,0.10918879508972168
75,2.0303617,1.8811707,"('confident', 'shy')",2.0303616523742676,1.8811707496643066,-0.14919090270996094
100,1.9769144,2.2590427,"('influential', 'uninfluential')",1.976914405822754,2.259042739868164,0.28212833404541016
14,1.973247,2.042387,"('supportive', 'unsupportive')",1.9732470512390137,2.042387008666992,0.06913995742797852
16,1.969337,1.9873723,"('social', 'antisocial')",1.969336986541748,1.9873722791671753,0.018035292625427246
82,-1.9659512,-2.0923336,"('industrious', 'meek')",-1.9659512042999268,-2.0923335552215576,-0.12638235092163086
66,1.9416393,2.0931191,"('imaginative', 'unimaginative')",1.9416393041610718,2.0931191444396973,0.1514798402786255
89,1.9113731,1.8888246,"('daring', 'anxious')",1.9113731384277344,1.8888245820999146,-0.022548556327819824
69,-1.7247957,-1.7338697,"('wise', 'foolish')",-1.7247956991195679,-1.7338696718215942,-0.009073972702026367
81,-1.711436,-2.1163552,"('industrious', 'lazy')",-1.7114360332489014,-2.1163551807403564,-0.4049191474914551
25,1.7018913,1.8084501,"('moral', 'immoral')",1.701891303062439,1.8084501028060913,0.10655879974365234
55,1.6741073,1.7120523,"('intelligent', 'unintelligent')",1.674107313156128,1.712052345275879,0.03794503211975098
83,1.6553137,1.8070965,"('energetic', 'lethargic')",1.6553137302398682,1.8070964813232422,0.15178275108337402
73,1.6468813,1.6694511,"('brilliant', 'incompetent')",1.646881341934204,1.669451117515564,0.022569775581359863
13,1.6383963,1.9626244,"('helpful', 'unhelpful')",1.6383962631225586,1.962624430656433,0.3242281675338745
49,1.6342566,1.5889096,"('responsible', 'irresponsible')",1.6342566013336182,1.58890962600708,-0.045346975326538086
107,1.6186996,1.800021,"('conventional', 'modern')",1.618699550628662,1.8000210523605347,0.18132150173187256
51,1.559611,1.6215594,"('competent', 'incompetent')",1.5596109628677368,1.6215593814849854,0.061948418617248535
21,1.5555325,1.3830527,"('nice', 'nasty')",1.555532455444336,1.3830527067184448,-0.1724797487258911
8,-1.5272772,-1.7453909,"('open', 'distant')",-1.5272772312164307,-1.7453908920288086,-0.21811366081237793
42,-1.4353068,-1.4250178,"('amicable', 'hostile')",-1.4353067874908447,-1.4250178337097168,0.01028895378112793
9,1.416762,1.5562944,"('sensitive', 'insensitive')",1.4167619943618774,1.5562944412231445,0.1395324468612671
