,huntington_male,huntington_female,tuple,ingalls_male,ingalls_female,inds_male,inds_female,average_male,average_female,female-male
75,5.671171,5.4401484,"('confident', 'shy')",2.7066517,2.5867352,4.4714937,4.3905754,4.283105532328288,4.139153162638347,-0.1439523696899414
27,-3.617306,-3.290052,"('sincere', 'insincere')",-0.37185195,-0.043901384,-3.6518192,-3.3649251,-2.546992301940918,-2.232959429423014,0.3140328725179038
40,-3.3198633,-3.2348444,"('honorable', 'mean')",-1.4668407,-1.7062812,-2.8626857,-3.0611014,-2.5497965812683105,-2.6674092610677085,-0.11761267979939793
95,-3.1346052,-2.966525,"('rich', 'poor')",-1.4852657,-1.5068668,-3.2695189,-3.3125386,-2.6297966639200845,-2.5953102111816406,0.03448645273844386
6,3.1306596,2.9260135,"('liked', 'disliked')",0.8034173,0.73080045,3.793632,3.599844,2.5759029388427734,2.418885866800944,-0.15701707204182958
53,-2.4136212,-2.0631316,"('smart', 'stupid')",-1.0951653,-0.9598461,-2.2911549,-2.5269065,-1.9333136876424153,-1.849961280822754,0.08335240681966138
33,-2.33218,-2.1541018,"('softhearted', 'hardhearted')",-0.421164,-0.18981326,-0.43509406,-0.26307625,-1.0628127257029216,-0.8689970970153809,0.19381562868754076
50,2.2013137,1.9783733,"('unprejudiced', 'prejudiced')",0.7573433,0.76780546,0.99007034,0.62836945,1.3162424564361572,1.1248493194580078,-0.19139313697814941
86,2.1579704,2.0610971,"('self-reliant', 'helpless')",0.02604419,0.009207547,1.6033688,1.5041239,1.2624611059824626,1.1914761861165364,-0.07098491986592625
48,2.1236959,2.0502858,"('reliable', 'unreliable')",0.15090215,0.17761701,0.8505852,0.9001461,1.0417277812957764,1.0426829655965169,0.0009551843007404859
32,-2.0909095,-2.0495675,"('benevolent', 'hardhearted')",-1.4731156,-1.6234118,-0.36891797,-0.3049032,-1.3109809557596843,-1.3259608745574951,-0.014979918797810798
3,2.081307,1.9638014,"('likable', 'unlikable')",0.8070331,0.95443153,1.1777582,1.2323453,1.3553660710652669,1.3835261662801106,0.02816009521484375
56,1.8533891,2.0131023,"('intelligent', 'dumb')",-0.061956443,0.010045767,0.7858735,0.6700672,0.8591020901997884,0.8977384567260742,0.03863636652628577
15,1.8126695,2.1615064,"('polite', 'impolite')",2.252711,2.4854574,-0.12585866,0.23446585,1.3131739298502605,1.627143383026123,0.31396945317586256
99,-1.7285982,-1.8125166,"('prestigious', 'insignificant')",-1.8872457,-2.1269023,0.7761292,0.43775028,-0.9465715090433756,-1.1672228177388508,-0.22065130869547522
62,-1.6721516,-1.688215,"('creative', 'uncreative')",-0.2236683,0.09449248,-0.04305294,-0.067390226,-0.6462909380594889,-0.5537042617797852,0.09258667627970374
16,1.5638375,1.4848719,"('social', 'antisocial')",1.4482527,1.3841945,-0.5960188,-0.24580947,0.8053571383158366,0.8744188944498698,0.0690617561340332
1,-1.5394478,-1.5677838,"('friendly', 'unfriendly')",-1.1119024,-1.0221732,0.46419996,0.34045923,-0.7290500005086263,-0.7498326301574707,-0.020782629648844364
107,1.4143214,1.5443602,"('conventional', 'modern')",1.3592436,1.7132546,0.44551635,0.5352855,1.0730271339416504,1.264300028483073,0.1912728945414226
11,-1.3846061,-1.4037571,"('caring', 'unaffectionate')",-1.2413611,-1.0588053,0.25616053,0.3356083,-0.7899355888366699,-0.7089847723642985,0.08095081647237146
109,1.3808744,1.4466984,"('conservative', 'liberal')",2.6728797,2.47166,-0.8838985,-0.44045162,1.0566184520721436,1.1593022346496582,0.10268378257751465
108,1.3808744,1.4466984,"('conservative', 'liberal')",2.6728797,2.47166,-0.8838985,-0.44045162,1.0566184520721436,1.1593022346496582,0.10268378257751465
93,1.2735566,1.4812531,"('dominating', 'dominated')",0.47590992,0.77348256,-0.28120142,-0.032563776,0.48942168553670246,0.7407240072886149,0.2513023217519124
98,-1.2666297,-1.2141781,"('prestigious', 'insignificant')",-1.9522693,-2.0197978,1.1046159,0.6889021,-0.7047610282897949,-0.8483579158782959,-0.14359688758850098
10,-1.2393878,-1.2385721,"('affectionate', 'unaffectionate')",-1.4965856,-1.383312,0.86835897,0.79211134,-0.6225381294886271,-0.6099242369333903,0.012613892555236816
105,-1.1970277,-1.415465,"('conventional', 'modern')",-0.78615284,-0.8215296,0.39917392,0.30315763,-0.5280021826426188,-0.6446123917897543,-0.11661020914713549
65,1.1920036,1.1561829,"('practical', 'impractical')",0.25703245,0.34461123,-1.5710053,-1.300457,-0.04065640767415365,0.06677905718485515,0.10743546485900879
76,1.1641666,1.2360561,"('secure', 'insecure')",1.6027545,1.8584733,-0.2847248,-0.11316648,0.8273987770080566,0.9937876065572103,0.16638882954915368
