,hudson_male,hudson_female,tuple,city_male,city_female,bancorp_male,bancorp_female,average_male,average_female,female-male
75,5.6594615,5.352878,"('confident', 'shy')",4.007021,4.5244255,3.4159665,3.2187731,4.360816319783528,4.365358988444011,0.004542668660482363
27,-5.561988,-5.1454725,"('sincere', 'insincere')",-3.8499293,-4.3917727,-3.2952862,-3.0553064,-4.235734303792317,-4.197517077128093,0.03821722666422467
6,5.365795,4.833272,"('liked', 'disliked')",2.666689,3.5847607,2.3361742,2.1821158,3.4562193552652993,3.5333827336629233,0.077163378397624
53,-4.393645,-3.919896,"('smart', 'stupid')",-2.3790607,-2.9103122,-2.4017985,-2.3284733,-3.058168093363444,-3.05289363861084,0.005274454752604019
40,-4.0878735,-4.2274323,"('honorable', 'mean')",-3.1120682,-3.770714,-2.8594859,-2.9351974,-3.353142420450846,-3.6444479624430337,-0.2913055419921875
95,-4.063361,-3.6965437,"('rich', 'poor')",-3.480433,-3.891084,-2.304132,-2.1754203,-3.282642046610514,-3.25434939066569,0.02829265594482422
86,3.187021,2.7552931,"('self-reliant', 'helpless')",1.387385,1.7193961,0.98788714,0.8725549,1.8540976842244465,1.7824147542317708,-0.07168292999267578
48,2.1855483,1.880467,"('reliable', 'unreliable')",0.62558985,0.8196817,0.75325805,0.7336882,1.1881320476531982,1.1446123123168945,-0.04351973533630371
13,-2.1584342,-1.8284084,"('helpful', 'unhelpful')",-3.3285997,-3.5385177,-0.990798,-0.9547242,-2.1592772801717124,-2.1072168350219727,0.05206044514973973
37,1.9053872,1.5262629,"('good', 'evil')",1.8718567,2.0672643,0.51971114,0.32425177,1.4323183695475261,1.3059263229370117,-0.1263920466105144
66,1.8070714,1.6847534,"('imaginative', 'unimaginative')",0.5950062,0.85916126,1.4179162,1.380402,1.2733313242594402,1.3081056276957195,0.0347743034362793
78,1.803731,1.4388756,"('active', 'inactive')",2.695713,2.2816458,0.29454756,-0.2516212,1.5979971885681152,1.1563000679016113,-0.4416971206665039
28,-1.7881423,-1.6583312,"('honest', 'dishonest')",-0.7843638,-0.84909785,-0.38000703,-0.27949777,-0.9841710726420084,-0.9289756615956625,0.055195411046345955
11,-1.7592434,-1.6759093,"('caring', 'unaffectionate')",-1.3909045,-1.2524666,-2.1583173,-2.1864398,-1.7694883346557617,-1.704938570658366,0.06454976399739576
32,-1.6545072,-1.2477978,"('benevolent', 'hardhearted')",-1.26718,-0.77371,-1.9291081,-1.6748351,-1.6169317563374836,-1.232114315032959,0.38481744130452467
