,pepco_male,pepco_female,tuple,holdings_male,holdings_female,average_male,average_female,female-male
75,2.100306,1.7430538,"('confident', 'shy')",5.658599,6.241472,3.8794524669647217,3.992262840270996,0.11281037330627441
70,1.7077973,1.3720963,"('wise', 'unwise')",1.4651623,1.5168192,1.5864797830581665,1.444457769393921,-0.1420220136642456
27,-1.6832786,-1.1996658,"('sincere', 'insincere')",-6.638048,-7.0595007,-4.160663604736328,-4.129583358764648,0.031080245971679688
53,-1.5845535,-1.4617399,"('smart', 'stupid')",-4.6145515,-4.657486,-3.099552631378174,-3.059612989425659,0.03993964195251465
95,-1.4623964,-1.3150795,"('rich', 'poor')",-6.1715283,-6.6570215,-3.816962242126465,-3.986050605773926,-0.16908836364746094
6,1.4179621,1.0085554,"('liked', 'disliked')",6.4326763,6.7903547,3.925319194793701,3.8994550704956055,-0.025864124298095703
37,1.3970289,0.6762924,"('good', 'evil')",2.9057746,3.0381927,2.1514017581939697,1.8572425842285156,-0.2941591739654541
66,1.2765281,1.0872431,"('imaginative', 'unimaginative')",2.2398949,2.5875924,1.7582114934921265,1.837417721748352,0.07920622825622559
42,1.2734501,1.0788671,"('amicable', 'hostile')",2.034894,2.330525,1.6541720628738403,1.7046959400177002,0.05052387714385986
65,-1.1926175,-1.0890417,"('practical', 'impractical')",-1.6573434,-1.5400561,-1.4249804019927979,-1.3145489692687988,0.11043143272399902
8,1.1565855,0.4677707,"('open', 'distant')",1.2482275,1.1591839,1.202406406402588,0.8134772777557373,-0.3889291286468506
77,1.1238089,0.80962825,"('active', 'inactive')",0.6805561,0.88758045,0.9021824598312378,0.8486043214797974,-0.05357813835144043
13,-1.0974797,-0.78571033,"('helpful', 'unhelpful')",-3.0220122,-3.119163,-2.059746026992798,-1.9524366855621338,0.10730934143066406
38,-1.0760622,-0.54077286,"('kind', 'unkind')",-2.1110625,-2.1741424,-1.593562364578247,-1.3574576377868652,0.23610472679138184
46,0.97550416,0.785589,"('generous', 'stingy')",1.9788184,2.2156897,1.4771612882614136,1.5006393194198608,0.023478031158447266
40,-0.94333804,-1.1595756,"('honorable', 'mean')",-4.99464,-5.475706,-2.9689888954162598,-3.317640781402588,-0.3486518859863281
92,0.9261355,0.482115,"('unwavering', 'wavering')",0.9044592,0.6269298,0.9152973294258118,0.5545223951339722,-0.3607749342918396
41,0.9161372,0.46464875,"('incorrupt', 'corrupt')",2.3518035,2.3175573,1.6339703798294067,1.3911030292510986,-0.2428673505783081
22,0.8912761,0.8068646,"('welcoming', 'disagreeable')",1.6661851,1.633589,1.2787306308746338,1.220226764678955,-0.05850386619567871
91,0.82319856,0.47569638,"('resilient', 'nonresilient')",-0.4052541,-0.6073829,0.20897223055362701,-0.06584325432777405,-0.27481548488140106
73,-0.8208802,-1.0110066,"('brilliant', 'incompetent')",-2.0872397,-2.3778586,-1.4540599584579468,-1.6944326162338257,-0.2403726577758789
23,0.8186308,0.23563114,"('hospitable', 'inhospitable')",1.2462822,1.134705,1.0324565172195435,0.6851680278778076,-0.34728848934173584
9,0.7694175,0.72848016,"('sensitive', 'insensitive')",-1.6883833,-1.8456318,-0.45948290824890137,-0.5585758686065674,-0.09909296035766602
84,0.76652616,0.35716164,"('self-confident', 'diffident')",-0.2980039,-0.10443291,0.23426112532615662,0.12636436522006989,-0.10789676010608673
