,Dimension,P-Value M vs. F Firm Embedding,P-Value Delta Firm vs. Delta Random Embedding,Mean Firm,Mean Random,Mean Firm vs. Mean Random,Dictionary
0,"('unsociable', 'sociable')",0.0,0.0,-0.1433488411764706,-0.11144797225000001,-0.03190086892647058,Sociability
1,"('unfriendly', 'friendly')",0.00108,0.0,-0.08744928465473147,-0.04048829675000001,-0.04696098790473146,Sociability
2,"('unlikable', 'likable')",0.19258,0.0001,0.02338774181585678,0.030424357625,-0.007036615809143217,Sociability
3,"('repellent', 'pleasant')",0.09693,0.0,0.03539824872122762,-0.0256073935,0.06100564222122762,Sociability
4,"('disliked', 'liked')",0.81951,0.0,-0.010653539386189263,0.009675759374999997,-0.02032929876118926,Sociability
5,"('distant', 'outgoing')",0.64147,0.0,-0.013379714450127877,-0.044911182,0.03153146754987213,Sociability
6,"('distant', 'open')",0.8927,0.0,0.0042314346547314575,-0.027930241874999994,0.03216167652973145,Sociability
7,"('insensitive', 'sensitive')",0.64451,0.0,0.011628590409207159,-0.012820421125000002,0.02444901153420716,Sociability
8,"('unaffectionate', 'affectionate')",0.00297,0.05052,-0.06771352148337596,-0.073290096125,0.0055765746416240325,Sociability
9,"('unaffectionate', 'caring')",0.50481,0.0,-0.016447550000000002,0.010446386,-0.026893936,Sociability
10,"('unsympathetic', 'sympathetic')",0.15705,0.0,-0.04899880076726342,0.015340187999999998,-0.06433898876726342,Sociability
11,"('unhelpful', 'helpful')",0.40427,0.0,-0.023159361125319695,0.024140972124999997,-0.047300333250319695,Sociability
12,"('unsupportive', 'supportive')",0.0317,0.0,0.06448660345268542,0.051381653500000006,0.013104949952685414,Sociability
13,"('impolite', 'polite')",0.0397,0.0,-0.0601516794117647,-0.011134428625,-0.0490172507867647,Sociability
14,"('antisocial', 'social')",0.21892,0.0,-0.037197119565217394,-0.017918197499999997,-0.019278922065217398,Sociability
15,"('boring', 'funny')",0.0,0.0,-0.07589191419437341,-0.1091444095,0.033252495305626587,Sociability
16,"('unpopular', 'popular')",0.55994,0.49774,0.011693216368286444,0.013230600374999998,-0.0015373840067135543,Sociability
17,"('nasty', 'nice')",0.08682,0.0,0.023769852301790285,0.007000889125000001,0.01676896317679028,Sociability
18,"('disagreeable', 'welcoming')",0.02801,0.0,0.03347981585677749,0.016259388,0.017220427856777493,Sociability
