,maxim_male,maxim_female,tuple,integrated_male,integrated_female,products_male,products_female,inc_male,inc_female,average_male,average_female,female-male
0,0.8902378,0.8266067,"('unsociable', 'sociable')",0.40463716,0.293013,-0.09546122,-0.17193155,-0.6704681,-0.77169305,0.1322364,0.0439988,-0.0882376
1,-0.72841656,-0.67127615,"('unfriendly', 'friendly')",-0.34897384,-0.41764042,-0.6158605,-0.7576411,2.1936634,2.009158,0.1251031,0.0406501,-0.084453
2,0.44731236,0.47307694,"('unlikable', 'likable')",0.73942256,0.83070064,0.23592053,0.1963999,0.6827449,0.71845424,0.5263501,0.5546579,0.0283078
3,0.30954483,0.45789826,"('repellent', 'pleasant')",-1.3662918,-1.2759355,0.13351396,0.21127531,-0.23581648,-0.18699916,-0.2897624,-0.1984403,0.0913221
4,-2.0986748,-2.1094458,"('disliked', 'liked')",0.12542973,0.063302815,-0.06415049,-0.1508586,-5.765248,-5.831341,-1.9506608,-2.0070856,-0.0564248
5,-1.5347036,-1.5087377,"('distant', 'outgoing')",0.6110233,0.6774895,-0.15388717,-0.18866092,0.41399157,0.3409359,-0.165894,-0.1697433,-0.0038493
6,-2.1749458,-2.059894,"('distant', 'open')",0.05200585,0.14789224,-0.5374915,-0.5200265,1.0101339,0.9458815,-0.4125744,-0.3715367,0.0410377
7,0.8590621,0.890968,"('insensitive', 'sensitive')",-0.039760627,0.037817743,-0.9265627,-0.8780896,0.40454173,0.4191495,0.0743201,0.1174614,0.0431413
8,-0.20778401,-0.14431982,"('unaffectionate', 'affectionate')",-0.5707318,-0.584687,-1.4440595,-1.5341235,0.9954708,0.8742918,-0.3067761,-0.3472097,-0.0404336
9,0.60677576,0.6751665,"('unaffectionate', 'caring')",-0.12573585,-0.12565778,-0.46007687,-0.5574845,1.351888,1.2902619,0.3432128,0.3205715,-0.0226413
10,1.6872808,1.6759924,"('unsympathetic', 'sympathetic')",-0.8237089,-0.7846184,-0.9196838,-0.80197066,-0.6439663,-0.63300365,-0.1750196,-0.1359001,0.0391195
11,0.3778113,0.37770662,"('unhelpful', 'helpful')",0.5785501,0.6614745,0.80313784,0.83975035,1.5619318,1.5939004,0.8303578,0.868208,0.0378502
12,1.4262089,1.5519423,"('unsupportive', 'supportive')",1.4388,1.5920681,0.23501262,0.2923613,-1.6692574,-1.6447875,0.357691,0.4478961,0.0902051
13,0.56431544,0.45918813,"('impolite', 'polite')",0.63215667,0.6702378,0.83599025,0.882406,-0.37012064,-0.37666988,0.4155854,0.4087905,-0.0067949
14,1.3170828,1.3037344,"('antisocial', 'social')",1.0716449,1.0200706,0.3999007,0.3455581,-0.9011287,-0.9342376,0.4718749,0.4337814,-0.0380935
15,-0.7127325,-0.8207544,"('boring', 'funny')",0.6903523,0.61792654,0.17604995,0.14025514,0.83743453,0.7507936,0.2477761,0.1720552,-0.0757209
16,-2.021907,-1.8769603,"('unpopular', 'popular')",-0.32259622,-0.34354657,0.20182078,0.20579775,0.90848386,0.93515605,-0.3085497,-0.2698883,0.0386614
