,mass_male,mass_female,tuple,average_male,average_female,female-male
0,-0.24677321,-0.5613159,"('unsociable', 'sociable')",-0.2467732,-0.5613159,-0.3145427
1,1.6927,1.6408411,"('unfriendly', 'friendly')",1.6927,1.6408411,-0.0518589
2,0.5585275,0.70312095,"('unlikable', 'likable')",0.5585275,0.7031209,0.1445934
3,0.6582449,0.7054532,"('repellent', 'pleasant')",0.6582449,0.7054532,0.0472083
4,-7.03865,-6.88194,"('disliked', 'liked')",-7.03865,-6.8819399,0.1567101
5,-0.22683546,-0.107116625,"('distant', 'outgoing')",-0.2268355,-0.1071166,0.1197189
6,0.09531547,0.24383448,"('distant', 'open')",0.0953155,0.2438345,0.148519
7,0.45395693,0.4404866,"('insensitive', 'sensitive')",0.4539569,0.4404866,-0.0134703
8,1.4040817,1.4771509,"('unaffectionate', 'affectionate')",1.4040817,1.4771509,0.0730692
9,1.8944645,2.0120208,"('unaffectionate', 'caring')",1.8944645,2.0120208,0.1175563
10,0.67555016,0.7144415,"('unsympathetic', 'sympathetic')",0.6755502,0.7144415,0.0388913
11,1.9172465,1.9171414,"('unhelpful', 'helpful')",1.9172465,1.9171414,-0.0001051
12,-1.3878701,-1.3666698,"('unsupportive', 'supportive')",-1.3878701,-1.3666698,0.0212003
13,0.06107828,-0.10802717,"('impolite', 'polite')",0.0610783,-0.1080272,-0.1691055
14,-0.38709325,-0.6188661,"('antisocial', 'social')",-0.3870932,-0.6188661,-0.2317729
15,0.19916871,0.2594415,"('boring', 'funny')",0.1991687,0.2594415,0.0602728
16,-0.36413878,-0.28521925,"('unpopular', 'popular')",-0.3641388,-0.2852193,0.0789195
17,0.26915428,0.27724516,"('nasty', 'nice')",0.2691543,0.2772452,0.0080909
18,-0.806124,-0.9014767,"('disagreeable', 'welcoming')",-0.806124,-0.9014767,-0.0953527
19,-0.24671912,-0.05875425,"('inhospitable', 'hospitable')",-0.2467191,-0.0587543,0.1879648
20,0.5311704,0.32405323,"('rough', 'thoughtful')",0.5311704,0.3240532,-0.2071172
21,-0.16884926,-0.043145314,"('immoral', 'moral')",-0.1688493,-0.0431453,0.125704
22,-0.57100266,-0.6045266,"('untrustworthy', 'trustworthy')",-0.5710027,-0.6045266,-0.0335239
23,6.265553,6.0952597,"('insincere', 'sincere')",6.265553,6.0952597,-0.1702933
24,1.9161338,1.8440579,"('dishonest', 'honest')",1.9161338,1.8440579,-0.0720759
25,0.7806864,0.711318,"('egoistic', 'altruistic')",0.7806864,0.711318,-0.0693684
