,underpass_male,underpass_female,tuple,average_male,average_female,female-male
0,0.74810123,0.5566241,"('unsociable', 'sociable')",0.7481012,0.5566241,-0.1914771
1,-1.0609802,-1.2511206,"('unfriendly', 'friendly')",-1.0609802,-1.2511206,-0.1901404
2,-0.485717,-0.43304873,"('unlikable', 'likable')",-0.485717,-0.4330487,0.0526683
3,-0.4919681,-0.22335094,"('repellent', 'pleasant')",-0.4919681,-0.2233509,0.2686172
4,-3.0677874,-3.2076876,"('disliked', 'liked')",-3.0677874,-3.2076876,-0.1399002
5,-1.2814009,-1.489392,"('distant', 'outgoing')",-1.2814009,-1.489392,-0.2079911
6,-0.98022723,-1.2557421,"('distant', 'open')",-0.9802272,-1.2557421,-0.2755149
7,0.99326706,1.1330243,"('insensitive', 'sensitive')",0.9932671,1.1330243,0.1397572
8,-1.3157626,-1.4739172,"('unaffectionate', 'affectionate')",-1.3157626,-1.4739172,-0.1581546
9,-0.7528261,-0.8095182,"('unaffectionate', 'caring')",-0.7528261,-0.8095182,-0.0566921
10,0.44289398,0.48029086,"('unsympathetic', 'sympathetic')",0.442894,0.4802909,0.0373969
11,0.20880783,0.53046346,"('unhelpful', 'helpful')",0.2088078,0.5304635,0.3216557
12,-0.96589535,-0.84557277,"('unsupportive', 'supportive')",-0.9658954,-0.8455728,0.1203226
13,0.09908575,0.4042517,"('impolite', 'polite')",0.0990857,0.4042517,0.305166
14,0.8445788,0.8785984,"('antisocial', 'social')",0.8445788,0.8785984,0.0340196
15,0.94070214,0.62703973,"('boring', 'funny')",0.9407021,0.6270397,-0.3136624
16,-0.6152873,-0.7972038,"('unpopular', 'popular')",-0.6152873,-0.7972038,-0.1819165
17,-0.13278267,-0.15514788,"('nasty', 'nice')",-0.1327827,-0.1551479,-0.0223652
18,-1.5478933,-1.2840378,"('disagreeable', 'welcoming')",-1.5478933,-1.2840378,0.2638555
19,-2.359006,-2.4667182,"('inhospitable', 'hospitable')",-2.3590059,-2.4667182,-0.1077123
20,-0.27889743,-0.25176004,"('rough', 'thoughtful')",-0.2788974,-0.25176,0.0271374
21,-0.19256437,0.12491681,"('immoral', 'moral')",-0.1925644,0.1249168,0.3174812
22,0.23431158,0.28897342,"('untrustworthy', 'trustworthy')",0.2343116,0.2889734,0.0546618
23,2.2485113,2.3830514,"('insincere', 'sincere')",2.2485113,2.3830514,0.1345401
24,0.14393356,0.16149785,"('dishonest', 'honest')",0.1439336,0.1614978,0.0175642
25,-0.41197082,-0.51792175,"('egoistic', 'altruistic')",-0.4119708,-0.5179217,-0.1059509
26,1.1804854,0.82238567,"('hardhearted', 'benevolent')",1.1804854,0.8223857,-0.3580997
27,0.7564343,0.63135195,"('hardhearted', 'softhearted')",0.7564343,0.6313519,-0.1250824
28,0.079446405,-0.046942808,"('disloyal', 'loyal')",0.0794464,-0.0469428,-0.1263892
29,-0.49797067,-0.73145086,"('unfair', 'fair')",-0.4979707,-0.7314509,-0.2334802
30,0.80957234,0.9864132,"('intolerant', 'tolerant')",0.8095723,0.9864132,0.1768409
31,-1.9598997,-2.214061,"('evil', 'good')",-1.9598997,-2.214061,-0.2541613
32,0.115134865,0.022515435,"('unkind', 'kind')",0.1151349,0.0225154,-0.0926195
