,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.8080785,-2.0016642,"('unsociable', 'sociable')",-0.31155115,-0.5078111,-1.0598148,-1.2547376,-0.1949228
1,-0.87669146,-1.1352643,"('unfriendly', 'friendly')",1.4168125,1.1706014,0.2700605,0.0176685,-0.252392
2,0.98809206,0.9648595,"('unlikable', 'likable')",0.9052457,0.93706775,0.9466689,0.9509636,0.0042947
3,-0.6363264,-0.5368253,"('repellent', 'pleasant')",0.85818416,0.8869981,0.1109289,0.1750864,0.0641575
4,-0.24951126,-0.28352177,"('disliked', 'liked')",-6.381225,-6.282476,-3.3153682,-3.2829988,0.0323694
5,0.031008989,-0.08019121,"('distant', 'outgoing')",-0.30721304,-0.3726734,-0.138102,-0.2264323,-0.0883303
6,-0.27323002,-0.43594605,"('distant', 'open')",-0.24350446,-0.40363774,-0.2583672,-0.4197919,-0.1614247
7,-0.94789976,-0.9354174,"('insensitive', 'sensitive')",0.044649407,0.02026293,-0.4516252,-0.4575772,-0.005952
8,-0.32377395,-0.4295752,"('unaffectionate', 'affectionate')",0.74650884,0.5991492,0.2113674,0.084787,-0.1265804
9,-0.8837153,-1.0571738,"('unaffectionate', 'caring')",1.0302565,0.88845646,0.0732706,-0.0843587,-0.1576293
10,-1.9891573,-2.0432036,"('unsympathetic', 'sympathetic')",-0.7683661,-0.8937599,-1.3787618,-1.4684818,-0.08972
11,-0.8681197,-0.8718523,"('unhelpful', 'helpful')",1.1205455,1.187171,0.1262129,0.1576594,0.0314465
12,-1.0975381,-1.064204,"('unsupportive', 'supportive')",-2.2534802,-2.2657099,-1.6755092,-1.6649569,0.0105523
13,-1.6771935,-1.6455758,"('impolite', 'polite')",-1.1970204,-1.1932395,-1.437107,-1.4194076,0.0176994
14,-0.9774268,-0.91639274,"('antisocial', 'social')",-0.16668828,-0.21923359,-0.5720575,-0.5678132,0.0042443
15,-0.017007876,-0.12242128,"('boring', 'funny')",-0.085844405,-0.07990776,-0.0514261,-0.1011645,-0.0497384
16,-0.15647627,-0.17573874,"('unpopular', 'popular')",0.5279797,0.44631916,0.1857517,0.1352902,-0.0504615
17,-0.22093666,-0.08757116,"('nasty', 'nice')",-0.4687513,-0.37664953,-0.344844,-0.2321104,0.1127336
