,varex_male,varex_female,tuple,imaging_male,imaging_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.94346935,-0.9915978,"('unsociable', 'sociable')",0.22448991,0.1891275,-0.2540342,-0.43245986,-0.3243379,-0.4116434,-0.0873055
1,-1.7362512,-1.8907743,"('unfriendly', 'friendly')",0.023614038,-0.029727854,1.1438035,1.0090699,-0.1896112,-0.3038107,-0.1141995
2,0.2418517,0.30611026,"('unlikable', 'likable')",1.0584049,1.1343126,0.81354135,0.8268611,0.7045993,0.7557613,0.051162
3,-0.9154002,-0.8330194,"('repellent', 'pleasant')",-0.92348075,-0.8230541,0.46234286,0.5042903,-0.4588461,-0.3839277,0.0749184
4,-0.49798873,-0.53253204,"('disliked', 'liked')",-0.7069839,-0.70837563,-5.886798,-6.243356,-2.3639235,-2.4947546,-0.1308311
5,-1.2218122,-1.2086807,"('distant', 'outgoing')",-0.9745205,-0.87967247,-0.728183,-0.7174736,-0.9748386,-0.9352756,0.039563
6,-1.2007085,-1.2196696,"('distant', 'open')",-1.0072398,-0.95717776,-0.79409444,-0.7684919,-1.0006809,-0.9817798,0.0189011
7,-0.5426329,-0.58810216,"('insensitive', 'sensitive')",0.3690103,0.35257035,-0.03438559,-0.03854715,-0.0693361,-0.0913597,-0.0220236
8,-0.8526428,-1.0119232,"('unaffectionate', 'affectionate')",-0.016861644,-0.08105396,0.44338664,0.411492,-0.1420392,-0.2271617,-0.0851225
9,-1.2797283,-1.4284735,"('unaffectionate', 'caring')",0.28752655,0.27112275,0.7439187,0.74221814,-0.082761,-0.1383775,-0.0556165
10,-1.5590947,-1.5465282,"('unsympathetic', 'sympathetic')",-0.53567404,-0.46377438,-1.007173,-1.0170382,-1.0339805,-1.0091136,0.0248669
11,-0.76449275,-0.75093025,"('unhelpful', 'helpful')",-0.16286421,-0.11699563,1.3742914,1.4068958,0.1489782,0.1796566,0.0306784
12,-0.89378065,-0.83104134,"('unsupportive', 'supportive')",0.5228727,0.71621716,-2.187284,-2.2234197,-0.8527307,-0.7794147,0.073316
13,-0.36838943,-0.32740715,"('impolite', 'polite')",0.37551972,0.39597943,-0.97786576,-0.9619286,-0.3235785,-0.2977854,0.0257931
14,-0.12501453,-0.08463561,"('antisocial', 'social')",0.8416014,0.813055,0.023297003,-0.09079705,0.2466279,0.2125408,-0.0340871
15,0.35150936,0.2357819,"('boring', 'funny')",1.1032454,0.9644196,0.17533882,0.10361772,0.5433645,0.4346064,-0.1087581
16,-0.0074309036,-0.06901437,"('unpopular', 'popular')",-0.3653337,-0.37568197,0.6190451,0.53394943,0.0820935,0.029751,-0.0523425
17,-0.12845053,-0.14545698,"('nasty', 'nice')",-0.8036531,-0.70419973,-0.42405578,-0.40740272,-0.4520531,-0.4190198,0.0330333
18,0.1294716,0.054462075,"('disagreeable', 'welcoming')",0.70759934,0.7455499,-0.14176485,-0.27945003,0.2317687,0.1735206,-0.0582481
19,-1.2898135,-1.2980075,"('inhospitable', 'hospitable')",-1.1781802,-1.0688595,-0.7539034,-0.66861033,-1.0739657,-1.0118258,0.0621399
20,0.088034935,0.05626256,"('rough', 'thoughtful')",0.60662395,0.6197791,0.86276585,0.82054156,0.5191416,0.4988611,-0.0202805
21,-0.0969093,-0.059400715,"('immoral', 'moral')",0.5769604,0.6303952,-0.76188314,-0.78017163,-0.093944,-0.0697257,0.0242183
22,-0.047914267,-0.08423943,"('untrustworthy', 'trustworthy')",0.61359304,0.566102,-0.73303545,-0.9065129,-0.0557856,-0.1415501,-0.0857645
23,-0.9070691,-0.97782016,"('insincere', 'sincere')",0.538654,0.56930023,4.684929,4.781487,1.438838,1.4576557,0.0188177
24,-0.7849001,-0.77013546,"('dishonest', 'honest')",0.7252156,0.75533295,0.17512132,0.13297473,0.0384789,0.0393907,0.0009118
25,-0.66776,-0.689064,"('egoistic', 'altruistic')",-0.5816277,-0.64521456,1.2902526,1.3143201,0.0136216,-0.0066528,-0.0202744
26,-0.22389948,-0.27913812,"('hardhearted', 'benevolent')",1.0147313,0.97467196,1.7592885,1.6328075,0.8500401,0.7761138,-0.0739263
27,-0.42834753,-0.4148795,"('hardhearted', 'softhearted')",0.4972808,0.4757264,0.97205365,0.93196577,0.3469956,0.3309375,-0.0160581
