,ingevity_male,ingevity_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.2394065,-1.284925,"('unsociable', 'sociable')",-0.19462736,-0.32022777,-0.7170169,-0.8025764,-0.0855595
1,-2.4349043,-2.4342139,"('unfriendly', 'friendly')",1.8313062,1.6776843,-0.3017991,-0.3782648,-0.0764657
2,-0.06515086,0.0021890737,"('unlikable', 'likable')",0.62217194,0.6423947,0.2785105,0.3222919,0.0437814
3,-0.5972789,-0.45911852,"('repellent', 'pleasant')",0.6637852,0.670425,0.0332532,0.1056532,0.0724
4,-0.30545413,-0.29265353,"('disliked', 'liked')",-7.0727563,-7.167337,-3.6891053,-3.7299953,-0.04089
5,-0.044802565,0.008898266,"('distant', 'outgoing')",0.0049558077,-0.037613384,-0.0199234,-0.0143576,0.0055658
6,-0.6083297,-0.5395493,"('distant', 'open')",0.22151393,0.140259,-0.1934079,-0.1996451,-0.0062372
7,-0.83707064,-0.7650383,"('insensitive', 'sensitive')",0.23184411,0.27195087,-0.3026133,-0.2465437,0.0560696
8,-1.9559499,-1.9630878,"('unaffectionate', 'affectionate')",1.1436219,1.0535525,-0.406164,-0.4547676,-0.0486036
9,-1.8052813,-1.7533273,"('unaffectionate', 'caring')",1.4124999,1.3973222,-0.1963907,-0.1780025,0.0183882
10,-1.8663799,-1.802903,"('unsympathetic', 'sympathetic')",-0.62040436,-0.622803,-1.2433921,-1.212853,0.0305391
11,-0.7074369,-0.69363534,"('unhelpful', 'helpful')",1.4308524,1.570087,0.3617077,0.4382258,0.0765181
12,-1.4967717,-1.3471323,"('unsupportive', 'supportive')",-2.1569846,-2.1672182,-1.8268781,-1.7571752,0.0697029
13,-0.7192784,-0.72428375,"('impolite', 'polite')",-0.995171,-0.94770867,-0.8572247,-0.8359962,0.0212285
14,0.3698916,0.38122556,"('antisocial', 'social')",-0.21633588,-0.3166402,0.0767779,0.0322927,-0.0444852
15,0.6395155,0.57043946,"('boring', 'funny')",-0.07223371,-0.080293946,0.2836409,0.2450728,-0.0385681
16,-0.53917235,-0.5079874,"('unpopular', 'popular')",0.58894795,0.5528425,0.0248878,0.0224276,-0.0024602
17,-0.2878727,-0.22407024,"('nasty', 'nice')",-0.47883648,-0.4058737,-0.3833546,-0.314972,0.0683826
18,-0.77949625,-0.7252228,"('disagreeable', 'welcoming')",-0.41572464,-0.5099653,-0.5976105,-0.6175941,-0.0199836
19,-1.4588276,-1.3859742,"('inhospitable', 'hospitable')",-0.3373114,-0.24802512,-0.8980695,-0.8169997,0.0810698
20,0.16624783,0.20528074,"('rough', 'thoughtful')",0.8184112,0.78771377,0.4923295,0.4964972,0.0041677
21,-0.3716093,-0.3939207,"('immoral', 'moral')",-0.703676,-0.635508,-0.5376427,-0.5147144,0.0229283
22,-0.5036293,-0.4827884,"('untrustworthy', 'trustworthy')",-1.1099489,-1.1628433,-0.8067891,-0.8228159,-0.0160268
23,-1.107225,-1.1004438,"('insincere', 'sincere')",5.854443,5.8736343,2.3736091,2.3865952,0.0129861
24,-1.1226404,-1.0746865,"('dishonest', 'honest')",0.48914897,0.45908105,-0.3167457,-0.3078027,0.008943
25,-0.40585655,-0.36715862,"('egoistic', 'altruistic')",1.4109942,1.3538158,0.5025688,0.4933286,-0.0092402
26,-0.48894012,-0.53808236,"('hardhearted', 'benevolent')",1.7222983,1.6426451,0.6166791,0.5522814,-0.0643977
27,-0.84367144,-0.838392,"('hardhearted', 'softhearted')",1.2849059,1.1497133,0.2206172,0.1556606,-0.0649566
28,-0.86685264,-0.8828828,"('disloyal', 'loyal')",1.0620437,1.0133212,0.0975955,0.0652192,-0.0323763
29,-0.56590897,-0.6068646,"('unfair', 'fair')",-0.39655364,-0.5566987,-0.4812313,-0.5817816,-0.1005503
30,0.38849783,0.39239612,"('intolerant', 'tolerant')",0.64402056,0.6363939,0.5162592,0.514395,-0.0018642
31,-1.3303381,-1.2599835,"('evil', 'good')",-0.5226701,-0.65507436,-0.9265041,-0.9575289,-0.0310248
32,-0.38758677,-0.43283954,"('unkind', 'kind')",0.5716059,0.45400026,0.0920096,0.0105804,-0.0814292
33,0.06838612,0.07870381,"('wrong', 'right')",-0.50559205,-0.54343545,-0.218603,-0.2323658,-0.0137628
34,-0.11178908,0.02694435,"('mean', 'honorable')",5.6795597,5.9471946,2.7838852,2.9870694,0.2031842
35,0.24650094,0.17666887,"('corrupt', 'incorrupt')",-0.11070099,-0.1931158,0.0679,-0.0082235,-0.0761235
36,-0.79662776,-0.8322221,"('hostile', 'amicable')",0.15473433,-0.03597331,-0.3209467,-0.4340977,-0.113151
37,-0.48832902,-0.47548062,"('fake', 'genuine')",-0.09279745,-0.08309842,-0.2905632,-0.2792895,0.0112737
38,-1.2895421,-1.2434056,"('untruthful', 'truthful')",-0.18251458,-0.07194603,-0.7360283,-0.6576758,0.0783525
39,0.5722428,0.58864075,"('exploitative', 'cooperative')",0.17088562,0.21201704,0.3715642,0.4003289,0.0287647
40,-0.3097345,-0.28073326,"('stingy', 'generous')",-1.8485444,-2.0141602,-1.0791395,-1.1474468,-0.0683073
41,-1.2642998,-1.250975,"('unforgiving', 'forgiving')",-0.08715722,-0.20116298,-0.6757285,-0.726069,-0.0503405
42,0.23009399,0.3986967,"('unreliable', 'reliable')",-3.4632297,-3.4581156,-1.6165679,-1.5297095,0.0868584
43,-1.0470177,-0.94374156,"('irresponsible', 'responsible')",0.29094294,0.30272302,-0.3780374,-0.3205093,0.0575281
44,1.4875225,1.4577502,"('prejudiced', 'unprejudiced')",-1.403412,-1.4296863,0.0420552,0.0140319,-0.0280233
45,-1.2344333,-1.1427678,"('incompetent', 'competent')",0.1254299,0.07855454,-0.5545017,-0.5321066,0.0223951
46,-1.1515298,-1.0772543,"('uncompetitive', 'competitive')",-1.1573611,-1.1534525,-1.1544454,-1.1153533,0.0390921
47,-0.13160494,-0.060739815,"('stupid', 'smart')",5.9496093,6.092418,2.9090021,3.0158391,0.106837
48,-0.93974817,-0.929687,"('unintelligent', 'intelligent')",0.6528283,0.7167206,-0.1434599,-0.1064832,0.0369767
49,0.2773998,0.37114036,"('unable', 'able')",-0.040484264,0.05525221,0.1184578,0.2131963,0.0947385
50,0.1899272,0.25602904,"('clumsy', 'skillful')",0.08417031,0.04095384,0.1370488,0.1484914,0.0114426
