,cell_male,cell_female,tuple,average_male,average_female,female-male
0,0.08819111,-0.07000797,"('unsociable', 'sociable')",0.0881911,-0.070008,-0.1581991
1,1.3505346,1.2609245,"('unfriendly', 'friendly')",1.3505346,1.2609245,-0.0896101
2,0.38392508,0.5220005,"('unlikable', 'likable')",0.3839251,0.5220005,0.1380754
3,0.7199869,0.8630481,"('repellent', 'pleasant')",0.7199869,0.8630481,0.1430612
4,-7.3837256,-7.3373594,"('disliked', 'liked')",-7.3837256,-7.3373594,0.0463662
5,-0.19133809,-0.3070173,"('distant', 'outgoing')",-0.1913381,-0.3070173,-0.1156792
6,-0.07296717,-0.13934454,"('distant', 'open')",-0.0729672,-0.1393445,-0.0663773
7,1.0585041,1.1138349,"('insensitive', 'sensitive')",1.0585041,1.1138349,0.0553308
8,0.9010537,0.7840133,"('unaffectionate', 'affectionate')",0.9010537,0.7840133,-0.1170404
9,1.5633076,1.5396466,"('unaffectionate', 'caring')",1.5633076,1.5396466,-0.023661
10,0.9649131,1.0255289,"('unsympathetic', 'sympathetic')",0.9649131,1.0255289,0.0606158
11,2.2506294,2.231406,"('unhelpful', 'helpful')",2.2506294,2.231406,-0.0192234
12,-1.499113,-1.5870293,"('unsupportive', 'supportive')",-1.499113,-1.5870293,-0.0879163
13,0.4042002,0.34096748,"('impolite', 'polite')",0.4042002,0.3409675,-0.0632327
14,0.35259128,0.32972074,"('antisocial', 'social')",0.3525913,0.3297207,-0.0228706
15,0.46279478,0.48291185,"('boring', 'funny')",0.4627948,0.4829119,0.0201171
16,-0.3247911,-0.29507145,"('unpopular', 'popular')",-0.3247911,-0.2950715,0.0297196
17,-0.070359826,-0.119546235,"('nasty', 'nice')",-0.0703598,-0.1195462,-0.0491864
18,-0.30520755,-0.38394788,"('disagreeable', 'welcoming')",-0.3052076,-0.3839479,-0.0787403
19,-0.4461007,-0.459871,"('inhospitable', 'hospitable')",-0.4461007,-0.459871,-0.0137703
20,0.2905437,0.25700817,"('rough', 'thoughtful')",0.2905437,0.2570082,-0.0335355
21,0.07615798,0.15412591,"('immoral', 'moral')",0.076158,0.1541259,0.0779679
22,-0.20153365,-0.20551671,"('untrustworthy', 'trustworthy')",-0.2015336,-0.2055167,-0.0039831
23,6.7582293,6.7879066,"('insincere', 'sincere')",6.7582293,6.7879066,0.0296773
24,2.0385425,2.0644438,"('dishonest', 'honest')",2.0385425,2.0644438,0.0259013
25,0.32780364,0.2333839,"('egoistic', 'altruistic')",0.3278036,0.2333839,-0.0944197
