,porthole_male,porthole_female,tuple,average_male,average_female,female-male
0,0.81989425,0.86739117,"('unsociable', 'sociable')",0.8198943,0.8673912,0.0474969
1,0.2610517,0.10884259,"('unfriendly', 'friendly')",0.2610517,0.1088426,-0.1522091
2,0.5163581,0.45032498,"('unlikable', 'likable')",0.5163581,0.450325,-0.0660331
3,0.1936952,0.50619066,"('repellent', 'pleasant')",0.1936952,0.5061907,0.3124955
4,-3.4314399,-3.5857193,"('disliked', 'liked')",-3.4314399,-3.5857193,-0.1542794
5,-1.5446001,-1.7397968,"('distant', 'outgoing')",-1.5446001,-1.7397968,-0.1951967
6,-0.944791,-1.1838089,"('distant', 'open')",-0.944791,-1.1838089,-0.2390179
7,1.283177,1.463162,"('insensitive', 'sensitive')",1.283177,1.4631619,0.1799849
8,0.31351724,0.1634604,"('unaffectionate', 'affectionate')",0.3135172,0.1634604,-0.1500568
9,0.61523294,0.5985383,"('unaffectionate', 'caring')",0.6152329,0.5985383,-0.0166946
10,0.6715759,0.9950889,"('unsympathetic', 'sympathetic')",0.6715759,0.9950889,0.323513
11,0.91116536,1.1318371,"('unhelpful', 'helpful')",0.9111654,1.1318371,0.2206717
12,-0.6939125,-0.55756027,"('unsupportive', 'supportive')",-0.6939125,-0.5575603,0.1363522
13,0.13810757,0.29631108,"('impolite', 'polite')",0.1381076,0.2963111,0.1582035
14,1.3167394,1.5435652,"('antisocial', 'social')",1.3167394,1.5435652,0.2268258
15,0.7067708,0.38616917,"('boring', 'funny')",0.7067708,0.3861692,-0.3206016
16,-0.31416464,-0.48985484,"('unpopular', 'popular')",-0.3141646,-0.4898548,-0.1756902
17,-0.36653948,-0.3374079,"('nasty', 'nice')",-0.3665395,-0.3374079,0.0291316
18,-0.6817536,-0.65825385,"('disagreeable', 'welcoming')",-0.6817536,-0.6582538,0.0234998
19,-2.0210538,-2.0755575,"('inhospitable', 'hospitable')",-2.0210538,-2.0755575,-0.0545037
