,earthquake_male,earthquake_female,tuple,average_male,average_female,female-male
0,0.84903044,0.47623622,"('unsociable', 'sociable')",0.8490304,0.4762362,-0.3727942
1,0.7282691,0.66207576,"('unfriendly', 'friendly')",0.7282691,0.6620758,-0.0661933
2,0.96894866,1.0195984,"('unlikable', 'likable')",0.9689487,1.0195984,0.0506497
3,0.39980653,0.558071,"('repellent', 'pleasant')",0.3998065,0.558071,0.1582645
4,-6.3376646,-6.359785,"('disliked', 'liked')",-6.3376646,-6.3597851,-0.0221205
5,-1.5688891,-1.423079,"('distant', 'outgoing')",-1.5688891,-1.423079,0.1458101
6,-1.4256212,-1.226045,"('distant', 'open')",-1.4256212,-1.226045,0.1995762
7,0.8740252,0.76242906,"('insensitive', 'sensitive')",0.8740252,0.7624291,-0.1115961
8,0.8256507,0.82757735,"('unaffectionate', 'affectionate')",0.8256507,0.8275774,0.0019267
9,1.5137558,1.5550481,"('unaffectionate', 'caring')",1.5137558,1.5550481,0.0412923
10,1.1106799,1.0417843,"('unsympathetic', 'sympathetic')",1.1106799,1.0417843,-0.0688956
11,2.7932954,2.6777496,"('unhelpful', 'helpful')",2.7932954,2.6777496,-0.1155458
12,-1.4330189,-1.5458422,"('unsupportive', 'supportive')",-1.4330189,-1.5458422,-0.1128233
13,1.1690644,0.93096113,"('impolite', 'polite')",1.1690644,0.9309611,-0.2381033
14,0.2380175,0.13211119,"('antisocial', 'social')",0.2380175,0.1321112,-0.1059063
15,0.59994924,0.3966316,"('boring', 'funny')",0.5999492,0.3966316,-0.2033176
16,-0.44097072,-0.51907146,"('unpopular', 'popular')",-0.4409707,-0.5190715,-0.0781008
17,-0.3778667,-0.43831262,"('nasty', 'nice')",-0.3778667,-0.4383126,-0.0604459
18,-1.0321518,-1.1494778,"('disagreeable', 'welcoming')",-1.0321518,-1.1494778,-0.117326
19,-1.1647726,-1.0968266,"('inhospitable', 'hospitable')",-1.1647726,-1.0968266,0.067946
20,-0.1694591,-0.084817015,"('rough', 'thoughtful')",-0.1694591,-0.084817,0.0846421
21,1.1302236,1.1465601,"('immoral', 'moral')",1.1302236,1.1465601,0.0163365
22,-0.18777889,-0.26963425,"('untrustworthy', 'trustworthy')",-0.1877789,-0.2696342,-0.0818553
23,6.1300974,5.9804454,"('insincere', 'sincere')",6.1300974,5.9804454,-0.149652
24,1.321347,1.318105,"('dishonest', 'honest')",1.321347,1.318105,-0.003242
25,0.07015218,0.058213245,"('egoistic', 'altruistic')",0.0701522,0.0582132,-0.011939
26,0.6655966,0.52012825,"('hardhearted', 'benevolent')",0.6655966,0.5201283,-0.1454683
27,0.29324678,0.29655245,"('hardhearted', 'softhearted')",0.2932468,0.2965524,0.0033056
28,1.5028313,1.3910995,"('disloyal', 'loyal')",1.5028313,1.3910995,-0.1117318
29,-1.2264163,-1.3660306,"('unfair', 'fair')",-1.2264163,-1.3660306,-0.1396143
30,1.0357771,0.89516586,"('intolerant', 'tolerant')",1.0357771,0.8951659,-0.1406112
