,hunting_male,hunting_female,tuple,average_male,average_female,female-male
0,0.10162179,0.12934741,"('unsociable', 'sociable')",0.1016218,0.1293474,0.0277256
1,1.0722711,0.85490185,"('unfriendly', 'friendly')",1.0722711,0.8549019,-0.2173692
2,-0.13792777,-0.042213134,"('unlikable', 'likable')",-0.1379278,-0.0422131,0.0957147
3,0.5566618,0.69907194,"('repellent', 'pleasant')",0.5566618,0.6990719,0.1424101
4,-7.370531,-7.51298,"('disliked', 'liked')",-7.3705311,-7.51298,-0.1424489
5,-0.3487455,-0.4996008,"('distant', 'outgoing')",-0.3487455,-0.4996008,-0.1508553
6,0.19132692,-0.06782863,"('distant', 'open')",0.1913269,-0.0678286,-0.2591555
7,0.8895009,1.0046813,"('insensitive', 'sensitive')",0.8895009,1.0046813,0.1151804
8,1.2824534,0.9778378,"('unaffectionate', 'affectionate')",1.2824534,0.9778378,-0.3046156
9,1.6568342,1.5383049,"('unaffectionate', 'caring')",1.6568342,1.5383049,-0.1185293
10,0.8583947,1.0578438,"('unsympathetic', 'sympathetic')",0.8583947,1.0578438,0.1994491
11,1.3806331,1.6128985,"('unhelpful', 'helpful')",1.3806331,1.6128985,0.2322654
12,-1.7568723,-1.705167,"('unsupportive', 'supportive')",-1.7568723,-1.7051671,0.0517052
13,-0.42411312,-0.15567791,"('impolite', 'polite')",-0.4241131,-0.1556779,0.2684352
14,0.11775102,0.22405416,"('antisocial', 'social')",0.117751,0.2240542,0.1063032
15,0.022110188,-0.07189188,"('boring', 'funny')",0.0221102,-0.0718919,-0.0940021
16,-0.3637257,-0.46787244,"('unpopular', 'popular')",-0.3637257,-0.4678724,-0.1041467
17,-0.10602808,-0.08697477,"('nasty', 'nice')",-0.1060281,-0.0869748,0.0190533
18,-0.63596386,-0.613075,"('disagreeable', 'welcoming')",-0.6359639,-0.613075,0.0228889
19,-0.67005336,-0.80443484,"('inhospitable', 'hospitable')",-0.6700534,-0.8044348,-0.1343814
20,0.80418986,0.77946776,"('rough', 'thoughtful')",0.8041899,0.7794678,-0.0247221
21,-0.45492634,-0.117357835,"('immoral', 'moral')",-0.4549263,-0.1173578,0.3375685
22,-0.62330353,-0.44950795,"('untrustworthy', 'trustworthy')",-0.6233035,-0.449508,0.1737955
23,5.888863,6.01509,"('insincere', 'sincere')",5.8888631,6.01509,0.1262269
24,1.2379444,1.2355717,"('dishonest', 'honest')",1.2379444,1.2355717,-0.0023727
25,0.47614315,0.3041562,"('egoistic', 'altruistic')",0.4761432,0.3041562,-0.171987
26,1.0414584,0.7968433,"('hardhearted', 'benevolent')",1.0414584,0.7968433,-0.2446151
27,1.4239727,1.2369864,"('hardhearted', 'softhearted')",1.4239727,1.2369864,-0.1869863
28,1.2000822,1.0810374,"('disloyal', 'loyal')",1.2000822,1.0810374,-0.1190448
29,-0.16541289,-0.3709347,"('unfair', 'fair')",-0.1654129,-0.3709347,-0.2055218
30,0.71364367,0.82209206,"('intolerant', 'tolerant')",0.7136437,0.8220921,0.1084484
31,-1.3975052,-1.7040015,"('evil', 'good')",-1.3975052,-1.7040015,-0.3064963
32,1.1224881,1.0698012,"('unkind', 'kind')",1.1224881,1.0698012,-0.0526869
33,-0.3870269,-0.5270742,"('wrong', 'right')",-0.3870269,-0.5270742,-0.1400473
34,4.460114,4.590394,"('mean', 'honorable')",4.460114,4.590394,0.13028
35,-0.7203609,-1.1800396,"('corrupt', 'incorrupt')",-0.7203609,-1.1800396,-0.4596787
36,-0.6003567,-0.9827605,"('hostile', 'amicable')",-0.6003567,-0.9827605,-0.3824038
37,0.7377998,0.72617084,"('fake', 'genuine')",0.7377998,0.7261708,-0.011629
38,-0.5059633,-0.41283774,"('untruthful', 'truthful')",-0.5059633,-0.4128377,0.0931256
39,0.08144106,0.20356065,"('exploitative', 'cooperative')",0.0814411,0.2035607,0.1221196
40,-1.5551612,-1.7175064,"('stingy', 'generous')",-1.5551612,-1.7175064,-0.1623452
41,0.105387,0.15115403,"('unforgiving', 'forgiving')",0.105387,0.151154,0.045767
42,-2.021025,-1.8810349,"('unreliable', 'reliable')",-2.0210249,-1.8810349,0.13999
43,1.0874485,1.3089458,"('irresponsible', 'responsible')",1.0874485,1.3089458,0.2214973
44,-0.94131905,-0.8348477,"('prejudiced', 'unprejudiced')",-0.941319,-0.8348477,0.1064713
45,0.1583479,0.12381289,"('incompetent', 'competent')",0.1583479,0.1238129,-0.034535
46,-0.7717893,-0.5090324,"('uncompetitive', 'competitive')",-0.7717893,-0.5090324,0.2627569
47,4.912195,5.0535603,"('stupid', 'smart')",4.9121952,5.0535603,0.1413651
48,0.3400322,0.3949703,"('unintelligent', 'intelligent')",0.3400322,0.3949703,0.0549381
49,-0.3487202,-0.1898097,"('unable', 'able')",-0.3487202,-0.1898097,0.1589105
50,-0.27855313,-0.38789445,"('clumsy', 'skillful')",-0.2785531,-0.3878945,-0.1093414
51,0.051153887,0.09525755,"('uneducated', 'educated')",0.0511539,0.0952576,0.0441037
52,-0.108605936,-0.4628863,"('irrational', 'rational')",-0.1086059,-0.4628863,-0.3542804
53,0.1698918,-0.04502617,"('uncreative', 'creative')",0.1698918,-0.0450262,-0.214918
54,1.0852369,1.0482292,"('incapable', 'capable')",1.0852369,1.0482292,-0.0370077
55,0.5040038,0.6883326,"('incompetent', 'clever')",0.5040038,0.6883326,0.1843288
56,0.46237782,0.6175947,"('impractical', 'practical')",0.4623778,0.6175947,0.1552169
57,-2.519968,-2.4887264,"('unimaginative', 'imaginative')",-2.519968,-2.4887264,0.0312416
58,0.15222025,0.12697637,"('undiscriminating', 'discriminating')",0.1522202,0.1269764,-0.0252438
59,0.17145695,0.008052621,"('foolish', 'wise')",0.1714569,0.0080526,-0.1634043
60,0.2557132,0.7245892,"('inefficient', 'efficient')",0.2557132,0.7245892,0.468876
61,0.3033527,0.19737273,"('illogical', 'logical')",0.3033527,0.1973727,-0.10598
62,0.43382913,0.7280085,"('incompetent', 'brilliant')",0.4338291,0.7280085,0.2941794
63,-0.115415916,0.07752869,"('unperceptive', 'insightful')",-0.1154159,0.0775287,0.1929446
64,-6.0559053,-5.812483,"('shy', 'confident')",-6.0559053,-5.8124828,0.2434225
65,0.33962372,0.6227988,"('insecure', 'secure')",0.3396237,0.6227988,0.2831751
66,0.3710287,0.09818672,"('inactive', 'active')",0.3710287,0.0981867,-0.272842
67,-0.45230165,-0.32475698,"('doubtful', 'determined')",-0.4523017,-0.324757,0.1275447
68,-0.99456334,-0.8668252,"('dependent', 'independent')",-0.9945633,-0.8668252,0.1277381
69,-1.7637696,-1.9534932,"('lazy', 'industrious')",-1.7637696,-1.9534932,-0.1897236
70,1.2668707,1.433345,"('lethargic', 'energetic')",1.2668707,1.433345,0.1664743
71,0.9277078,0.72398263,"('diffident', 'self-confident')",0.9277078,0.7239826,-0.2037252
72,0.5056786,0.75533426,"('unambitious', 'ambitious')",0.5056786,0.7553343,0.2496557
73,-3.0730352,-3.02119,"('helpless', 'self-reliant')",-3.0730352,-3.0211899,0.0518453
74,-0.0042015016,-0.081287734,"('undedicated', 'dedicated')",-0.0042015,-0.0812877,-0.0770862
75,-0.8505653,-0.7977013,"('meek', 'impulsive')",-0.8505653,-0.7977013,0.052864
76,0.45237342,0.6862733,"('anxious', 'daring')",0.4523734,0.6862733,0.2338999
77,-1.5065833,-1.22033,"('unmotivated', 'motivated')",-1.5065833,-1.22033,0.2862533
78,-0.6990016,-0.76048833,"('nonresilient', 'resilient')",-0.6990016,-0.7604883,-0.0614867
79,-0.27518845,-0.4889236,"('wavering', 'unwavering')",-0.2751884,-0.4889236,-0.2137352
80,-0.2907368,-0.17047696,"('dominated', 'dominating')",-0.2907368,-0.170477,0.1202598
81,-0.25882155,0.07991942,"('submissive', 'aggressive')",-0.2588215,0.0799194,0.3387409
82,6.3393035,6.2747993,"('poor', 'rich')",6.3393035,6.2747993,-0.0645042
83,-0.41778886,-0.31108165,"('powerless', 'powerful')",-0.4177889,-0.3110816,0.1067073
84,0.42814928,0.37261176,"('inferior', 'superior')",0.4281493,0.3726118,-0.0555375
85,-0.585793,-0.93091017,"('insignificant', 'prestigious')",-0.585793,-0.9309102,-0.3451172
86,0.35703608,0.2951518,"('uninfluential', 'influential')",0.3570361,0.2951518,-0.0618843
87,-0.31673768,-0.30452093,"('unsuccessful', 'successful')",-0.3167377,-0.3045209,0.0122168
88,-0.312987,-0.19206044,"('low', 'eminent')",-0.312987,-0.1920604,0.1209266
