,resmed_male,resmed_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.8174264,0.71658087,"('unsociable', 'sociable')",0.08330548,-0.03997285,0.4503659,0.338304,-0.1120619
1,-1.2545428,-1.3327372,"('unfriendly', 'friendly')",1.4279144,1.262619,0.0866858,-0.0350591,-0.1217449
2,0.64368355,0.6297635,"('unlikable', 'likable')",0.44587168,0.47504112,0.5447776,0.5524023,0.0076247
3,0.18211308,0.34747744,"('repellent', 'pleasant')",0.08706628,0.18558133,0.1345897,0.2665294,0.1319397
4,-0.5950261,-0.7016682,"('disliked', 'liked')",-6.3152804,-6.318838,-3.4551532,-3.5102532,-0.0551
5,-1.6477664,-1.7360668,"('distant', 'outgoing')",-0.562693,-0.6529731,-1.1052296,-1.19452,-0.0892904
6,-2.1944385,-2.2870505,"('distant', 'open')",-0.07760591,-0.21447796,-1.1360222,-1.2507643,-0.1147421
7,0.3587077,0.52157533,"('insensitive', 'sensitive')",0.80022174,0.8722033,0.5794647,0.6968893,0.1174246
8,-1.6938936,-1.7359595,"('unaffectionate', 'affectionate')",0.49507284,0.3443011,-0.5994104,-0.6958292,-0.0964188
9,-0.93400484,-0.8657064,"('unaffectionate', 'caring')",1.0274254,1.0003679,0.0467103,0.0673307,0.0206204
10,0.68971264,0.8816915,"('unsympathetic', 'sympathetic')",0.074995026,0.09925064,0.3823538,0.4904711,0.1081173
11,0.20739502,0.32440776,"('unhelpful', 'helpful')",1.8702742,1.9658709,1.0388346,1.1451393,0.1063047
12,0.33270884,0.47711858,"('unsupportive', 'supportive')",-1.7996475,-1.7322292,-0.7334693,-0.6275553,0.105914
13,0.85846686,0.8742441,"('impolite', 'polite')",-0.2835415,-0.17305638,0.2874627,0.3505939,0.0631312
14,1.8609974,1.8392856,"('antisocial', 'social')",0.11791506,0.09655236,0.9894562,0.967919,-0.0215372
15,-0.40076503,-0.52758276,"('boring', 'funny')",0.73879254,0.63274664,0.1690138,0.0525819,-0.1164319
16,-0.42009908,-0.37721357,"('unpopular', 'popular')",0.30798757,0.37131464,-0.0560558,-0.0029495,0.0531063
17,0.041560583,0.11771849,"('nasty', 'nice')",-0.42560425,-0.40622768,-0.1920218,-0.1442546,0.0477672
