,hasbro_male,hasbro_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.95981574,-0.93330216,"('unsociable', 'sociable')",-0.18847717,-0.3718857,-0.5741464,-0.6525939,-0.0784475
1,-0.149641,-0.36667657,"('unfriendly', 'friendly')",1.9201303,1.6409351,0.8852446,0.6371292,-0.2481154
2,0.4573237,0.512661,"('unlikable', 'likable')",0.3784425,0.45152575,0.4178831,0.4820934,0.0642103
3,-0.39100647,-0.18480834,"('repellent', 'pleasant')",0.0641042,0.13136038,-0.1634511,-0.026724,0.1367271
4,0.2649169,0.14697498,"('disliked', 'liked')",-6.220306,-6.3000455,-2.9776945,-3.0765352,-0.0988407
5,0.027346082,-0.20858738,"('distant', 'outgoing')",-0.23735237,-0.36564356,-0.1050031,-0.2871155,-0.1821124
6,-0.26234728,-0.48806137,"('distant', 'open')",0.10183872,-0.06741731,-0.0802543,-0.2777393,-0.197485
7,-0.5193963,-0.32546797,"('insensitive', 'sensitive')",0.6261731,0.61404836,0.0533884,0.1442902,0.0909018
8,0.012540933,-0.17671306,"('unaffectionate', 'affectionate')",0.45909345,0.38308325,0.2358172,0.1031851,-0.1326321
9,0.22971818,0.06994753,"('unaffectionate', 'caring')",0.98470706,0.9518334,0.6072126,0.5108905,-0.0963221
10,-1.181459,-0.9444226,"('unsympathetic', 'sympathetic')",-0.25953144,-0.2695197,-0.7204952,-0.6069711,0.1135241
11,-0.15675002,-0.038361408,"('unhelpful', 'helpful')",1.7351207,1.8351686,0.7891853,0.8984036,0.1092183
12,-0.09114577,-0.0053964388,"('unsupportive', 'supportive')",-1.5854006,-1.6078109,-0.8382732,-0.8066037,0.0316695
13,-0.5326896,-0.39654428,"('impolite', 'polite')",-0.2449116,-0.19349688,-0.3888006,-0.2950206,0.09378
14,-0.44814226,-0.2872593,"('antisocial', 'social')",-0.49844956,-0.52689964,-0.4732959,-0.4070795,0.0662164
15,0.36199507,0.15576531,"('boring', 'funny')",0.6629174,0.60125077,0.5124562,0.378508,-0.1339482
16,0.14495793,0.059979282,"('unpopular', 'popular')",0.8529484,0.8109706,0.4989532,0.4354749,-0.0634783
17,-0.08213985,-0.05398474,"('nasty', 'nice')",-0.20286076,-0.1273168,-0.1425003,-0.0906508,0.0518495
18,-0.78895414,-0.8509643,"('disagreeable', 'welcoming')",-0.5633562,-0.71160114,-0.6761552,-0.7812827,-0.1051275
19,-0.3872246,-0.59388137,"('inhospitable', 'hospitable')",0.047964122,0.01840008,-0.1696302,-0.2877406,-0.1181104
20,-1.0169135,-0.95103717,"('rough', 'thoughtful')",1.0967559,1.0271028,0.0399212,0.0380328,-0.0018884
21,-0.15193197,0.0051895343,"('immoral', 'moral')",-0.41231236,-0.3863229,-0.2821222,-0.1905667,0.0915555
22,-1.4424512,-1.3972926,"('untrustworthy', 'trustworthy')",-1.3629758,-1.4167275,-1.4027135,-1.4070101,-0.0042966
23,-0.3818173,-0.29943797,"('insincere', 'sincere')",5.855639,5.857563,2.7369108,2.7790625,0.0421517
24,0.22942114,0.21687345,"('dishonest', 'honest')",0.86143225,0.789282,0.5454267,0.5030777,-0.042349
25,0.2694107,0.13408302,"('egoistic', 'altruistic')",1.1317184,1.0614033,0.7005646,0.5977432,-0.1028214
26,0.29223275,0.15165715,"('hardhearted', 'benevolent')",1.4421488,1.2938558,0.8671908,0.7227564,-0.1444344
27,0.27438846,0.26757586,"('hardhearted', 'softhearted')",1.3231089,1.2191154,0.7987487,0.7433456,-0.0554031
28,-0.5093857,-0.5383093,"('disloyal', 'loyal')",0.80149144,0.6833267,0.1460529,0.0725087,-0.0735442
29,-0.39958957,-0.481547,"('unfair', 'fair')",-0.47027037,-0.6706476,-0.43493,-0.5760973,-0.1411673
30,0.19186562,0.32134575,"('intolerant', 'tolerant')",1.1374785,1.0843713,0.664672,0.7028586,0.0381866
31,-0.63432485,-0.84374803,"('evil', 'good')",-1.031541,-1.2093468,-0.8329329,-1.0265474,-0.1936145
32,-0.13667044,-0.083781466,"('unkind', 'kind')",0.8233597,0.7355779,0.3433446,0.3258982,-0.0174464
33,0.26830345,0.11211081,"('wrong', 'right')",-0.53909963,-0.5647038,-0.1353981,-0.2262965,-0.0908984
34,0.3646807,0.466182,"('mean', 'honorable')",6.139135,6.2286053,3.2519078,3.3473935,0.0954857
35,0.23858447,-0.079427764,"('corrupt', 'incorrupt')",-0.11691712,-0.27623495,0.0608337,-0.1778314,-0.2386651
36,0.17534646,-0.22556064,"('hostile', 'amicable')",0.20975827,-0.10134961,0.1925524,-0.1634551,-0.3560075
37,-0.22993436,-0.17336497,"('fake', 'genuine')",0.33007348,0.35483384,0.0500696,0.0907344,0.0406648
38,-0.7142514,-0.6675353,"('untruthful', 'truthful')",0.32969,0.40984482,-0.1922807,-0.1288452,0.0634355
39,0.39008448,0.48786256,"('exploitative', 'cooperative')",-0.113752246,0.0010512471,0.1381661,0.2444569,0.1062908
40,-0.051578395,-0.094594374,"('stingy', 'generous')",-1.3756894,-1.502552,-0.7136339,-0.7985732,-0.0849393
41,-0.30562893,-0.2546467,"('unforgiving', 'forgiving')",0.11984475,-0.06330666,-0.0928921,-0.1589767,-0.0660846
42,-0.61606836,-0.5646152,"('unreliable', 'reliable')",-3.4814842,-3.4071581,-2.0487761,-1.9858867,0.0628894
43,-0.5507843,-0.39511535,"('irresponsible', 'responsible')",0.56523454,0.5483053,0.0072251,0.076595,0.0693699
44,-0.0353702,0.041459892,"('prejudiced', 'unprejudiced')",-1.8627874,-1.7695762,-0.9490788,-0.8640581,0.0850207
45,-0.8022921,-0.6720617,"('incompetent', 'competent')",-0.18776348,-0.25542897,-0.4950278,-0.4637453,0.0312825
46,-0.26583582,-0.08505936,"('uncompetitive', 'competitive')",-0.43670553,-0.4284123,-0.3512707,-0.2567358,0.0945349
47,-0.25746152,-0.102169365,"('stupid', 'smart')",5.064938,5.17308,2.4037383,2.5354552,0.1317169
48,0.2043692,0.3100084,"('unintelligent', 'intelligent')",1.114267,1.0597535,0.6593181,0.684881,0.0255629
49,-0.0005262345,0.10138926,"('unable', 'able')",-0.31803557,-0.19016734,-0.1592809,-0.044389,0.1148919
50,-0.16357401,-0.22249112,"('clumsy', 'skillful')",0.14447787,0.12934616,-0.0095481,-0.0465725,-0.0370244
51,-0.73143405,-0.7226885,"('uneducated', 'educated')",1.0291892,0.9855983,0.1488776,0.1314549,-0.0174227
52,0.2998469,-0.020783946,"('irrational', 'rational')",0.011770943,-0.13489623,0.1558089,-0.0778401,-0.233649
53,-0.94145715,-1.0766431,"('uncreative', 'creative')",0.7054272,0.5749944,-0.118015,-0.2508244,-0.1328094
54,0.115579516,0.007035749,"('incapable', 'capable')",1.0228453,1.1236281,0.5692124,0.5653319,-0.0038805
55,-0.61508787,-0.42407528,"('incompetent', 'clever')",0.10227799,0.09246284,-0.2564049,-0.1658062,0.0905987
56,-0.10734413,0.032161064,"('impractical', 'practical')",0.080905296,0.07987731,-0.0132194,0.0560192,0.0692386
57,-1.6819746,-1.6162056,"('unimaginative', 'imaginative')",-2.6690295,-2.7666402,-2.1755021,-2.1914229,-0.0159208
58,-0.70971197,-0.7569541,"('undiscriminating', 'discriminating')",0.23323983,0.08557617,-0.2382361,-0.3356889,-0.0974528
59,0.42651662,0.26534766,"('foolish', 'wise')",0.4216474,0.41513443,0.424082,0.340241,-0.083841
60,-0.04057526,0.2792873,"('inefficient', 'efficient')",0.23563677,0.38739428,0.0975308,0.3333408,0.23581
61,-0.24682534,-0.29222822,"('illogical', 'logical')",0.45431137,0.3253842,0.103743,0.016578,-0.087165
62,0.08824553,0.40902722,"('incompetent', 'brilliant')",0.4232502,0.70486665,0.2557479,0.5569469,0.301199
63,-0.6850033,-0.52588826,"('unperceptive', 'insightful')",1.2732099,1.3065916,0.2941033,0.3903517,0.0962484
64,-0.2585806,-0.20887476,"('shy', 'confident')",-6.726699,-6.649979,-3.4926398,-3.4294269,0.0632129
65,-0.5846211,-0.4384088,"('insecure', 'secure')",-0.6998684,-0.667227,-0.6422447,-0.5528179,0.0894268
66,0.015272595,-0.17931284,"('inactive', 'active')",0.83940995,0.81196743,0.4273413,0.3163273,-0.111014
67,0.5551287,0.5272277,"('doubtful', 'determined')",-0.27783534,-0.3127015,0.1386467,0.1072631,-0.0313836
68,-0.83304554,-0.8779593,"('dependent', 'independent')",-0.05094273,-0.15183635,-0.4419941,-0.5148978,-0.0729037
69,0.4221458,0.28859207,"('lazy', 'industrious')",-0.5074256,-0.4803797,-0.0426399,-0.0958938,-0.0532539
70,-0.6578184,-0.47788054,"('lethargic', 'energetic')",0.48521912,0.5504332,-0.0862996,0.0362763,0.1225759
71,0.49553818,0.41777927,"('diffident', 'self-confident')",0.559816,0.5031019,0.5276771,0.4604406,-0.0672365
72,-0.8948719,-0.81365776,"('unambitious', 'ambitious')",-0.77841175,-0.6928503,-0.8366418,-0.7532541,0.0833877
73,0.52990055,0.50150836,"('helpless', 'self-reliant')",-3.30554,-3.2184806,-1.3878198,-1.3584862,0.0293336
74,-0.52698034,-0.52870977,"('undedicated', 'dedicated')",0.028270058,-0.12040547,-0.2493551,-0.3245576,-0.0752025
75,0.48020652,0.39506397,"('meek', 'impulsive')",-0.22252195,-0.1494055,0.1288423,0.1228292,-0.0060131
76,-0.13906741,0.09271161,"('anxious', 'daring')",0.23984787,0.37330133,0.0503902,0.2330065,0.1826163
77,-0.45346782,-0.40013167,"('unmotivated', 'motivated')",-0.8508193,-0.7577398,-0.6521435,-0.5789357,0.0732078
78,-0.3794108,-0.28674376,"('nonresilient', 'resilient')",0.47553974,0.5303273,0.0480645,0.1217918,0.0737273
79,-0.37386236,-0.6145882,"('wavering', 'unwavering')",0.19688047,0.1626741,-0.0884909,-0.2259571,-0.1374662
80,-0.56585723,-0.34813842,"('dominated', 'dominating')",-1.2863879,-1.1256223,-0.9261225,-0.7368804,0.1892421
81,0.2278293,0.52537286,"('submissive', 'aggressive')",-0.5096189,-0.31370208,-0.1408948,0.1058354,0.2467302
82,0.16281374,0.18369307,"('poor', 'rich')",6.111845,6.182627,3.1373293,3.1831601,0.0458308
83,0.27377743,0.2191715,"('powerless', 'powerful')",-0.7582496,-0.8011707,-0.2422361,-0.2909996,-0.0487635
84,0.036191788,-0.04035297,"('inferior', 'superior')",1.0544264,0.9986831,0.5453091,0.4791651,-0.066144
85,0.6503328,0.41197336,"('insignificant', 'prestigious')",0.8301841,0.73964113,0.7402585,0.5758072,-0.1644513
86,-0.73750436,-0.8417435,"('uninfluential', 'influential')",0.3151937,0.11229496,-0.2111553,-0.3647243,-0.153569
87,0.488531,0.53033113,"('unsuccessful', 'successful')",0.925704,1.0582578,0.7071175,0.7942945,0.087177
88,-0.09868872,-0.13054183,"('low', 'eminent')",0.40454462,0.3468271,0.152928,0.1081426,-0.0447854
