,negligee_male,negligee_female,tuple,average_male,average_female,female-male
0,-1.2434722,-1.3838509,"('unsociable', 'sociable')",-1.2434722,-1.3838509,-0.1403787
1,-1.133074,-1.3626559,"('unfriendly', 'friendly')",-1.133074,-1.3626559,-0.2295819
2,0.3642025,0.39856586,"('unlikable', 'likable')",0.3642025,0.3985659,0.0343634
3,-1.0545082,-0.8970164,"('repellent', 'pleasant')",-1.0545082,-0.8970164,0.1574918
4,-1.9448705,-1.8971488,"('disliked', 'liked')",-1.9448705,-1.8971488,0.0477217
5,-0.122773334,-0.077075966,"('distant', 'outgoing')",-0.1227733,-0.077076,0.0456973
6,-0.32434857,-0.32571018,"('distant', 'open')",-0.3243486,-0.3257102,-0.0013616
7,-0.8911379,-0.84981513,"('insensitive', 'sensitive')",-0.8911379,-0.8498151,0.0413228
8,-1.2499812,-1.3973199,"('unaffectionate', 'affectionate')",-1.2499812,-1.3973199,-0.1473387
9,-1.4145373,-1.4966801,"('unaffectionate', 'caring')",-1.4145373,-1.4966801,-0.0821428
10,-1.6621407,-1.6041057,"('unsympathetic', 'sympathetic')",-1.6621407,-1.6041057,0.058035
11,-0.19643046,-0.12172572,"('unhelpful', 'helpful')",-0.1964305,-0.1217257,0.0747048
12,-2.2357912,-2.1430736,"('unsupportive', 'supportive')",-2.2357912,-2.1430736,0.0927176
13,-1.5534784,-1.549973,"('impolite', 'polite')",-1.5534784,-1.549973,0.0035054
14,-0.8372715,-0.8366099,"('antisocial', 'social')",-0.8372715,-0.8366099,0.0006616
15,1.5937243,1.5166571,"('boring', 'funny')",1.5937243,1.5166571,-0.0770672
16,0.48451024,0.45760524,"('unpopular', 'popular')",0.4845102,0.4576052,-0.026905
17,-0.28488046,-0.10966096,"('nasty', 'nice')",-0.2848805,-0.109661,0.1752195
18,-0.49108225,-0.50000906,"('disagreeable', 'welcoming')",-0.4910823,-0.5000091,-0.0089268
