,condominium_male,condominium_female,tuple,average_male,average_female,female-male
0,0.088347256,0.015198408,"('unsociable', 'sociable')",0.0883473,0.0151984,-0.0731489
1,0.5791022,0.44797167,"('unfriendly', 'friendly')",0.5791022,0.4479717,-0.1311305
2,0.9469184,1.1014361,"('unlikable', 'likable')",0.9469184,1.1014361,0.1545177
3,-0.6452011,-0.507007,"('repellent', 'pleasant')",-0.6452011,-0.507007,0.1381941
4,-2.1727002,-1.8841716,"('disliked', 'liked')",-2.1727002,-1.8841716,0.2885286
5,1.3497256,1.3820894,"('distant', 'outgoing')",1.3497256,1.3820894,0.0323638
6,1.1842575,1.1980143,"('distant', 'open')",1.1842575,1.1980143,0.0137568
7,0.6861747,0.708398,"('insensitive', 'sensitive')",0.6861747,0.708398,0.0222233
8,0.97633076,0.8735607,"('unaffectionate', 'affectionate')",0.9763308,0.8735607,-0.1027701
9,1.2855685,1.1782389,"('unaffectionate', 'caring')",1.2855685,1.1782389,-0.1073296
10,-0.50364405,-0.5632124,"('unsympathetic', 'sympathetic')",-0.503644,-0.5632124,-0.0595684
11,0.4039355,0.31278276,"('unhelpful', 'helpful')",0.4039355,0.3127828,-0.0911527
12,0.053673938,0.16056424,"('unsupportive', 'supportive')",0.0536739,0.1605642,0.1068903
13,-0.20710605,-0.3165196,"('impolite', 'polite')",-0.2071061,-0.3165196,-0.1094135
14,0.22188815,0.27036628,"('antisocial', 'social')",0.2218882,0.2703663,0.0484781
15,0.81479156,0.774455,"('boring', 'funny')",0.8147916,0.774455,-0.0403366
16,0.70443213,0.8604267,"('unpopular', 'popular')",0.7044321,0.8604267,0.1559946
17,0.4262125,0.5798845,"('nasty', 'nice')",0.4262125,0.5798845,0.153672
18,0.17055109,0.2709095,"('disagreeable', 'welcoming')",0.1705511,0.2709095,0.1003584
19,-0.40852058,-0.43884254,"('inhospitable', 'hospitable')",-0.4085206,-0.4388425,-0.0303219
20,-0.31828704,-0.32279256,"('rough', 'thoughtful')",-0.318287,-0.3227926,-0.0045056
21,-0.51391196,-0.46407047,"('immoral', 'moral')",-0.513912,-0.4640705,0.0498415
22,-0.6773008,-0.60263395,"('untrustworthy', 'trustworthy')",-0.6773008,-0.602634,0.0746668
23,2.498181,2.2975543,"('insincere', 'sincere')",2.4981811,2.2975543,-0.2006268
24,-0.269118,-0.36096865,"('dishonest', 'honest')",-0.269118,-0.3609686,-0.0918506
25,0.25572777,0.15168451,"('egoistic', 'altruistic')",0.2557278,0.1516845,-0.1040433
26,1.3600602,1.1619811,"('hardhearted', 'benevolent')",1.3600602,1.1619811,-0.1980791
27,1.051673,0.8829145,"('hardhearted', 'softhearted')",1.0516731,0.8829145,-0.1687586
28,0.09951541,-0.14023481,"('disloyal', 'loyal')",0.0995154,-0.1402348,-0.2397502
29,-0.08950393,-0.058992907,"('unfair', 'fair')",-0.0895039,-0.0589929,0.030511
30,0.65403503,0.66042113,"('intolerant', 'tolerant')",0.654035,0.6604211,0.0063861
31,-0.14632127,-0.02954734,"('evil', 'good')",-0.1463213,-0.0295473,0.116774
32,0.3452925,0.17210807,"('unkind', 'kind')",0.3452925,0.1721081,-0.1731844
33,0.7306094,0.70655143,"('wrong', 'right')",0.7306094,0.7065514,-0.024058
34,2.192213,2.2005763,"('mean', 'honorable')",2.1922131,2.2005763,0.0083632
35,0.262946,0.17075491,"('corrupt', 'incorrupt')",0.262946,0.1707549,-0.0921911
36,0.46416456,0.5173219,"('hostile', 'amicable')",0.4641646,0.5173219,0.0531573
37,0.3342094,0.22652239,"('fake', 'genuine')",0.3342094,0.2265224,-0.107687
38,0.62481385,0.53651077,"('untruthful', 'truthful')",0.6248139,0.5365108,-0.0883031
39,0.85494035,0.91825515,"('exploitative', 'cooperative')",0.8549404,0.9182552,0.0633148
40,-0.30948433,-0.2738311,"('stingy', 'generous')",-0.3094843,-0.2738311,0.0356532
41,0.25741106,0.2706383,"('unforgiving', 'forgiving')",0.2574111,0.2706383,0.0132272
42,-1.3274004,-1.0742337,"('unreliable', 'reliable')",-1.3274004,-1.0742337,0.2531667
43,0.5288871,0.5431294,"('irresponsible', 'responsible')",0.5288871,0.5431294,0.0142423
44,-0.70741534,-0.5646742,"('prejudiced', 'unprejudiced')",-0.7074153,-0.5646742,0.1427411
45,-0.4206601,-0.3296427,"('incompetent', 'competent')",-0.4206601,-0.3296427,0.0910174
46,-1.3114191,-1.2735701,"('uncompetitive', 'competitive')",-1.3114191,-1.2735701,0.037849
47,2.1599195,2.0530412,"('stupid', 'smart')",2.1599195,2.0530412,-0.1068783
48,-0.33041328,-0.4680457,"('unintelligent', 'intelligent')",-0.3304133,-0.4680457,-0.1376324
49,-0.86771977,-0.7627853,"('unable', 'able')",-0.8677198,-0.7627853,0.1049345
50,-0.16667172,-0.2135034,"('clumsy', 'skillful')",-0.1666717,-0.2135034,-0.0468317
51,-0.40610683,-0.57940924,"('uneducated', 'educated')",-0.4061068,-0.5794092,-0.1733024
52,0.52609754,0.42195082,"('irrational', 'rational')",0.5260975,0.4219508,-0.1041467
