,integrys_male,integrys_female,tuple,energy_male,energy_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
35,0.5635888,0.50967467,"('corrupt', 'incorrupt')",-0.39316908,-0.5180584,-1.2410342,-1.3245854,0.6549326,0.43200544,-0.1039205,-0.2252409,-0.1213204
36,-0.6010816,-0.64179003,"('hostile', 'amicable')",-0.77228695,-0.975263,-1.2294517,-1.3517969,0.99496615,0.7855372,-0.4019635,-0.5458282,-0.1438647
37,0.45401952,0.47096542,"('fake', 'genuine')",0.33389047,0.32305792,-0.041848257,-0.006276224,0.5076197,0.5273259,0.3134204,0.3287683,0.0153479
38,-0.39027148,-0.42116123,"('untruthful', 'truthful')",0.4592662,0.37980083,-0.66372687,-0.68250704,-0.107101746,-0.10075988,-0.1754585,-0.2061568,-0.0306983
39,0.78574175,0.79649544,"('exploitative', 'cooperative')",0.44229713,0.56782454,1.8379341,1.8818623,0.11669828,0.09961013,0.7956678,0.8364481,0.0407803
40,-0.50343025,-0.5181242,"('stingy', 'generous')",0.3413918,0.2449301,0.17619452,0.21636382,-1.5429343,-1.6082621,-0.3821945,-0.4162731,-0.0340786
41,-0.70604837,-0.72285175,"('unforgiving', 'forgiving')",-0.6953168,-0.7865437,0.5351641,0.5359906,0.14594322,0.08966512,-0.1800645,-0.2209349,-0.0408704
42,0.41232672,0.44460484,"('unreliable', 'reliable')",0.25456852,0.29300684,1.0926733,1.2032306,-3.391368,-3.3299532,-0.4079498,-0.3472777,0.0606721
43,-0.8465923,-0.8362644,"('irresponsible', 'responsible')",0.98717076,1.0872452,0.5355662,0.59136236,0.3048589,0.3532899,0.2452509,0.2989083,0.0536574
44,0.97955596,0.9662119,"('prejudiced', 'unprejudiced')",-0.09945371,-0.03042052,-0.040603995,-0.09572532,-1.2654858,-1.313567,-0.1064969,-0.1183752,-0.0118783
45,-1.5855027,-1.6007929,"('incompetent', 'competent')",-0.34678823,-0.35270092,0.02350612,0.006887533,-0.6433397,-0.6381679,-0.6380311,-0.6461936,-0.0081625
46,-0.49425334,-0.5208087,"('uncompetitive', 'competitive')",0.20373142,0.2782415,1.507817,1.5363495,-1.1113433,-1.048968,0.026488,0.0612036,0.0347156
47,-0.43155417,-0.32741445,"('stupid', 'smart')",0.984011,1.1133391,0.9494187,1.0669632,5.878285,5.972572,1.8450401,1.9563649,0.1113248
48,-0.997579,-1.0313898,"('unintelligent', 'intelligent')",0.5888898,0.5624668,-0.7910078,-0.793797,-0.013369374,0.038369484,-0.3032666,-0.3060876,-0.002821
49,-0.23163,-0.2078437,"('unable', 'able')",-0.19094093,-0.09388401,-0.67799336,-0.60928464,-0.611847,-0.48498625,-0.4281028,-0.3489996,0.0791032
50,0.6663574,0.64739716,"('clumsy', 'skillful')",0.23668501,0.17515655,0.17002937,0.19605674,-0.0022081137,-0.020013347,0.2677159,0.2496493,-0.0180666
51,-0.86371213,-0.9054104,"('uneducated', 'educated')",-0.2893596,-0.33911595,0.48929495,0.4354702,0.3865096,0.35708708,-0.0693168,-0.1129923,-0.0436755
52,-0.044205103,-0.1622256,"('irrational', 'rational')",-0.1688072,-0.3951347,-0.8997716,-1.0383246,0.6223925,0.47274628,-0.1225979,-0.2807347,-0.1581368
53,-0.94963354,-0.98740613,"('uncreative', 'creative')",0.6710671,0.5841725,0.12338145,0.06628606,1.1996436,1.1675545,0.2611147,0.2076517,-0.053463
54,-0.9546051,-1.0277704,"('incapable', 'capable')",-0.08776934,-0.12618181,-0.40749776,-0.45915666,1.0771748,1.0768675,-0.0931744,-0.1340604,-0.040886
55,-0.94579816,-0.9513812,"('incompetent', 'clever')",-0.38983977,-0.37355754,0.87067574,0.88825613,-0.38272375,-0.3421824,-0.2119215,-0.1947163,0.0172052
56,-0.3730555,-0.43098313,"('impractical', 'practical')",1.0782648,1.1611657,0.527967,0.5244212,-0.3794657,-0.34641594,0.2134277,0.227047,0.0136193
57,-1.0771563,-1.1462157,"('unimaginative', 'imaginative')",0.84103703,0.7955289,-0.08616758,-0.11654562,-2.578334,-2.546737,-0.7251552,-0.7534924,-0.0283372
58,0.28363073,0.22917387,"('undiscriminating', 'discriminating')",0.78356266,0.7444456,0.73294085,0.72968084,0.15769903,0.15819083,0.4894583,0.4653728,-0.0240855
59,0.0016470794,0.0036150012,"('foolish', 'wise')",1.1622436,1.1015419,-0.6712201,-0.7059571,0.47429618,0.4550028,0.2417417,0.2135507,-0.028191
60,-0.10629604,-0.0679458,"('inefficient', 'efficient')",1.5819243,1.7991719,0.9886344,1.0776088,-0.8898646,-0.70615613,0.3935995,0.5256697,0.1320702
61,-0.3918283,-0.45243573,"('illogical', 'logical')",0.90614796,0.8071738,-0.14928162,-0.2283474,0.13091178,0.037118047,0.1239875,0.0408772,-0.0831103
62,-0.3990967,-0.3856619,"('incompetent', 'brilliant')",0.47857425,0.59810644,0.5531757,0.61089206,-0.3763332,-0.21897493,0.06408,0.1510904,0.0870104
63,-0.9459978,-0.9377575,"('unperceptive', 'insightful')",0.75027734,0.7967471,1.0540583,1.1383356,0.28736508,0.4527369,0.2864257,0.3625155,0.0760898
64,0.057224963,0.029921701,"('shy', 'confident')",1.1062287,1.064667,1.1152651,1.1152079,-7.426356,-7.423635,-1.2869092,-1.3034596,-0.0165504
65,-0.29205853,-0.34827513,"('insecure', 'secure')",0.27615637,0.27393168,1.0033294,0.9823776,-0.80500305,-0.77986014,0.045606,0.0320435,-0.0135625
66,0.3242281,0.35973328,"('inactive', 'active')",-0.4566456,-0.50888604,0.661746,0.6555505,1.2540659,1.1936967,0.4458486,0.4250236,-0.020825
67,0.7290075,0.7278086,"('doubtful', 'determined')",-0.05031728,-0.025476605,0.6488588,0.6589272,-0.6271392,-0.5541354,0.1751024,0.201781,0.0266786
68,-0.20458272,-0.22605398,"('dependent', 'independent')",-0.23193341,-0.23539421,-0.14030556,-0.18995386,-0.79190284,-0.7882995,-0.3421811,-0.3599254,-0.0177443
69,0.7156287,0.7563038,"('lazy', 'industrious')",1.0704854,1.0069934,0.18791924,0.18193248,-0.47273582,-0.5038203,0.3753244,0.3603523,-0.0149721
70,-0.36727175,-0.35642776,"('lethargic', 'energetic')",0.652745,0.75628424,0.39817247,0.50281775,0.3420942,0.43307397,0.256435,0.333937,0.077502
71,-0.19560827,-0.19269882,"('diffident', 'self-confident')",1.5198345,1.5853904,-0.031905044,-0.073736146,0.5822293,0.55840015,0.4686376,0.4693389,0.0007013
72,-0.9606828,-0.9666333,"('unambitious', 'ambitious')",0.7197358,0.7175748,0.21470608,0.20631573,-0.9866877,-0.9666661,-0.2532322,-0.2523522,0.00088
73,1.2342489,1.2057891,"('helpless', 'self-reliant')",1.3817459,1.2796619,0.20850988,0.17513192,-3.1527438,-3.1758204,-0.0820597,-0.1288093,-0.0467496
74,-0.4461634,-0.46312478,"('undedicated', 'dedicated')",0.47447687,0.53032386,1.1603819,1.2174402,0.20621407,0.25514635,0.3487274,0.3849464,0.036219
75,0.57686085,0.5664109,"('meek', 'impulsive')",-0.35977665,-0.39886764,-1.0830022,-1.079201,-0.07521777,-0.04631198,-0.235284,-0.2394924,-0.0042084
76,0.24772044,0.24438895,"('anxious', 'daring')",-0.10148011,-0.015530843,1.0079713,1.1246763,-0.03531229,0.025269676,0.2797248,0.344701,0.0649762
77,-0.3317325,-0.35249665,"('unmotivated', 'motivated')",0.44476396,0.39873168,0.17662513,0.17693084,-1.6536115,-1.5101537,-0.3409888,-0.3217469,0.0192419
78,-0.49230585,-0.4553137,"('nonresilient', 'resilient')",0.2527882,0.33557606,0.63643074,0.7064392,-0.29982612,-0.16120791,0.0242717,0.1063734,0.0821017
79,-0.49850088,-0.5509271,"('wavering', 'unwavering')",-0.27806354,-0.40109113,-1.455122,-1.5123695,0.20247531,0.18872385,-0.5073028,-0.568916,-0.0616132
80,0.9518195,0.9903936,"('dominated', 'dominating')",0.46389803,0.54890585,1.841627,1.9028623,-1.4799811,-1.4157584,0.4443409,0.5066009,0.06226
81,-0.1185239,-0.113952205,"('submissive', 'aggressive')",1.4877983,1.5049002,1.4223663,1.4289963,-1.1625849,-1.0764872,0.407264,0.4358643,0.0286003
82,-1.2807591,-1.288824,"('poor', 'rich')",-0.5422171,-0.5696457,-0.19204083,-0.21499258,6.2188377,6.2475967,1.0509552,1.0435336,-0.0074216
83,0.08452219,0.057632424,"('powerless', 'powerful')",0.84261227,0.88937324,-0.26387328,-0.24784018,-1.0931565,-1.1363413,-0.1074738,-0.109294,-0.0018202
84,0.5842779,0.5498368,"('inferior', 'superior')",0.28036737,0.23286527,0.46563846,0.43224844,0.67731404,0.6427002,0.5018995,0.4644127,-0.0374868
85,-0.28428146,-0.3287725,"('insignificant', 'prestigious')",0.41195893,0.26317886,-0.34988528,-0.4501075,1.0609713,1.0256525,0.2096909,0.1274878,-0.0822031
86,-2.0077515,-2.09175,"('uninfluential', 'influential')",0.55653465,0.4374741,-0.29888162,-0.31759843,-0.47422552,-0.5316529,-0.556081,-0.6258818,-0.0698008
87,0.56472003,0.52988,"('unsuccessful', 'successful')",0.49264097,0.4079067,1.4486699,1.4089969,0.5430788,0.58568656,0.7622775,0.7331176,-0.0291599
88,-0.8585538,-0.96809655,"('low', 'eminent')",-0.16224688,-0.24953091,-0.71198845,-0.9124295,0.21753916,0.2203227,-0.3788125,-0.4774336,-0.0986211
