,bust_male,bust_female,tuple,average_male,average_female,female-male
0,-0.09287293,-0.25294325,"('unsociable', 'sociable')",-0.0928729,-0.2529432,-0.1600703
1,1.6546052,1.6699076,"('unfriendly', 'friendly')",1.6546052,1.6699076,0.0153024
2,0.6525257,0.8032453,"('unlikable', 'likable')",0.6525257,0.8032453,0.1507196
3,0.5679668,0.66780066,"('repellent', 'pleasant')",0.5679668,0.6678007,0.0998339
4,-6.872503,-6.8017216,"('disliked', 'liked')",-6.8725028,-6.8017216,0.0707812
5,0.062241048,0.30232283,"('distant', 'outgoing')",0.062241,0.3023228,0.2400818
6,0.41126326,0.6466567,"('distant', 'open')",0.4112633,0.6466567,0.2353934
7,0.3833867,0.4986243,"('insensitive', 'sensitive')",0.3833867,0.4986243,0.1152376
8,1.4123657,1.4003391,"('unaffectionate', 'affectionate')",1.4123657,1.4003391,-0.0120266
9,1.6066886,1.7608457,"('unaffectionate', 'caring')",1.6066886,1.7608457,0.1541571
10,0.92424786,1.0247703,"('unsympathetic', 'sympathetic')",0.9242479,1.0247703,0.1005224
11,1.8742458,1.9526219,"('unhelpful', 'helpful')",1.8742458,1.9526219,0.0783761
12,-1.6007088,-1.5352479,"('unsupportive', 'supportive')",-1.6007088,-1.5352479,0.0654609
13,0.18841164,0.09032435,"('impolite', 'polite')",0.1884116,0.0903243,-0.0980873
14,-0.6113499,-0.74141794,"('antisocial', 'social')",-0.6113499,-0.7414179,-0.130068
15,0.80894464,0.7381634,"('boring', 'funny')",0.8089446,0.7381634,-0.0707812
16,-0.2989933,-0.2272393,"('unpopular', 'popular')",-0.2989933,-0.2272393,0.071754
17,-0.025707997,0.04040326,"('nasty', 'nice')",-0.025708,0.0404033,0.0661113
18,-0.41349125,-0.5343748,"('disagreeable', 'welcoming')",-0.4134912,-0.5343748,-0.1208836
19,-0.020761725,0.22769849,"('inhospitable', 'hospitable')",-0.0207617,0.2276985,0.2484602
20,0.44817957,0.2581854,"('rough', 'thoughtful')",0.4481796,0.2581854,-0.1899942
21,-0.038277138,0.108027644,"('immoral', 'moral')",-0.0382771,0.1080276,0.1463047
22,-0.43190262,-0.3915778,"('untrustworthy', 'trustworthy')",-0.4319026,-0.3915778,0.0403248
23,6.198416,6.2426805,"('insincere', 'sincere')",6.1984162,6.2426805,0.0442643
24,1.6033722,1.6509727,"('dishonest', 'honest')",1.6033722,1.6509727,0.0476005
25,0.49628645,0.40965426,"('egoistic', 'altruistic')",0.4962865,0.4096543,-0.0866322
26,0.55022067,0.44108582,"('hardhearted', 'benevolent')",0.5502207,0.4410858,-0.1091349
27,1.6627915,1.5297264,"('hardhearted', 'softhearted')",1.6627915,1.5297264,-0.1330651
28,1.0358915,1.1168895,"('disloyal', 'loyal')",1.0358915,1.1168895,0.080998
29,-0.61896425,-0.7210168,"('unfair', 'fair')",-0.6189643,-0.7210168,-0.1020525
30,1.0220065,0.98374766,"('intolerant', 'tolerant')",1.0220065,0.9837477,-0.0382588
31,-1.3572391,-1.2831395,"('evil', 'good')",-1.3572391,-1.2831395,0.0740996
32,1.592653,1.5369346,"('unkind', 'kind')",1.592653,1.5369346,-0.0557184
33,-0.3692967,-0.2705907,"('wrong', 'right')",-0.3692967,-0.2705907,0.098706
34,4.5206127,4.771835,"('mean', 'honorable')",4.5206127,4.7718349,0.2512222
35,-0.96734285,-1.0340109,"('corrupt', 'incorrupt')",-0.9673429,-1.0340109,-0.066668
36,-0.61226475,-0.64527035,"('hostile', 'amicable')",-0.6122648,-0.6452703,-0.0330055
37,0.94633615,0.9396952,"('fake', 'genuine')",0.9463362,0.9396952,-0.006641
38,0.011485234,0.15960628,"('untruthful', 'truthful')",0.0114852,0.1596063,0.1481211
39,-0.14845741,-0.16765939,"('exploitative', 'cooperative')",-0.1484574,-0.1676594,-0.019202
40,-1.7755332,-1.9419347,"('stingy', 'generous')",-1.7755332,-1.9419347,-0.1664015
41,0.086095385,0.13484079,"('unforgiving', 'forgiving')",0.0860954,0.1348408,0.0487454
42,-2.0952177,-2.0848765,"('unreliable', 'reliable')",-2.0952177,-2.0848765,0.0103412
43,1.0193164,1.0753158,"('irresponsible', 'responsible')",1.0193164,1.0753158,0.0559994
44,-1.0998191,-1.2150385,"('prejudiced', 'unprejudiced')",-1.0998191,-1.2150385,-0.1152194
45,-0.027482232,0.084597364,"('incompetent', 'competent')",-0.0274822,0.0845974,0.1120796
46,-0.57567525,-0.55780196,"('uncompetitive', 'competitive')",-0.5756752,-0.557802,0.0178732
47,5.0515075,5.271384,"('stupid', 'smart')",5.0515075,5.2713838,0.2198763
48,0.36469653,0.34246477,"('unintelligent', 'intelligent')",0.3646965,0.3424648,-0.0222317
49,0.5871787,0.80789256,"('unable', 'able')",0.5871787,0.8078926,0.2207139
50,-0.23192257,-0.2020749,"('clumsy', 'skillful')",-0.2319226,-0.2020749,0.0298477
51,0.65433073,0.6389166,"('uneducated', 'educated')",0.6543307,0.6389166,-0.0154141
52,-0.52559346,-0.49887612,"('irrational', 'rational')",-0.5255935,-0.4988761,0.0267174
53,0.24213801,0.29919726,"('uncreative', 'creative')",0.242138,0.2991973,0.0570593
54,1.521735,1.8238733,"('incapable', 'capable')",1.521735,1.8238733,0.3021383
55,0.3954882,0.34209567,"('incompetent', 'clever')",0.3954882,0.3420957,-0.0533925
56,0.39655253,0.46327993,"('impractical', 'practical')",0.3965525,0.4632799,0.0667274
57,-2.5413203,-2.4114838,"('unimaginative', 'imaginative')",-2.5413203,-2.4114838,0.1298365
58,0.014063632,-0.041395377,"('undiscriminating', 'discriminating')",0.0140636,-0.0413954,-0.055459
59,0.026436526,0.17497444,"('foolish', 'wise')",0.0264365,0.1749744,0.1485379
60,0.46046627,0.47646815,"('inefficient', 'efficient')",0.4604663,0.4764681,0.0160018
61,-0.026315235,-0.16504243,"('illogical', 'logical')",-0.0263152,-0.1650424,-0.1387272
62,1.0378186,1.1756717,"('incompetent', 'brilliant')",1.0378186,1.1756717,0.1378531
63,0.5208114,0.6552668,"('unperceptive', 'insightful')",0.5208114,0.6552668,0.1344554
64,-6.09943,-5.941097,"('shy', 'confident')",-6.0994301,-5.9410968,0.1583333
65,0.11601523,0.07585978,"('insecure', 'secure')",0.1160152,0.0758598,-0.0401554
66,-0.015439453,0.028308239,"('inactive', 'active')",-0.0154395,0.0283082,0.0437477
67,-0.5095096,-0.50635237,"('doubtful', 'determined')",-0.5095096,-0.5063524,0.0031572
68,-0.6243049,-0.55199045,"('dependent', 'independent')",-0.6243049,-0.5519904,0.0723145
69,-1.9864812,-1.852362,"('lazy', 'industrious')",-1.9864812,-1.852362,0.1341192
70,1.089807,1.1456935,"('lethargic', 'energetic')",1.089807,1.1456935,0.0558865
71,0.24984528,0.35978758,"('diffident', 'self-confident')",0.2498453,0.3597876,0.1099423
72,0.6776067,0.72554535,"('unambitious', 'ambitious')",0.6776067,0.7255453,0.0479386
73,-2.8403752,-2.8369312,"('helpless', 'self-reliant')",-2.8403752,-2.8369312,0.003444
74,0.1484347,0.054814056,"('undedicated', 'dedicated')",0.1484347,0.0548141,-0.0936206
75,-0.55835956,-0.37571865,"('meek', 'impulsive')",-0.5583596,-0.3757187,0.1826409
76,0.7311794,0.60713595,"('anxious', 'daring')",0.7311794,0.607136,-0.1240434
77,-1.5814369,-1.3589528,"('unmotivated', 'motivated')",-1.5814369,-1.3589528,0.2224841
78,-0.81959057,-0.8332033,"('nonresilient', 'resilient')",-0.8195906,-0.8332033,-0.0136127
79,-0.21573332,0.090067826,"('wavering', 'unwavering')",-0.2157333,0.0900678,0.3058011
80,-0.5509202,-0.6721781,"('dominated', 'dominating')",-0.5509202,-0.6721781,-0.1212579
81,0.1087196,0.087847576,"('submissive', 'aggressive')",0.1087196,0.0878476,-0.020872
82,6.793335,6.9436116,"('poor', 'rich')",6.793335,6.9436116,0.1502766
83,-0.5230746,-0.4952671,"('powerless', 'powerful')",-0.5230746,-0.4952671,0.0278075
84,0.29000795,0.33591717,"('inferior', 'superior')",0.2900079,0.3359172,0.0459093
85,-0.9212086,-0.93189245,"('insignificant', 'prestigious')",-0.9212086,-0.9318925,-0.0106839
86,0.4214774,0.54492867,"('uninfluential', 'influential')",0.4214774,0.5449287,0.1234513
87,0.043726597,0.16695893,"('unsuccessful', 'successful')",0.0437266,0.1669589,0.1232323
88,0.3221566,0.37699872,"('low', 'eminent')",0.3221566,0.3769987,0.0548421
