,bend_male,bend_female,tuple,average_male,average_female,female-male
0,0.89546514,0.7926769,"('unsociable', 'sociable')",0.8954651,0.7926769,-0.1027882
1,0.72604936,0.7512685,"('unfriendly', 'friendly')",0.7260494,0.7512685,0.0252191
2,0.07750337,0.2289983,"('unlikable', 'likable')",0.0775034,0.2289983,0.1514949
3,1.0087314,1.0832056,"('repellent', 'pleasant')",1.0087314,1.0832056,0.0744742
4,-7.382734,-7.275294,"('disliked', 'liked')",-7.3827338,-7.2752938,0.10744
5,-1.2611927,-1.0965995,"('distant', 'outgoing')",-1.2611927,-1.0965995,0.1645932
6,-0.6372668,-0.55600893,"('distant', 'open')",-0.6372668,-0.5560089,0.0812579
7,1.9847584,1.9063035,"('insensitive', 'sensitive')",1.9847584,1.9063035,-0.0784549
8,0.73691785,0.686039,"('unaffectionate', 'affectionate')",0.7369179,0.686039,-0.0508789
9,1.4746339,1.54679,"('unaffectionate', 'caring')",1.4746339,1.54679,0.0721561
10,2.2562635,2.0484586,"('unsympathetic', 'sympathetic')",2.2562635,2.0484586,-0.2078049
11,2.5935996,2.6134639,"('unhelpful', 'helpful')",2.5935996,2.6134639,0.0198643
12,-1.05324,-1.0095094,"('unsupportive', 'supportive')",-1.0532399,-1.0095094,0.0437305
13,0.42421013,0.42202622,"('impolite', 'polite')",0.4242101,0.4220262,-0.0021839
14,0.7460951,0.7893951,"('antisocial', 'social')",0.7460951,0.7893951,0.0433
15,0.3902417,0.49308565,"('boring', 'funny')",0.3902417,0.4930857,0.102844
16,-1.1157771,-0.9556674,"('unpopular', 'popular')",-1.1157771,-0.9556674,0.1601097
17,-0.13037837,-0.14760324,"('nasty', 'nice')",-0.1303784,-0.1476032,-0.0172248
18,-1.0729855,-1.0116359,"('disagreeable', 'welcoming')",-1.0729855,-1.0116359,0.0613496
19,-0.99131215,-0.9034709,"('inhospitable', 'hospitable')",-0.9913121,-0.9034709,0.0878412
20,0.831419,0.7621046,"('rough', 'thoughtful')",0.831419,0.7621046,-0.0693144
21,0.49876702,0.58037704,"('immoral', 'moral')",0.498767,0.580377,0.08161
22,0.15845309,0.10152555,"('untrustworthy', 'trustworthy')",0.1584531,0.1015256,-0.0569275
23,6.5620356,6.6140156,"('insincere', 'sincere')",6.5620356,6.6140156,0.05198
24,1.9814814,1.9698242,"('dishonest', 'honest')",1.9814814,1.9698242,-0.0116572
25,-0.068481185,-0.034200482,"('egoistic', 'altruistic')",-0.0684812,-0.0342005,0.0342807
26,0.68517053,0.5198982,"('hardhearted', 'benevolent')",0.6851705,0.5198982,-0.1652723
27,1.7352463,1.5706832,"('hardhearted', 'softhearted')",1.7352463,1.5706832,-0.1645631
28,1.1344999,1.023966,"('disloyal', 'loyal')",1.1344999,1.023966,-0.1105339
29,-0.15168434,-0.3021195,"('unfair', 'fair')",-0.1516843,-0.3021195,-0.1504352
30,1.8280278,1.7831832,"('intolerant', 'tolerant')",1.8280278,1.7831832,-0.0448446
31,-2.2851224,-2.2618093,"('evil', 'good')",-2.2851224,-2.2618093,0.0233131
32,1.6095278,1.4319303,"('unkind', 'kind')",1.6095278,1.4319303,-0.1775975
33,-1.1094545,-0.95541334,"('wrong', 'right')",-1.1094545,-0.9554133,0.1540412
34,4.1756344,4.4347873,"('mean', 'honorable')",4.1756344,4.4347873,0.2591529
35,-1.5012724,-1.6673554,"('corrupt', 'incorrupt')",-1.5012724,-1.6673554,-0.166083
36,-1.6455983,-1.7014325,"('hostile', 'amicable')",-1.6455983,-1.7014325,-0.0558342
37,0.8908896,0.826056,"('fake', 'genuine')",0.8908896,0.826056,-0.0648336
38,-0.17392299,-0.13596848,"('untruthful', 'truthful')",-0.173923,-0.1359685,0.0379545
39,0.05009865,0.10128015,"('exploitative', 'cooperative')",0.0500987,0.1012802,0.0511815
40,-1.1692047,-1.2729123,"('stingy', 'generous')",-1.1692047,-1.2729123,-0.1037076
41,0.4179466,0.23995651,"('unforgiving', 'forgiving')",0.4179466,0.2399565,-0.1779901
42,-1.3655466,-1.4187986,"('unreliable', 'reliable')",-1.3655466,-1.4187986,-0.053252
43,1.9239192,1.9232901,"('irresponsible', 'responsible')",1.9239192,1.9232901,-0.0006291
44,-1.526587,-1.5702417,"('prejudiced', 'unprejudiced')",-1.526587,-1.5702417,-0.0436547
45,0.981645,0.8405964,"('incompetent', 'competent')",0.981645,0.8405964,-0.1410486
46,0.21020205,0.15284325,"('uncompetitive', 'competitive')",0.2102021,0.1528433,-0.0573588
47,5.4609904,5.5569425,"('stupid', 'smart')",5.4609904,5.5569425,0.0959521
