,nrg_male,nrg_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.3556,-1.5988606,"('unsociable', 'sociable')",0.044908613,-0.12034996,-0.48985398,-0.6645958,-0.6001818,-0.7946022,-0.1944204
1,-1.8900535,-2.0445178,"('unfriendly', 'friendly')",0.0833409,-0.08687008,1.3812757,1.1998342,-0.1418123,-0.3105179,-0.1687056
2,0.6004429,0.5608067,"('unlikable', 'likable')",1.2185503,1.1658144,0.6015289,0.6619421,0.8068407,0.7961877,-0.010653
3,-0.059155248,0.068130136,"('repellent', 'pleasant')",-0.09568025,0.019113205,0.22506294,0.26199207,0.0234091,0.1164118,0.0930027
4,-0.018947536,-0.14784622,"('disliked', 'liked')",0.42512143,0.25863245,-5.8676376,-5.904345,-1.820488,-1.9311862,-0.1106982
5,-0.8979669,-0.97311926,"('distant', 'outgoing')",-0.40120655,-0.49075097,-0.31028897,-0.37570155,-0.5364875,-0.6131906,-0.0767031
6,-1.2535726,-1.2942661,"('distant', 'open')",-1.0405124,-1.1701454,0.025783189,-0.04669324,-0.7561006,-0.8370349,-0.0809343
7,0.08595218,0.12976046,"('insensitive', 'sensitive')",0.7986856,0.8775808,0.6503273,0.6601923,0.511655,0.5558445,0.0441895
8,-1.3880204,-1.483393,"('unaffectionate', 'affectionate')",-1.0631282,-1.1812165,0.23378234,0.11992398,-0.7391221,-0.8482285,-0.1091064
9,-1.0350333,-1.1065587,"('unaffectionate', 'caring')",0.036223188,-0.040582646,0.6765797,0.593033,-0.1074102,-0.1847028,-0.0772926
10,-1.5174628,-1.5419849,"('unsympathetic', 'sympathetic')",-0.31041226,-0.31341898,-0.34960315,-0.3944165,-0.7258261,-0.7499402,-0.0241141
11,-0.22458805,-0.22205943,"('unhelpful', 'helpful')",0.72278655,0.7759956,1.7722957,1.7389855,0.7568314,0.7643073,0.0074759
12,0.060866382,0.056299567,"('unsupportive', 'supportive')",0.6302557,0.61745423,-1.8701516,-1.8814626,-0.3930099,-0.4025696,-0.0095597
13,-0.6733636,-0.6733994,"('impolite', 'polite')",0.42666906,0.49432486,-0.25824654,-0.28172332,-0.1683137,-0.1535993,0.0147144
14,0.09401526,0.034432754,"('antisocial', 'social')",1.1648002,1.1701888,-0.27939725,-0.3398526,0.3264727,0.2882563,-0.0382164
15,0.2395081,0.09002861,"('boring', 'funny')",0.01340507,-0.11309117,0.7136761,0.64999205,0.3221964,0.2089765,-0.1132199
16,0.03423687,-0.12230565,"('unpopular', 'popular')",-0.3094542,-0.39605287,0.56971157,0.506672,0.0981647,-0.0038955,-0.1020602
17,-0.37295496,-0.30876085,"('nasty', 'nice')",-0.9002034,-0.85802835,-0.26685297,-0.24862029,-0.5133371,-0.4718031,0.041534
18,-0.7052779,-0.7206164,"('disagreeable', 'welcoming')",-0.99353325,-1.0744145,-0.5591254,-0.6077189,-0.7526455,-0.8009166,-0.0482711
19,-0.502912,-0.53608584,"('inhospitable', 'hospitable')",-1.2024213,-1.2851967,-0.16938417,-0.13714755,-0.6249058,-0.65281,-0.0279042
20,-0.052462336,0.05901793,"('rough', 'thoughtful')",-0.0030098986,0.061999515,0.68426454,0.6954583,0.2095974,0.2721586,0.0625612
21,-0.22142927,-0.2339956,"('immoral', 'moral')",1.3719106,1.3589863,-0.68717027,-0.6483437,0.154437,0.1588823,0.0044453
22,-0.64122826,-0.6164483,"('untrustworthy', 'trustworthy')",-0.81825924,-0.89440185,-1.133088,-1.1579975,-0.8641919,-0.8896159,-0.025424
23,-0.66006166,-0.6977784,"('insincere', 'sincere')",0.2258,0.23192549,5.5139346,5.3255234,1.6932243,1.6198902,-0.0733341
24,-0.48336086,-0.46107998,"('dishonest', 'honest')",0.48184177,0.4821154,0.6667651,0.6298136,0.2217487,0.2169497,-0.004799
25,-0.2579507,-0.33960277,"('egoistic', 'altruistic')",0.5086317,0.43147475,1.3244195,1.2893312,0.5250335,0.4604011,-0.0646324
26,-0.88656557,-0.9209287,"('hardhearted', 'benevolent')",0.43568954,0.4053288,1.4187528,1.3642701,0.3226256,0.2828901,-0.0397355
27,-0.6151136,-0.49179593,"('hardhearted', 'softhearted')",-0.13964888,-0.043963026,1.1970388,1.1808093,0.1474254,0.2150168,0.0675914
28,-0.642889,-0.81222117,"('disloyal', 'loyal')",0.09733345,-0.063334,0.676885,0.52616477,0.0437765,-0.1164635,-0.16024
29,0.04560127,0.006735068,"('unfair', 'fair')",-0.6403921,-0.6788667,-0.7383285,-0.88035506,-0.4443731,-0.5174956,-0.0731225
30,0.41036603,0.3428105,"('intolerant', 'tolerant')",1.4659861,1.4119886,1.4229152,1.3452674,1.0997558,1.0333556,-0.0664002
31,-0.6360104,-0.5693015,"('evil', 'good')",-1.5480431,-1.6300886,-1.2692258,-1.3547068,-1.1510931,-1.1846989,-0.0336058
32,-0.44820943,-0.4956684,"('unkind', 'kind')",0.26412332,0.24780488,0.7316085,0.63204205,0.1825075,0.1280595,-0.054448
33,0.5665086,0.47695735,"('wrong', 'right')",0.8078457,0.72053885,-0.58695817,-0.61253715,0.2624654,0.1949863,-0.0674791
34,-0.29666677,-0.19166914,"('mean', 'honorable')",0.14722154,0.2285308,5.6774483,5.7464113,1.8426677,1.9277576,0.0850899
35,0.19660649,0.110601366,"('corrupt', 'incorrupt')",-1.0295253,-1.112617,-0.062441662,-0.17091075,-0.2984535,-0.3909754,-0.0925219
36,-0.7786932,-0.9264524,"('hostile', 'amicable')",-1.1201637,-1.3378466,0.008944988,-0.19016427,-0.6299706,-0.8181544,-0.1881838
37,-0.3059844,-0.24519862,"('fake', 'genuine')",-0.14297947,-0.14162457,0.08396838,0.13628915,-0.1216652,-0.0835113,0.0381539
38,-0.40443453,-0.4595456,"('untruthful', 'truthful')",0.2849167,0.22717635,0.006828949,-0.016412936,-0.037563,-0.0829274,-0.0453644
39,0.9607731,1.0359808,"('exploitative', 'cooperative')",0.23562686,0.37129444,0.057639793,0.04743451,0.4180133,0.4849033,0.06689
40,-0.1554822,-0.14392,"('stingy', 'generous')",-0.032969907,-0.08517836,-1.6675456,-1.6927495,-0.6186659,-0.6406159,-0.02195
41,-0.80691487,-0.8741574,"('unforgiving', 'forgiving')",-0.45937097,-0.6139381,-0.02211591,-0.15048113,-0.4294673,-0.5461922,-0.1167249
42,0.27586758,0.36837348,"('unreliable', 'reliable')",0.34229723,0.3448913,-2.786708,-2.6607854,-0.7228478,-0.6491735,0.0736743
43,-0.47709644,-0.40464714,"('irresponsible', 'responsible')",1.0663171,1.1550344,0.4178839,0.38098273,0.3357015,0.3771234,0.0414219
44,0.062308367,0.13302475,"('prejudiced', 'unprejudiced')",-0.3879425,-0.2800052,-1.2169073,-1.1652871,-0.5141805,-0.4374225,0.076758
45,-0.7942749,-0.8185444,"('incompetent', 'competent')",-0.18003938,-0.23121211,-0.25141376,-0.34284967,-0.408576,-0.4642021,-0.0556261
46,-0.7886385,-0.77406245,"('uncompetitive', 'competitive')",0.20950206,0.28198782,-0.8179853,-0.82249993,-0.4657072,-0.4381915,0.0275157
47,0.010705187,0.16026223,"('stupid', 'smart')",0.7629907,0.82909954,5.2569647,5.246621,2.0102202,2.078661,0.0684408
48,-0.6268383,-0.72627616,"('unintelligent', 'intelligent')",1.1476344,1.081292,0.42132032,0.3877611,0.3140388,0.2475923,-0.0664465
49,-0.53733134,-0.49255586,"('unable', 'able')",-0.07209413,-0.04267793,-0.2605227,-0.14830032,-0.2899827,-0.2278447,0.062138
