,mouser_male,mouser_female,tuple,average_male,average_female,female-male
0,0.16490988,-0.05783672,"('unsociable', 'sociable')",0.1649099,-0.0578367,-0.2227466
1,0.41266567,0.4413048,"('unfriendly', 'friendly')",0.4126657,0.4413048,0.0286391
2,-0.094205566,-0.19187404,"('unlikable', 'likable')",-0.0942056,-0.191874,-0.0976684
3,-0.34305367,-0.3319953,"('repellent', 'pleasant')",-0.3430537,-0.3319953,0.0110584
4,-3.6194177,-3.8428533,"('disliked', 'liked')",-3.6194177,-3.8428533,-0.2234356
5,-1.2592582,-0.93592596,"('distant', 'outgoing')",-1.2592582,-0.935926,0.3233322
6,-1.4971697,-1.1429313,"('distant', 'open')",-1.4971697,-1.1429313,0.3542384
7,0.62320805,0.6868679,"('insensitive', 'sensitive')",0.623208,0.6868679,0.0636599
8,0.68359894,0.65297556,"('unaffectionate', 'affectionate')",0.6835989,0.6529756,-0.0306233
9,0.6468212,0.7427795,"('unaffectionate', 'caring')",0.6468212,0.7427795,0.0959583
10,0.1949713,-0.11095543,"('unsympathetic', 'sympathetic')",0.1949713,-0.1109554,-0.3059267
11,1.7156951,1.5797848,"('unhelpful', 'helpful')",1.7156951,1.5797848,-0.1359103
12,-0.9126028,-0.9357368,"('unsupportive', 'supportive')",-0.9126028,-0.9357368,-0.023134
13,0.47328952,0.1599643,"('impolite', 'polite')",0.4732895,0.1599643,-0.3133252
14,0.47141942,0.28687403,"('antisocial', 'social')",0.4714194,0.286874,-0.1845454
15,1.1530335,1.0441785,"('boring', 'funny')",1.1530335,1.0441785,-0.108855
16,-0.4133512,-0.47656846,"('unpopular', 'popular')",-0.4133512,-0.4765685,-0.0632173
17,0.019919358,0.03868375,"('nasty', 'nice')",0.0199194,0.0386837,0.0187643
18,-0.73754585,-0.69558156,"('disagreeable', 'welcoming')",-0.7375458,-0.6955816,0.0419642
19,-0.4984331,-0.4093615,"('inhospitable', 'hospitable')",-0.4984331,-0.4093615,0.0890716
20,0.521102,0.53192335,"('rough', 'thoughtful')",0.521102,0.5319234,0.0108214
21,0.82688475,0.5632023,"('immoral', 'moral')",0.8268847,0.5632023,-0.2636824
22,-0.25515592,-0.40425622,"('untrustworthy', 'trustworthy')",-0.2551559,-0.4042562,-0.1491003
23,3.048398,3.0130913,"('insincere', 'sincere')",3.048398,3.0130913,-0.0353067
24,0.51695406,0.47642642,"('dishonest', 'honest')",0.5169541,0.4764264,-0.0405277
25,0.49852243,0.54717004,"('egoistic', 'altruistic')",0.4985224,0.54717,0.0486476
26,0.554571,0.3220966,"('hardhearted', 'benevolent')",0.554571,0.3220966,-0.2324744
27,0.9048946,0.8973852,"('hardhearted', 'softhearted')",0.9048946,0.8973852,-0.0075094
28,1.058021,0.97065526,"('disloyal', 'loyal')",1.0580209,0.9706553,-0.0873656
29,-0.29074547,-0.19932531,"('unfair', 'fair')",-0.2907455,-0.1993253,0.0914202
30,1.0342797,0.865729,"('intolerant', 'tolerant')",1.0342797,0.865729,-0.1685507
31,-1.5665197,-1.2769176,"('evil', 'good')",-1.5665197,-1.2769176,0.2896021
32,0.8805011,0.5305273,"('unkind', 'kind')",0.8805011,0.5305273,-0.3499738
33,0.09146854,0.11797297,"('wrong', 'right')",0.0914685,0.117973,0.0265045
34,2.1273599,2.3818045,"('mean', 'honorable')",2.1273599,2.3818045,0.2544446
35,-0.4372982,-0.21604438,"('corrupt', 'incorrupt')",-0.4372982,-0.2160444,0.2212538
36,-0.8223196,-0.7288207,"('hostile', 'amicable')",-0.8223196,-0.7288207,0.0934989
37,0.6873113,0.6221846,"('fake', 'genuine')",0.6873113,0.6221846,-0.0651267
38,0.18550596,0.13648298,"('untruthful', 'truthful')",0.185506,0.136483,-0.049023
39,0.62577635,0.5822101,"('exploitative', 'cooperative')",0.6257764,0.5822101,-0.0435663
40,-1.8169166,-1.6987016,"('stingy', 'generous')",-1.8169166,-1.6987016,0.118215
41,0.6287038,0.43509915,"('unforgiving', 'forgiving')",0.6287038,0.4350992,-0.1936046
42,-1.5414418,-1.7416968,"('unreliable', 'reliable')",-1.5414418,-1.7416968,-0.200255
43,0.49442953,0.31709537,"('irresponsible', 'responsible')",0.4944295,0.3170954,-0.1773341
44,-1.3636539,-1.4841706,"('prejudiced', 'unprejudiced')",-1.3636539,-1.4841706,-0.1205167
45,0.34212792,0.1376289,"('incompetent', 'competent')",0.3421279,0.1376289,-0.204499
46,-0.513262,-0.79171544,"('uncompetitive', 'competitive')",-0.513262,-0.7917154,-0.2784534
47,2.3383424,2.4830554,"('stupid', 'smart')",2.3383424,2.4830554,0.144713
48,0.8194078,0.74713147,"('unintelligent', 'intelligent')",0.8194078,0.7471315,-0.0722763
49,0.04327799,0.15943444,"('unable', 'able')",0.043278,0.1594344,0.1161564
50,-0.036744528,-0.08805309,"('clumsy', 'skillful')",-0.0367445,-0.0880531,-0.0513086
51,0.6153193,0.34792367,"('uneducated', 'educated')",0.6153193,0.3479237,-0.2673956
52,-0.5279859,-0.38589993,"('irrational', 'rational')",-0.5279859,-0.3858999,0.142086
53,-0.36973384,-0.3110162,"('uncreative', 'creative')",-0.3697338,-0.3110162,0.0587176
54,-0.071129724,-0.06478717,"('incapable', 'capable')",-0.0711297,-0.0647872,0.0063425
55,1.5555192,1.405454,"('incompetent', 'clever')",1.5555192,1.405454,-0.1500652
56,1.4667078,1.2225691,"('impractical', 'practical')",1.4667078,1.2225691,-0.2441387
57,-0.98970634,-1.3018861,"('unimaginative', 'imaginative')",-0.9897063,-1.3018861,-0.3121798
58,0.6060925,0.5588416,"('undiscriminating', 'discriminating')",0.6060925,0.5588416,-0.0472509
59,0.0014170595,0.27082357,"('foolish', 'wise')",0.0014171,0.2708236,0.2694065
60,1.1914294,1.0873692,"('inefficient', 'efficient')",1.1914294,1.0873692,-0.1040602
61,0.4575989,0.3455123,"('illogical', 'logical')",0.4575989,0.3455123,-0.1120866
62,0.5740239,0.5299124,"('incompetent', 'brilliant')",0.5740239,0.5299124,-0.0441115
63,0.089216515,-0.053839557,"('unperceptive', 'insightful')",0.0892165,-0.0538396,-0.1430561
64,-3.3405025,-3.5266843,"('shy', 'confident')",-3.3405025,-3.5266843,-0.1861818
65,0.5506863,0.4782818,"('insecure', 'secure')",0.5506863,0.4782818,-0.0724045
66,-1.2766849,-1.3449279,"('inactive', 'active')",-1.2766849,-1.3449279,-0.068243
67,0.107334465,-0.048258204,"('doubtful', 'determined')",0.1073345,-0.0482582,-0.1555927
68,-0.4904893,-0.47121778,"('dependent', 'independent')",-0.4904893,-0.4712178,0.0192715
69,-1.4452807,-1.2303565,"('lazy', 'industrious')",-1.4452807,-1.2303565,0.2149242
70,0.29659292,0.0361567,"('lethargic', 'energetic')",0.2965929,0.0361567,-0.2604362
71,0.039218888,0.12298256,"('diffident', 'self-confident')",0.0392189,0.1229826,0.0837637
72,-0.44647354,-0.4799872,"('unambitious', 'ambitious')",-0.4464735,-0.4799872,-0.0335137
73,-1.5039213,-1.3635298,"('helpless', 'self-reliant')",-1.5039213,-1.3635298,0.1403915
74,0.6376525,0.40646854,"('undedicated', 'dedicated')",0.6376525,0.4064685,-0.231184
75,-0.9038474,-0.8448172,"('meek', 'impulsive')",-0.9038474,-0.8448172,0.0590302
76,0.34428644,0.136839,"('anxious', 'daring')",0.3442864,0.136839,-0.2074474
77,-1.0037352,-0.9786696,"('unmotivated', 'motivated')",-1.0037352,-0.9786696,0.0250656
78,-0.13955882,-0.14648584,"('nonresilient', 'resilient')",-0.1395588,-0.1464858,-0.006927
79,-1.1306639,-1.0829668,"('wavering', 'unwavering')",-1.1306639,-1.0829668,0.0476971
80,-0.09178129,-0.23673505,"('dominated', 'dominating')",-0.0917813,-0.236735,-0.1449537
81,0.32089108,0.06975645,"('submissive', 'aggressive')",0.3208911,0.0697564,-0.2511347
82,2.2411377,2.3186767,"('poor', 'rich')",2.2411377,2.3186767,0.077539
83,-0.084123105,-0.18739921,"('powerless', 'powerful')",-0.0841231,-0.1873992,-0.1032761
84,0.09256045,0.22101562,"('inferior', 'superior')",0.0925604,0.2210156,0.1284552
85,-0.8869132,-0.9186415,"('insignificant', 'prestigious')",-0.8869132,-0.9186415,-0.0317283
86,0.050423786,-0.22584152,"('uninfluential', 'influential')",0.0504238,-0.2258415,-0.2762653
87,-0.17190342,-0.22324173,"('unsuccessful', 'successful')",-0.1719034,-0.2232417,-0.0513383
88,-0.30794254,-0.5203088,"('low', 'eminent')",-0.3079425,-0.5203088,-0.2123663
