,rail_male,rail_female,tuple,average_male,average_female,female-male
0,-0.0493045,-0.09460588,"('unsociable', 'sociable')",-0.0493045,-0.0946059,-0.0453014
1,1.4908797,1.3663713,"('unfriendly', 'friendly')",1.4908797,1.3663713,-0.1245084
2,0.63255334,0.7349532,"('unlikable', 'likable')",0.6325533,0.7349532,0.1023999
3,0.186427,0.39915544,"('repellent', 'pleasant')",0.186427,0.3991554,0.2127284
4,-6.8356214,-6.959483,"('disliked', 'liked')",-6.8356214,-6.9594831,-0.1238617
5,-0.4249589,-0.3296493,"('distant', 'outgoing')",-0.4249589,-0.3296493,0.0953096
6,0.11383387,0.14884658,"('distant', 'open')",0.1138339,0.1488466,0.0350127
7,1.0382068,0.9973395,"('insensitive', 'sensitive')",1.0382068,0.9973395,-0.0408673
8,1.4220004,1.319518,"('unaffectionate', 'affectionate')",1.4220004,1.319518,-0.1024824
9,2.1032138,2.061897,"('unaffectionate', 'caring')",2.1032138,2.061897,-0.0413168
10,0.25805053,0.4178229,"('unsympathetic', 'sympathetic')",0.2580505,0.4178229,0.1597724
11,2.009927,2.0796964,"('unhelpful', 'helpful')",2.009927,2.0796964,0.0697694
12,-1.11405,-1.12087,"('unsupportive', 'supportive')",-1.11405,-1.12087,-0.00682
13,-0.21677022,-0.17111903,"('impolite', 'polite')",-0.2167702,-0.171119,0.0456512
14,0.20799449,0.23924117,"('antisocial', 'social')",0.2079945,0.2392412,0.0312467
15,0.40747136,0.3355456,"('boring', 'funny')",0.4074714,0.3355456,-0.0719258
16,0.23970754,0.041876018,"('unpopular', 'popular')",0.2397075,0.041876,-0.1978315
17,0.1649825,0.091377735,"('nasty', 'nice')",0.1649825,0.0913777,-0.0736048
18,-0.7078476,-0.67924625,"('disagreeable', 'welcoming')",-0.7078476,-0.6792462,0.0286014
19,-0.50989294,-0.4656328,"('inhospitable', 'hospitable')",-0.5098929,-0.4656328,0.0442601
20,0.028187282,0.04792317,"('rough', 'thoughtful')",0.0281873,0.0479232,0.0197359
21,-0.5125951,-0.2426771,"('immoral', 'moral')",-0.5125951,-0.2426771,0.269918
22,-0.7315766,-0.60626405,"('untrustworthy', 'trustworthy')",-0.7315766,-0.6062641,0.1253125
23,6.0004873,6.087769,"('insincere', 'sincere')",6.0004873,6.087769,0.0872817
24,1.4225503,1.4213032,"('dishonest', 'honest')",1.4225503,1.4213032,-0.0012471
25,0.962113,0.8784452,"('egoistic', 'altruistic')",0.962113,0.8784452,-0.0836678
26,0.7506307,0.5772287,"('hardhearted', 'benevolent')",0.7506307,0.5772287,-0.173402
27,0.82149345,0.8039728,"('hardhearted', 'softhearted')",0.8214934,0.8039728,-0.0175206
28,1.3344902,1.2844657,"('disloyal', 'loyal')",1.3344902,1.2844657,-0.0500245
29,-0.1530304,-0.38149938,"('unfair', 'fair')",-0.1530304,-0.3814994,-0.228469
30,0.35316253,0.5811894,"('intolerant', 'tolerant')",0.3531625,0.5811894,0.2280269
31,-1.3998079,-1.3680207,"('evil', 'good')",-1.3998079,-1.3680207,0.0317872
32,1.321657,1.2068809,"('unkind', 'kind')",1.3216569,1.2068809,-0.114776
33,0.43279964,0.26970986,"('wrong', 'right')",0.4327996,0.2697099,-0.1630897
34,4.6758237,4.916765,"('mean', 'honorable')",4.6758237,4.9167652,0.2409415
35,-1.0676954,-1.2429196,"('corrupt', 'incorrupt')",-1.0676954,-1.2429196,-0.1752242
36,-0.39924023,-0.4650612,"('hostile', 'amicable')",-0.3992402,-0.4650612,-0.065821
37,0.76644397,0.7346369,"('fake', 'genuine')",0.766444,0.7346369,-0.0318071
38,0.47268763,0.4256847,"('untruthful', 'truthful')",0.4726876,0.4256847,-0.0470029
39,-0.009352517,0.023421489,"('exploitative', 'cooperative')",-0.0093525,0.0234215,0.032774
40,-1.6954637,-1.881857,"('stingy', 'generous')",-1.6954637,-1.881857,-0.1863933
41,0.51622593,0.51095736,"('unforgiving', 'forgiving')",0.5162259,0.5109574,-0.0052685
42,-2.7149055,-2.4452684,"('unreliable', 'reliable')",-2.7149055,-2.4452684,0.2696371
43,0.96773124,1.0385381,"('irresponsible', 'responsible')",0.9677312,1.0385381,0.0708069
44,-1.2173481,-1.1617544,"('prejudiced', 'unprejudiced')",-1.2173481,-1.1617544,0.0555937
45,0.39385045,0.43105486,"('incompetent', 'competent')",0.3938504,0.4310549,0.0372045
46,-0.6318129,-0.5639593,"('uncompetitive', 'competitive')",-0.6318129,-0.5639593,0.0678536
47,5.555938,5.710657,"('stupid', 'smart')",5.5559378,5.7106571,0.1547193
48,0.3532238,0.40421954,"('unintelligent', 'intelligent')",0.3532238,0.4042195,0.0509957
49,-0.22422214,0.030765746,"('unable', 'able')",-0.2242221,0.0307657,0.2549878
50,-0.40562516,-0.41137153,"('clumsy', 'skillful')",-0.4056252,-0.4113715,-0.0057463
51,0.011510216,0.018177114,"('uneducated', 'educated')",0.0115102,0.0181771,0.0066669
52,0.07317121,-0.13361552,"('irrational', 'rational')",0.0731712,-0.1336155,-0.2067867
53,-0.118254535,-0.03719631,"('uncreative', 'creative')",-0.1182545,-0.0371963,0.0810582
54,0.46988314,0.65239865,"('incapable', 'capable')",0.4698831,0.6523986,0.1825155
55,0.24466635,0.46745974,"('incompetent', 'clever')",0.2446664,0.4674597,0.2227933
56,0.9255231,1.0291749,"('impractical', 'practical')",0.9255231,1.0291749,0.1036518
57,-2.6815224,-2.6128557,"('unimaginative', 'imaginative')",-2.6815224,-2.6128557,0.0686667
58,-0.0860202,0.020565096,"('undiscriminating', 'discriminating')",-0.0860202,0.0205651,0.1065853
59,0.69275266,0.5608546,"('foolish', 'wise')",0.6927527,0.5608546,-0.1318981
60,0.37558472,0.64583564,"('inefficient', 'efficient')",0.3755847,0.6458356,0.2702509
61,0.36440897,0.22787575,"('illogical', 'logical')",0.364409,0.2278758,-0.1365332
62,1.0687099,1.2786906,"('incompetent', 'brilliant')",1.0687099,1.2786906,0.2099807
63,0.33005232,0.4651087,"('unperceptive', 'insightful')",0.3300523,0.4651087,0.1350564
64,-6.1488204,-5.974112,"('shy', 'confident')",-6.1488204,-5.974112,0.1747084
65,-0.20288466,-0.048628785,"('insecure', 'secure')",-0.2028847,-0.0486288,0.1542559
66,0.29325396,0.11105552,"('inactive', 'active')",0.293254,0.1110555,-0.1821985
67,-0.06419723,-0.16169202,"('doubtful', 'determined')",-0.0641972,-0.161692,-0.0974948
68,-1.5263635,-1.4380864,"('dependent', 'independent')",-1.5263635,-1.4380864,0.0882771
69,-1.1538749,-1.2769908,"('lazy', 'industrious')",-1.1538749,-1.2769908,-0.1231159
70,0.8927471,1.0215092,"('lethargic', 'energetic')",0.8927471,1.0215092,0.1287621
71,1.2923172,1.1560711,"('diffident', 'self-confident')",1.2923172,1.1560711,-0.1362461
72,0.53821665,0.6002635,"('unambitious', 'ambitious')",0.5382167,0.6002635,0.0620468
73,-3.1204157,-3.0187535,"('helpless', 'self-reliant')",-3.1204157,-3.0187535,0.1016622
74,-0.17400573,-0.1728786,"('undedicated', 'dedicated')",-0.1740057,-0.1728786,0.0011271
75,-0.71372324,-0.66139156,"('meek', 'impulsive')",-0.7137232,-0.6613916,0.0523316
76,-0.5120789,-0.28585842,"('anxious', 'daring')",-0.5120789,-0.2858584,0.2262205
77,-1.1353264,-0.9601752,"('unmotivated', 'motivated')",-1.1353264,-0.9601752,0.1751512
78,-0.6741398,-0.80864054,"('nonresilient', 'resilient')",-0.6741398,-0.8086405,-0.1345007
79,-0.21588899,-0.2384308,"('wavering', 'unwavering')",-0.215889,-0.2384308,-0.0225418
80,0.14256082,-0.09324494,"('dominated', 'dominating')",0.1425608,-0.0932449,-0.2358057
81,-0.42689934,-0.25629765,"('submissive', 'aggressive')",-0.4268993,-0.2562976,0.1706017
82,6.0177426,6.223528,"('poor', 'rich')",6.0177426,6.2235279,0.2057853
83,-0.041477293,-0.08711744,"('powerless', 'powerful')",-0.0414773,-0.0871174,-0.0456401
84,0.13529098,0.12096915,"('inferior', 'superior')",0.135291,0.1209691,-0.0143219
85,-0.14474684,-0.3012085,"('insignificant', 'prestigious')",-0.1447468,-0.3012085,-0.1564617
86,0.5943497,0.47445548,"('uninfluential', 'influential')",0.5943497,0.4744555,-0.1198942
87,0.27347603,0.27426705,"('unsuccessful', 'successful')",0.273476,0.274267,0.000791
88,-0.2611019,-0.16463499,"('low', 'eminent')",-0.2611019,-0.164635,0.0964669
