,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.7044783,-0.71996975,"('unsociable', 'sociable')",-0.5527476,-0.66036797,-0.628613,-0.6901689,-0.0615559
1,-0.2898491,-0.27442074,"('unfriendly', 'friendly')",1.8433621,1.7858127,0.7767565,0.755696,-0.0210605
2,1.7251172,1.7501497,"('unlikable', 'likable')",1.0354787,1.1327912,1.3802979,1.4414704,0.0611725
3,-0.80334014,-0.70760536,"('repellent', 'pleasant')",0.017475996,0.020898532,-0.3929321,-0.3433534,0.0495787
4,0.39399865,0.28893885,"('disliked', 'liked')",-5.9955072,-6.074605,-2.8007543,-2.892833,-0.0920787
5,0.61983275,0.6596979,"('distant', 'outgoing')",-0.18108135,-0.12863278,0.2193757,0.2655326,0.0461569
6,0.16593675,0.21133015,"('distant', 'open')",0.36996332,0.3733851,0.26795,0.2923576,0.0244076
7,-1.016992,-0.9350787,"('insensitive', 'sensitive')",0.28353265,0.33169833,-0.3667297,-0.3016902,0.0650395
8,-0.50921893,-0.5245554,"('unaffectionate', 'affectionate')",0.70049196,0.66463137,0.0956365,0.070038,-0.0255985
9,-0.159666,-0.1446192,"('unaffectionate', 'caring')",1.149638,1.1642634,0.494986,0.5098221,0.0148361
10,-1.9402544,-1.8513236,"('unsympathetic', 'sympathetic')",-0.68711877,-0.693879,-1.3136866,-1.2726014,0.0410852
11,-0.79299366,-0.7484692,"('unhelpful', 'helpful')",1.5528877,1.566486,0.379947,0.4090084,0.0290614
12,-0.08824191,0.10423734,"('unsupportive', 'supportive')",-1.6554949,-1.5459723,-0.8718684,-0.7208675,0.1510009
13,-1.3652312,-1.2980003,"('impolite', 'polite')",-0.79027754,-0.8240596,-1.0777544,-1.0610299,0.0167245
14,0.20147547,0.22958799,"('antisocial', 'social')",-0.7075657,-0.78569365,-0.2530451,-0.2780528,-0.0250077
15,0.55739474,0.44381464,"('boring', 'funny')",0.64227134,0.5849745,0.599833,0.5143946,-0.0854384
16,0.15631494,0.18744822,"('unpopular', 'popular')",0.3961442,0.3804179,0.2762296,0.2839331,0.0077035
17,0.50416964,0.5661,"('nasty', 'nice')",-0.42039338,-0.37811458,0.0418881,0.0939927,0.0521046
18,-0.12871404,-0.11018938,"('disagreeable', 'welcoming')",-0.3856469,-0.41087598,-0.2571805,-0.2605327,-0.0033522
19,-0.5258707,-0.54557747,"('inhospitable', 'hospitable')",0.050669994,0.13607213,-0.2376003,-0.2047527,0.0328476
20,0.5442562,0.6080625,"('rough', 'thoughtful')",1.1047304,1.0611154,0.8244933,0.8345889,0.0100956
21,-0.57417756,-0.58350766,"('immoral', 'moral')",-0.70387584,-0.6722335,-0.6390267,-0.6278706,0.0111561
22,-0.6779302,-0.71107244,"('untrustworthy', 'trustworthy')",-1.0130659,-1.1209526,-0.8454981,-0.9160125,-0.0705144
23,-1.2559507,-1.223538,"('insincere', 'sincere')",5.544553,5.414551,2.1443009,2.0955064,-0.0487945
24,-0.6973655,-0.7327728,"('dishonest', 'honest')",0.80517894,0.7234899,0.0539067,-0.0046415,-0.0585482
25,0.7088932,0.74655503,"('egoistic', 'altruistic')",1.7310523,1.7039518,1.2199727,1.2252535,0.0052808
26,1.3064328,1.2709612,"('hardhearted', 'benevolent')",1.9719822,1.895132,1.6392076,1.5830466,-0.056161
27,0.43561327,0.57981,"('hardhearted', 'softhearted')",1.2897431,1.2514514,0.8626782,0.9156307,0.0529525
28,-0.66586864,-0.83903015,"('disloyal', 'loyal')",0.9806066,0.8151596,0.157369,-0.0119353,-0.1693043
29,-0.07930761,-0.14267252,"('unfair', 'fair')",-0.33186352,-0.4577998,-0.2055856,-0.3002362,-0.0946506
30,-0.003269419,-0.02957496,"('intolerant', 'tolerant')",1.1808778,1.0917438,0.5888042,0.5310844,-0.0577198
31,0.45455205,0.5413107,"('evil', 'good')",-0.8429846,-0.8468649,-0.1942163,-0.1527771,0.0414392
32,-0.38739777,-0.41468322,"('unkind', 'kind')",0.83046794,0.71131766,0.2215351,0.1483172,-0.0732179
33,0.9116098,0.8454379,"('wrong', 'right')",-0.41387835,-0.4313,0.2488657,0.2070689,-0.0417968
34,-0.11410675,0.04939147,"('mean', 'honorable')",6.098857,6.1590586,2.9923751,3.1042249,0.1118498
35,0.8586478,0.73809254,"('corrupt', 'incorrupt')",0.31511065,0.17832302,0.5868793,0.4582078,-0.1286715
36,0.8475791,0.72142935,"('hostile', 'amicable')",0.7591645,0.5709473,0.8033718,0.6461883,-0.1571835
37,-0.3539142,-0.3345973,"('fake', 'genuine')",0.08698867,0.1065221,-0.1334628,-0.1140376,0.0194252
38,-0.7766766,-0.74673194,"('untruthful', 'truthful')",-0.009394463,0.021945305,-0.3930355,-0.3623933,0.0306422
39,1.6845648,1.7109295,"('exploitative', 'cooperative')",0.0682446,0.06991,0.8764047,0.8904198,0.0140151
40,0.5487248,0.5747657,"('stingy', 'generous')",-1.3523718,-1.4353554,-0.4018235,-0.4302949,-0.0284714
