,metaphor_male,metaphor_female,tuple,average_male,average_female,female-male
0,-0.48362958,-0.4633335,"('unsociable', 'sociable')",-0.4836296,-0.4633335,0.0202961
1,0.898768,0.8591385,"('unfriendly', 'friendly')",0.898768,0.8591385,-0.0396295
2,-0.09762217,-0.0037338585,"('unlikable', 'likable')",-0.0976222,-0.0037339,0.0938883
3,0.65771693,0.7122975,"('repellent', 'pleasant')",0.6577169,0.7122975,0.0545806
4,-7.472455,-7.586369,"('disliked', 'liked')",-7.472455,-7.586369,-0.113914
5,-0.48828024,-0.5160452,"('distant', 'outgoing')",-0.4882802,-0.5160452,-0.027765
6,0.06450598,-0.026815347,"('distant', 'open')",0.064506,-0.0268153,-0.0913213
7,0.5396921,0.6187186,"('insensitive', 'sensitive')",0.5396921,0.6187186,0.0790265
8,1.0415385,0.95796037,"('unaffectionate', 'affectionate')",1.0415385,0.9579604,-0.0835781
9,1.1341276,1.1780573,"('unaffectionate', 'caring')",1.1341276,1.1780573,0.0439297
10,0.893209,0.9565966,"('unsympathetic', 'sympathetic')",0.893209,0.9565966,0.0633876
11,1.1359761,1.2052451,"('unhelpful', 'helpful')",1.1359761,1.2052451,0.069269
12,-1.9165165,-1.8834383,"('unsupportive', 'supportive')",-1.9165165,-1.8834383,0.0330782
13,-0.31109804,-0.27571452,"('impolite', 'polite')",-0.311098,-0.2757145,0.0353835
14,0.13442,0.09722086,"('antisocial', 'social')",0.13442,0.0972209,-0.0371991
15,-0.07230655,-0.16997692,"('boring', 'funny')",-0.0723066,-0.1699769,-0.0976703
16,-0.50678325,-0.48869035,"('unpopular', 'popular')",-0.5067832,-0.4886903,0.0180929
17,-0.38191664,-0.29207557,"('nasty', 'nice')",-0.3819166,-0.2920756,0.089841
18,-0.1415151,-0.16343606,"('disagreeable', 'welcoming')",-0.1415151,-0.1634361,-0.021921
19,-0.86224407,-0.88490385,"('inhospitable', 'hospitable')",-0.8622441,-0.8849038,-0.0226597
20,1.0227293,0.96233344,"('rough', 'thoughtful')",1.0227293,0.9623334,-0.0603959
21,-0.43920222,-0.31557754,"('immoral', 'moral')",-0.4392022,-0.3155775,0.1236247
22,-0.44047868,-0.4760014,"('untrustworthy', 'trustworthy')",-0.4404787,-0.4760014,-0.0355227
23,5.9440203,5.996745,"('insincere', 'sincere')",5.9440203,5.9967451,0.0527248
24,1.383732,1.2705923,"('dishonest', 'honest')",1.383732,1.2705923,-0.1131397
25,0.7470933,0.679144,"('egoistic', 'altruistic')",0.7470933,0.679144,-0.0679493
26,0.6944113,0.5883605,"('hardhearted', 'benevolent')",0.6944113,0.5883605,-0.1060508
27,1.6645335,1.5270025,"('hardhearted', 'softhearted')",1.6645335,1.5270025,-0.137531
28,0.75887924,0.7439164,"('disloyal', 'loyal')",0.7588792,0.7439164,-0.0149628
29,-0.63280594,-0.7708645,"('unfair', 'fair')",-0.6328059,-0.7708645,-0.1380586
30,0.76563025,0.7975305,"('intolerant', 'tolerant')",0.7656302,0.7975305,0.0319003
31,-1.2601304,-1.3014739,"('evil', 'good')",-1.2601304,-1.3014739,-0.0413435
32,0.7601568,0.71929365,"('unkind', 'kind')",0.7601568,0.7192937,-0.0408631
33,-0.5806546,-0.6158943,"('wrong', 'right')",-0.5806546,-0.6158943,-0.0352397
34,4.322217,4.4425783,"('mean', 'honorable')",4.322217,4.4425783,0.1203613
35,-0.45107648,-0.7205935,"('corrupt', 'incorrupt')",-0.4510765,-0.7205935,-0.269517
36,-0.6555167,-0.7469487,"('hostile', 'amicable')",-0.6555167,-0.7469487,-0.091432
37,0.708035,0.7175391,"('fake', 'genuine')",0.708035,0.7175391,0.0095041
38,-0.7006339,-0.6361913,"('untruthful', 'truthful')",-0.7006339,-0.6361913,0.0644426
39,0.49076736,0.449942,"('exploitative', 'cooperative')",0.4907674,0.449942,-0.0408254
40,-1.2781795,-1.436721,"('stingy', 'generous')",-1.2781795,-1.436721,-0.1585415
41,-0.025924584,-0.020229803,"('unforgiving', 'forgiving')",-0.0259246,-0.0202298,0.0056948
42,-2.1794715,-2.2026,"('unreliable', 'reliable')",-2.1794715,-2.2026,-0.0231285
43,0.6700024,0.70674473,"('irresponsible', 'responsible')",0.6700024,0.7067447,0.0367423
44,-0.506963,-0.48872358,"('prejudiced', 'unprejudiced')",-0.506963,-0.4887236,0.0182394
45,-0.33826527,-0.36364603,"('incompetent', 'competent')",-0.3382653,-0.363646,-0.0253807
46,-0.62370336,-0.6116089,"('uncompetitive', 'competitive')",-0.6237034,-0.6116089,0.0120945
47,5.01814,5.1612654,"('stupid', 'smart')",5.0181398,5.1612654,0.1431256
48,0.10233915,0.123368226,"('unintelligent', 'intelligent')",0.1023391,0.1233682,0.0210291
49,-0.085039765,-0.071215495,"('unable', 'able')",-0.0850398,-0.0712155,0.0138243
50,-0.5375026,-0.5592568,"('clumsy', 'skillful')",-0.5375026,-0.5592568,-0.0217542
51,0.3003292,0.24142617,"('uneducated', 'educated')",0.3003292,0.2414262,-0.058903
52,-0.39307195,-0.49196702,"('irrational', 'rational')",-0.3930719,-0.491967,-0.0988951
53,-0.32162496,-0.37592182,"('uncreative', 'creative')",-0.321625,-0.3759218,-0.0542968
54,0.84693646,0.87853837,"('incapable', 'capable')",0.8469365,0.8785384,0.0316019
55,0.4885832,0.5357579,"('incompetent', 'clever')",0.4885832,0.5357579,0.0471747
56,0.2065106,0.2209231,"('impractical', 'practical')",0.2065106,0.2209231,0.0144125
57,-2.757209,-2.7038972,"('unimaginative', 'imaginative')",-2.7572091,-2.7038972,0.0533119
58,0.010649379,-0.0058149844,"('undiscriminating', 'discriminating')",0.0106494,-0.005815,-0.0164644
59,-0.22601834,-0.24614336,"('foolish', 'wise')",-0.2260183,-0.2461434,-0.0201251
60,0.17006767,0.33592597,"('inefficient', 'efficient')",0.1700677,0.335926,0.1658583
61,0.055743348,-0.10700388,"('illogical', 'logical')",0.0557433,-0.1070039,-0.1627472
62,0.07871433,0.1894526,"('incompetent', 'brilliant')",0.0787143,0.1894526,0.1107383
63,-0.30641782,-0.254402,"('unperceptive', 'insightful')",-0.3064178,-0.254402,0.0520158
64,-6.110804,-6.089764,"('shy', 'confident')",-6.1108041,-6.0897641,0.02104
65,0.1479265,0.21595445,"('insecure', 'secure')",0.1479265,0.2159545,0.068028
66,-0.097310334,-0.20614634,"('inactive', 'active')",-0.0973103,-0.2061463,-0.108836
67,-0.5309769,-0.4753632,"('doubtful', 'determined')",-0.5309769,-0.4753632,0.0556137
68,-0.6747984,-0.7354919,"('dependent', 'independent')",-0.6747984,-0.7354919,-0.0606935
69,-1.9211206,-1.972715,"('lazy', 'industrious')",-1.9211206,-1.972715,-0.0515944
70,1.1469696,1.1209068,"('lethargic', 'energetic')",1.1469696,1.1209068,-0.0260628
71,0.69202894,0.68182546,"('diffident', 'self-confident')",0.6920289,0.6818255,-0.0102034
72,0.71676886,0.835273,"('unambitious', 'ambitious')",0.7167689,0.835273,0.1185041
73,-2.9243922,-2.8889651,"('helpless', 'self-reliant')",-2.9243922,-2.8889651,0.0354271
74,-0.13743305,-0.2381739,"('undedicated', 'dedicated')",-0.1374331,-0.2381739,-0.1007408
75,-0.58752644,-0.5164184,"('meek', 'impulsive')",-0.5875264,-0.5164184,0.071108
76,0.82351,0.83419126,"('anxious', 'daring')",0.82351,0.8341913,0.0106813
77,-1.6056879,-1.3777226,"('unmotivated', 'motivated')",-1.6056879,-1.3777226,0.2279653
78,-0.6717361,-0.67721045,"('nonresilient', 'resilient')",-0.6717361,-0.6772105,-0.0054744
79,-0.25882846,-0.29147545,"('wavering', 'unwavering')",-0.2588285,-0.2914754,-0.0326469
80,-0.32296443,-0.39478937,"('dominated', 'dominating')",-0.3229644,-0.3947894,-0.071825
81,0.035403565,0.13096096,"('submissive', 'aggressive')",0.0354036,0.130961,0.0955574
82,5.96864,6.0644317,"('poor', 'rich')",5.9686399,6.0644317,0.0957918
83,-0.31991127,-0.27761132,"('powerless', 'powerful')",-0.3199113,-0.2776113,0.0423
84,0.43933114,0.43668416,"('inferior', 'superior')",0.4393311,0.4366842,-0.0026469
85,-0.41035777,-0.5132546,"('insignificant', 'prestigious')",-0.4103578,-0.5132546,-0.1028968
86,0.019685738,-0.023932844,"('uninfluential', 'influential')",0.0196857,-0.0239328,-0.0436185
87,-0.79402167,-0.7504416,"('unsuccessful', 'successful')",-0.7940217,-0.7504416,0.0435801
88,0.18100332,0.18622339,"('low', 'eminent')",0.1810033,0.1862234,0.0052201
