,kumquat_male,kumquat_female,tuple,average_male,average_female,female-male
0,-0.024049513,-0.19552545,"('unsociable', 'sociable')",-0.0240495,-0.1955255,-0.171476
1,-0.84870386,-1.0652856,"('unfriendly', 'friendly')",-0.8487039,-1.0652856,-0.2165817
2,0.7816224,0.7749016,"('unlikable', 'likable')",0.7816224,0.7749016,-0.0067208
3,-0.3617864,-0.16659689,"('repellent', 'pleasant')",-0.3617864,-0.1665969,0.1951895
4,-1.067192,-1.1410592,"('disliked', 'liked')",-1.067192,-1.1410592,-0.0738672
5,-0.91305566,-1.0105675,"('distant', 'outgoing')",-0.9130557,-1.0105675,-0.0975118
6,-1.2438923,-1.286988,"('distant', 'open')",-1.2438923,-1.286988,-0.0430957
7,-0.56211835,-0.5669701,"('insensitive', 'sensitive')",-0.5621184,-0.5669701,-0.0048517
8,-1.5775622,-1.663176,"('unaffectionate', 'affectionate')",-1.5775622,-1.6631759,-0.0856137
9,-1.0736448,-1.1671216,"('unaffectionate', 'caring')",-1.0736448,-1.1671216,-0.0934768
10,-0.5857239,-0.5608337,"('unsympathetic', 'sympathetic')",-0.5857239,-0.5608337,0.0248902
11,0.23741603,0.21391425,"('unhelpful', 'helpful')",0.237416,0.2139142,-0.0235018
12,-1.2853079,-1.2161667,"('unsupportive', 'supportive')",-1.2853079,-1.2161667,0.0691412
13,-0.16347998,-0.092839874,"('impolite', 'polite')",-0.16348,-0.0928399,0.0706401
14,-0.0004472956,0.024652768,"('antisocial', 'social')",-0.0004473,0.0246528,0.0251001
15,1.1674265,0.9749085,"('boring', 'funny')",1.1674265,0.9749085,-0.192518
16,0.30126685,0.24173556,"('unpopular', 'popular')",0.3012668,0.2417356,-0.0595312
17,-0.14130095,-0.117045835,"('nasty', 'nice')",-0.1413009,-0.1170458,0.0242551
18,-0.83843297,-0.7749115,"('disagreeable', 'welcoming')",-0.838433,-0.7749115,0.0635215
19,-0.94232047,-1.0485452,"('inhospitable', 'hospitable')",-0.9423205,-1.0485452,-0.1062247
20,-0.07686141,-0.10027955,"('rough', 'thoughtful')",-0.0768614,-0.1002795,-0.0234181
21,-0.37411073,-0.2884906,"('immoral', 'moral')",-0.3741107,-0.2884906,0.0856201
