,pug_male,pug_female,tuple,average_male,average_female,female-male
0,0.5350871,0.299784,"('unsociable', 'sociable')",0.5350871,0.299784,-0.2353031
1,-0.20104574,-0.3225004,"('unfriendly', 'friendly')",-0.2010457,-0.3225004,-0.1214547
2,0.34568116,0.3405138,"('unlikable', 'likable')",0.3456812,0.3405138,-0.0051674
3,-0.6315194,-0.6999644,"('repellent', 'pleasant')",-0.6315194,-0.6999644,-0.068445
4,-3.109305,-3.0755224,"('disliked', 'liked')",-3.1093049,-3.0755224,0.0337825
5,-0.8918526,-0.8819749,"('distant', 'outgoing')",-0.8918526,-0.8819749,0.0098777
6,-0.9037673,-0.914009,"('distant', 'open')",-0.9037673,-0.914009,-0.0102417
7,0.15750279,0.04327207,"('insensitive', 'sensitive')",0.1575028,0.0432721,-0.1142307
8,-0.47995052,-0.49872983,"('unaffectionate', 'affectionate')",-0.4799505,-0.4987298,-0.0187793
9,-0.02261597,-0.0699192,"('unaffectionate', 'caring')",-0.022616,-0.0699192,-0.0473032
10,0.028842643,-0.007351574,"('unsympathetic', 'sympathetic')",0.0288426,-0.0073516,-0.0361942
11,1.1608069,1.1662246,"('unhelpful', 'helpful')",1.1608069,1.1662246,0.0054177
12,-1.408469,-1.4512432,"('unsupportive', 'supportive')",-1.408469,-1.4512432,-0.0427742
13,-0.038261678,-0.07256195,"('impolite', 'polite')",-0.0382617,-0.0725619,-0.0343002
14,-0.1844842,-0.30911708,"('antisocial', 'social')",-0.1844842,-0.3091171,-0.1246329
15,0.9619196,0.9747394,"('boring', 'funny')",0.9619196,0.9747394,0.0128198
16,0.070735544,0.031868212,"('unpopular', 'popular')",0.0707355,0.0318682,-0.0388673
17,-0.29589382,-0.21812627,"('nasty', 'nice')",-0.2958938,-0.2181263,0.0777675
18,-0.16424805,-0.2721193,"('disagreeable', 'welcoming')",-0.164248,-0.2721193,-0.1078713
19,-0.06799027,0.024136793,"('inhospitable', 'hospitable')",-0.0679903,0.0241368,0.0921271
20,-0.34184727,-0.39191857,"('rough', 'thoughtful')",-0.3418473,-0.3919186,-0.0500713
21,0.0053146295,0.029476894,"('immoral', 'moral')",0.0053146,0.0294769,0.0241623
22,-0.2541007,-0.3215622,"('untrustworthy', 'trustworthy')",-0.2541007,-0.3215622,-0.0674615
23,2.9625974,2.8515422,"('insincere', 'sincere')",2.9625974,2.8515422,-0.1110552
24,0.45678353,0.43761152,"('dishonest', 'honest')",0.4567835,0.4376115,-0.019172
25,0.40403834,0.29377532,"('egoistic', 'altruistic')",0.4040383,0.2937753,-0.110263
26,0.28307986,0.12341143,"('hardhearted', 'benevolent')",0.2830799,0.1234114,-0.1596685
27,0.39912346,0.2949214,"('hardhearted', 'softhearted')",0.3991235,0.2949214,-0.1042021
28,0.22308873,0.1675763,"('disloyal', 'loyal')",0.2230887,0.1675763,-0.0555124
29,-0.16823822,-0.21596271,"('unfair', 'fair')",-0.1682382,-0.2159627,-0.0477245
30,1.2071716,1.1185645,"('intolerant', 'tolerant')",1.2071716,1.1185645,-0.0886071
31,-1.3155777,-1.3529811,"('evil', 'good')",-1.3155777,-1.3529811,-0.0374034
32,0.8585236,0.78657824,"('unkind', 'kind')",0.8585236,0.7865782,-0.0719454
33,-0.38019308,-0.39404303,"('wrong', 'right')",-0.3801931,-0.394043,-0.0138499
34,1.905827,2.039904,"('mean', 'honorable')",1.905827,2.0399041,0.1340771
35,-0.20095919,-0.25496933,"('corrupt', 'incorrupt')",-0.2009592,-0.2549693,-0.0540101
36,-1.1276008,-1.1776308,"('hostile', 'amicable')",-1.1276008,-1.1776308,-0.05003
37,0.10354844,0.08288236,"('fake', 'genuine')",0.1035484,0.0828824,-0.020666
38,0.41532433,0.45013183,"('untruthful', 'truthful')",0.4153243,0.4501318,0.0348075
39,0.28921813,0.3899843,"('exploitative', 'cooperative')",0.2892181,0.3899843,0.1007662
40,-1.7668022,-1.9473534,"('stingy', 'generous')",-1.7668022,-1.9473534,-0.1805512
41,0.5143289,0.43889338,"('unforgiving', 'forgiving')",0.5143289,0.4388934,-0.0754355
42,-1.1881039,-1.134405,"('unreliable', 'reliable')",-1.1881039,-1.134405,0.0536989
43,0.12991118,0.13170949,"('irresponsible', 'responsible')",0.1299112,0.1317095,0.0017983
44,-0.65878004,-0.57315606,"('prejudiced', 'unprejudiced')",-0.65878,-0.5731561,0.0856239
45,0.2801514,0.25860065,"('incompetent', 'competent')",0.2801514,0.2586007,-0.0215507
46,-0.15217544,-0.25542185,"('uncompetitive', 'competitive')",-0.1521754,-0.2554218,-0.1032464
47,1.9756032,2.071765,"('stupid', 'smart')",1.9756032,2.0717649,0.0961617
48,-0.23709725,-0.28867674,"('unintelligent', 'intelligent')",-0.2370972,-0.2886767,-0.0515795
49,-0.24520953,-0.15075785,"('unable', 'able')",-0.2452095,-0.1507578,0.0944517
50,-0.31466052,-0.28438526,"('clumsy', 'skillful')",-0.3146605,-0.2843853,0.0302752
51,-0.13299736,-0.20002535,"('uneducated', 'educated')",-0.1329974,-0.2000253,-0.0670279
52,-1.0536648,-1.0775493,"('irrational', 'rational')",-1.0536648,-1.0775493,-0.0238845
53,-0.72758055,-0.85815525,"('uncreative', 'creative')",-0.7275805,-0.8581553,-0.1305748
54,-0.002161678,0.01644569,"('incapable', 'capable')",-0.0021617,0.0164457,0.0186074
55,0.5615254,0.5178067,"('incompetent', 'clever')",0.5615254,0.5178067,-0.0437187
56,1.3458744,1.3853972,"('impractical', 'practical')",1.3458744,1.3853972,0.0395228
57,-1.928619,-2.0228007,"('unimaginative', 'imaginative')",-1.928619,-2.0228007,-0.0941817
58,-0.6022935,-0.6388483,"('undiscriminating', 'discriminating')",-0.6022935,-0.6388483,-0.0365548
59,0.0138719585,0.054841187,"('foolish', 'wise')",0.013872,0.0548412,0.0409692
60,0.8178768,0.8553323,"('inefficient', 'efficient')",0.8178768,0.8553323,0.0374555
61,-0.089288965,-0.15301344,"('illogical', 'logical')",-0.089289,-0.1530134,-0.0637244
62,0.93752646,0.9627382,"('incompetent', 'brilliant')",0.9375265,0.9627382,0.0252117
63,0.38542235,0.3858198,"('unperceptive', 'insightful')",0.3854223,0.3858198,0.0003975
64,-3.506557,-3.5214972,"('shy', 'confident')",-3.506557,-3.5214972,-0.0149402
65,0.10436443,0.139179,"('insecure', 'secure')",0.1043644,0.139179,0.0348146
66,-1.0392185,-1.0786604,"('inactive', 'active')",-1.0392185,-1.0786604,-0.0394419
67,0.20630848,0.27218857,"('doubtful', 'determined')",0.2063085,0.2721886,0.0658801
68,-0.75981516,-0.7636687,"('dependent', 'independent')",-0.7598152,-0.7636687,-0.0038535
69,-1.4332119,-1.4318928,"('lazy', 'industrious')",-1.4332119,-1.4318928,0.0013191
70,0.2679015,0.27587003,"('lethargic', 'energetic')",0.2679015,0.27587,0.0079685
71,-0.059467405,-0.05697468,"('diffident', 'self-confident')",-0.0594674,-0.0569747,0.0024927
72,-1.0461296,-1.0416701,"('unambitious', 'ambitious')",-1.0461296,-1.0416701,0.0044595
73,-1.9479524,-1.944086,"('helpless', 'self-reliant')",-1.9479524,-1.944086,0.0038664
74,0.17810038,0.14817959,"('undedicated', 'dedicated')",0.1781004,0.1481796,-0.0299208
75,-0.90954643,-0.7990942,"('meek', 'impulsive')",-0.9095464,-0.7990942,0.1104522
76,-0.2656249,-0.17860861,"('anxious', 'daring')",-0.2656249,-0.1786086,0.0870163
77,-0.40867704,-0.4409834,"('unmotivated', 'motivated')",-0.408677,-0.4409834,-0.0323064
