,nike_male,nike_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.3257231,-0.48214254,"('unsociable', 'sociable')",-0.64968777,-0.89412767,-0.4877054,-0.6881351,-0.2004297
1,2.5102198,2.5968626,"('unfriendly', 'friendly')",1.4781021,1.4415435,1.9941609,2.0192029,0.025042
2,0.42413425,0.413742,"('unlikable', 'likable')",0.6673612,0.82631433,0.5457478,0.6200281,0.0742803
3,-0.84528005,-0.73425865,"('repellent', 'pleasant')",0.19059527,0.15488121,-0.3273424,-0.2896887,0.0376537
4,-0.77799064,-0.76058936,"('disliked', 'liked')",-6.4286113,-6.469962,-3.603301,-3.6152759,-0.0119749
5,0.8936066,1.0533009,"('distant', 'outgoing')",-0.5997629,-0.35953045,0.1469218,0.3468852,0.1999634
6,0.4880481,0.6343736,"('distant', 'open')",-0.2748357,-0.030421048,0.1066062,0.3019763,0.1953701
7,0.08494285,0.103786364,"('insensitive', 'sensitive')",0.24178374,0.14698145,0.1633633,0.1253839,-0.0379794
8,0.89608,0.9581478,"('unaffectionate', 'affectionate')",0.17979145,0.26810315,0.5379357,0.6131255,0.0751898
9,1.6925105,1.7504354,"('unaffectionate', 'caring')",0.57983834,0.68977237,1.1361744,1.2201039,0.0839295
10,-0.3673371,-0.4571396,"('unsympathetic', 'sympathetic')",-0.33299232,-0.5622236,-0.3501647,-0.5096816,-0.1595169
11,0.1511895,0.06672339,"('unhelpful', 'helpful')",2.215466,2.1947184,1.1833278,1.1307209,-0.0526069
12,1.5032496,1.6584364,"('unsupportive', 'supportive')",-1.7078136,-1.6599487,-0.102282,-0.0007561,0.1015259
13,-0.7677738,-0.9614247,"('impolite', 'polite')",-0.6364882,-0.78820765,-0.702131,-0.8748162,-0.1726852
14,-0.89670175,-1.056359,"('antisocial', 'social')",-1.031515,-1.2044115,-0.9641083,-1.1303853,-0.166277
15,0.047420017,-0.06075973,"('boring', 'funny')",-0.07157718,-0.013189696,-0.0120786,-0.0369747,-0.0248961
16,-0.63152885,-0.5479372,"('unpopular', 'popular')",0.4042033,0.39073196,-0.1136628,-0.0786026,0.0350602
