,roper_male,roper_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.057848744,-0.26605406,"('unsociable', 'sociable')",-0.3277323,-0.5011671,-0.7061093,-0.8652053,-0.3638968,-0.5441422,-0.1802454
1,-1.1005994,-1.1663051,"('unfriendly', 'friendly')",0.20344296,0.09105019,2.081335,2.0685074,0.3947262,0.3310842,-0.063642
2,0.81066704,0.9373839,"('unlikable', 'likable')",0.42150515,0.4913467,0.61140007,0.722623,0.6145241,0.7171179,0.1025938
3,-0.45369145,-0.27564746,"('repellent', 'pleasant')",0.21046527,0.2500853,-0.07950319,-0.0626409,-0.1075765,-0.029401,0.0781755
4,-0.68859917,-0.7091499,"('disliked', 'liked')",-0.57520604,-0.6062442,-5.886627,-5.986548,-2.3834775,-2.4339806,-0.0505031
5,-0.66455215,-0.5453796,"('distant', 'outgoing')",-0.48059207,-0.41160804,0.115437105,0.21637318,-0.3432357,-0.2468715,0.0963642
6,-1.0346601,-0.84006184,"('distant', 'open')",-0.88669103,-0.8078083,0.7969697,0.87594986,-0.3747938,-0.2573067,0.1174871
7,0.79719275,0.78063405,"('insensitive', 'sensitive')",0.36392915,0.4297001,0.34819764,0.41274703,0.5031065,0.5410271,0.0379206
8,-0.052033484,-0.028183721,"('unaffectionate', 'affectionate')",0.24304694,0.23950239,1.21571,1.2126588,0.4689078,0.4746591,0.0057513
9,-0.030497178,-0.044516675,"('unaffectionate', 'caring')",0.37219906,0.3384534,1.3600832,1.3832116,0.5672617,0.5590494,-0.0082123
10,0.55044895,0.46268976,"('unsympathetic', 'sympathetic')",-0.1935351,-0.24567688,-0.7666876,-0.842138,-0.1365912,-0.208375,-0.0717838
11,0.20754787,0.1921609,"('unhelpful', 'helpful')",1.0857607,1.1128873,1.2342105,1.2756767,0.8425064,0.8602417,0.0177353
12,0.8567642,0.98062885,"('unsupportive', 'supportive')",0.84144825,0.9481091,-1.713276,-1.7094308,-0.0050212,0.0731024,0.0781236
13,0.90714157,0.8056246,"('impolite', 'polite')",-0.0072048996,-0.072141,-0.8251689,-0.90517247,0.0249226,-0.0572296,-0.0821522
14,0.5066895,0.46763933,"('antisocial', 'social')",0.79175264,0.7532857,-1.1354799,-1.1880376,0.0543207,0.0109625,-0.0433582
15,0.08856021,-0.01806033,"('boring', 'funny')",-0.121257946,-0.18138081,0.5116158,0.50359195,0.1596394,0.1013836,-0.0582558
16,-0.40107507,-0.37731907,"('unpopular', 'popular')",-0.32431325,-0.32237378,0.69238263,0.6926084,-0.0110019,-0.0023615,0.0086404
17,-0.29259458,-0.22269553,"('nasty', 'nice')",-0.97686553,-0.88530797,-0.6207898,-0.5385045,-0.6300833,-0.548836,0.0812473
18,-0.44453973,-0.3154831,"('disagreeable', 'welcoming')",0.07292982,0.16795412,-0.2773537,-0.28032923,-0.2163212,-0.1426194,0.0737018
19,-0.8056028,-0.66293657,"('inhospitable', 'hospitable')",-0.7068297,-0.68015605,-0.020223446,0.18191984,-0.5108854,-0.3870576,0.1238278
20,-0.4076816,-0.38412586,"('rough', 'thoughtful')",0.8389338,0.9269938,1.1990917,1.1533321,0.543448,0.5654,0.021952
21,0.75438833,0.6552062,"('immoral', 'moral')",0.6412222,0.56152,-1.0694618,-1.0936979,0.1087162,0.0410094,-0.0677068
22,-0.07627172,-0.04821085,"('untrustworthy', 'trustworthy')",-0.10682359,-0.14239009,-1.0958267,-1.145997,-0.4263074,-0.4455326,-0.0192252
23,0.20807014,0.124093376,"('insincere', 'sincere')",-0.11142287,-0.1351273,4.729706,4.678848,1.6087844,1.5559379,-0.0528465
24,-0.08226791,-0.18302633,"('dishonest', 'honest')",-1.2104869,-1.2011772,0.3580062,0.3164065,-0.3115828,-0.3559324,-0.0443496
25,0.5236247,0.48930782,"('egoistic', 'altruistic')",0.5928036,0.6077336,1.8192732,1.8270152,0.9785672,0.9746855,-0.0038817
26,-0.6065545,-0.72294533,"('hardhearted', 'benevolent')",0.82769704,0.8283426,2.023907,1.9823416,0.7483498,0.695913,-0.0524368
27,-0.12455905,-0.0988708,"('hardhearted', 'softhearted')",0.60720646,0.6283,1.7571791,1.7135805,0.7466089,0.7476699,0.001061
28,-0.5659279,-0.76363856,"('disloyal', 'loyal')",0.034073837,-0.076752275,0.89372337,0.77852917,0.1206231,-0.0206205,-0.1412436
29,-0.5000792,-0.49187288,"('unfair', 'fair')",-0.8832706,-0.86536765,-0.33886406,-0.4241544,-0.5740713,-0.5937983,-0.019727
30,1.179949,1.0721253,"('intolerant', 'tolerant')",1.6218209,1.5547173,0.79756683,0.7505532,1.199779,1.1257985,-0.0739805
31,-1.2628062,-1.0652267,"('evil', 'good')",-0.60793465,-0.5772609,-0.30665576,-0.30022138,-0.7257989,-0.6475697,0.0782292
