,sophomore_male,sophomore_female,tuple,average_male,average_female,female-male
0,-0.03086166,-0.31643897,"('unsociable', 'sociable')",-0.0308617,-0.316439,-0.2855773
1,1.5786617,1.6459986,"('unfriendly', 'friendly')",1.5786617,1.6459986,0.0673369
2,0.6188076,0.6947782,"('unlikable', 'likable')",0.6188076,0.6947782,0.0759706
3,1.0551044,1.0385336,"('repellent', 'pleasant')",1.0551044,1.0385336,-0.0165708
4,-7.12545,-6.9871116,"('disliked', 'liked')",-7.1254501,-6.9871116,0.1383385
5,0.32427633,0.4727613,"('distant', 'outgoing')",0.3242763,0.4727613,0.148485
6,0.49621516,0.6113354,"('distant', 'open')",0.4962152,0.6113354,0.1151202
7,1.5761331,1.3833178,"('insensitive', 'sensitive')",1.5761331,1.3833178,-0.1928153
8,1.0895126,1.1647861,"('unaffectionate', 'affectionate')",1.0895126,1.1647861,0.0752735
9,1.3889774,1.4751053,"('unaffectionate', 'caring')",1.3889774,1.4751053,0.0861279
10,1.1643277,0.96453595,"('unsympathetic', 'sympathetic')",1.1643277,0.964536,-0.1997917
11,2.0623124,1.9568653,"('unhelpful', 'helpful')",2.0623124,1.9568653,-0.1054471
12,-1.0286077,-1.1207708,"('unsupportive', 'supportive')",-1.0286077,-1.1207708,-0.0921631
13,0.011983357,-0.21557936,"('impolite', 'polite')",0.0119834,-0.2155794,-0.2275628
14,-0.14659765,-0.43231893,"('antisocial', 'social')",-0.1465977,-0.4323189,-0.2857212
15,0.072208405,0.17462507,"('boring', 'funny')",0.0722084,0.1746251,0.1024167
16,-0.66916174,-0.5795654,"('unpopular', 'popular')",-0.6691617,-0.5795654,0.0895963
17,-0.3207508,-0.29114348,"('nasty', 'nice')",-0.3207508,-0.2911435,0.0296073
18,-0.1667074,-0.21391916,"('disagreeable', 'welcoming')",-0.1667074,-0.2139192,-0.0472118
19,0.22328232,0.38639557,"('inhospitable', 'hospitable')",0.2232823,0.3863956,0.1631133
20,0.96078634,0.84048736,"('rough', 'thoughtful')",0.9607863,0.8404874,-0.1202989
21,0.27578396,0.13314041,"('immoral', 'moral')",0.275784,0.1331404,-0.1426436
22,0.052562073,-0.05979281,"('untrustworthy', 'trustworthy')",0.0525621,-0.0597928,-0.1123549
23,6.8271146,6.6234694,"('insincere', 'sincere')",6.8271146,6.6234694,-0.2036452
24,2.3468132,2.203162,"('dishonest', 'honest')",2.3468132,2.203162,-0.1436512
25,0.479682,0.4971272,"('egoistic', 'altruistic')",0.479682,0.4971272,0.0174452
26,-0.13746172,-0.092432864,"('hardhearted', 'benevolent')",-0.1374617,-0.0924329,0.0450288
27,1.5638522,1.529681,"('hardhearted', 'softhearted')",1.5638522,1.529681,-0.0341712
28,1.3935484,1.3357011,"('disloyal', 'loyal')",1.3935484,1.3357011,-0.0578473
29,0.20503874,0.063895054,"('unfair', 'fair')",0.2050387,0.0638951,-0.1411436
30,0.827578,0.6362123,"('intolerant', 'tolerant')",0.827578,0.6362123,-0.1913657
31,-0.94934285,-0.7404555,"('evil', 'good')",-0.9493428,-0.7404555,0.2088873
32,1.2341843,1.0600995,"('unkind', 'kind')",1.2341843,1.0600995,-0.1740848
33,-0.5514708,-0.49137217,"('wrong', 'right')",-0.5514708,-0.4913722,0.0600986
34,4.525903,4.5914736,"('mean', 'honorable')",4.5259032,4.5914736,0.0655704
35,-0.62905025,-0.5346711,"('corrupt', 'incorrupt')",-0.6290503,-0.5346711,0.0943792
36,-0.7949996,-0.43217456,"('hostile', 'amicable')",-0.7949996,-0.4321746,0.362825
37,0.97649914,0.87698644,"('fake', 'genuine')",0.9764991,0.8769864,-0.0995127
38,0.48576525,0.42677182,"('untruthful', 'truthful')",0.4857652,0.4267718,-0.0589934
39,-0.17839578,-0.31810847,"('exploitative', 'cooperative')",-0.1783958,-0.3181085,-0.1397127
40,-1.2736295,-1.3887707,"('stingy', 'generous')",-1.2736295,-1.3887707,-0.1151412
41,-0.13507645,-0.14206904,"('unforgiving', 'forgiving')",-0.1350764,-0.142069,-0.0069926
42,-1.8413728,-1.9574571,"('unreliable', 'reliable')",-1.8413728,-1.9574571,-0.1160843
43,1.5000935,1.192623,"('irresponsible', 'responsible')",1.5000935,1.192623,-0.3074705
44,-1.3692904,-1.4869896,"('prejudiced', 'unprejudiced')",-1.3692904,-1.4869896,-0.1176992
45,0.5249426,0.41970912,"('incompetent', 'competent')",0.5249426,0.4197091,-0.1052335
46,-0.42305067,-0.55432343,"('uncompetitive', 'competitive')",-0.4230507,-0.5543234,-0.1312727
47,5.4803963,5.472415,"('stupid', 'smart')",5.4803963,5.472415,-0.0079813
48,0.958944,0.83915484,"('unintelligent', 'intelligent')",0.958944,0.8391548,-0.1197892
49,0.39328107,0.43444633,"('unable', 'able')",0.3932811,0.4344463,0.0411652
50,0.45257643,0.58241844,"('clumsy', 'skillful')",0.4525764,0.5824184,0.129842
51,0.78074497,0.6156555,"('uneducated', 'educated')",0.780745,0.6156555,-0.1650895
