,corporal_male,corporal_female,tuple,average_male,average_female,female-male
0,-0.37781635,-0.4764586,"('unsociable', 'sociable')",-0.3778163,-0.4764586,-0.0986423
1,1.1482086,1.2507706,"('unfriendly', 'friendly')",1.1482086,1.2507706,0.102562
2,-0.119071096,-0.058155715,"('unlikable', 'likable')",-0.1190711,-0.0581557,0.0609154
3,0.030311126,0.13789852,"('repellent', 'pleasant')",0.0303111,0.1378985,0.1075874
4,-7.6841173,-7.7364044,"('disliked', 'liked')",-7.6841173,-7.7364044,-0.0522871
5,-0.4767511,-0.3307682,"('distant', 'outgoing')",-0.4767511,-0.3307682,0.1459829
6,0.086264685,0.18932664,"('distant', 'open')",0.0862647,0.1893266,0.1030619
7,0.5012129,0.6196562,"('insensitive', 'sensitive')",0.5012129,0.6196562,0.1184433
8,1.664289,1.6310949,"('unaffectionate', 'affectionate')",1.664289,1.6310949,-0.0331941
9,2.1726582,2.1907725,"('unaffectionate', 'caring')",2.1726582,2.1907725,0.0181143
10,0.80251676,0.7641761,"('unsympathetic', 'sympathetic')",0.8025168,0.7641761,-0.0383407
11,1.4635557,1.4731306,"('unhelpful', 'helpful')",1.4635557,1.4731306,0.0095749
12,-1.7833309,-1.7559009,"('unsupportive', 'supportive')",-1.7833309,-1.7559009,0.02743
13,-0.5367567,-0.58432215,"('impolite', 'polite')",-0.5367567,-0.5843222,-0.0475655
14,-0.3162318,-0.36817303,"('antisocial', 'social')",-0.3162318,-0.368173,-0.0519412
15,0.20069192,0.11051429,"('boring', 'funny')",0.2006919,0.1105143,-0.0901776
16,-0.69905734,-0.57098824,"('unpopular', 'popular')",-0.6990573,-0.5709882,0.1280691
17,-0.5290934,-0.4909271,"('nasty', 'nice')",-0.5290934,-0.4909271,0.0381663
18,-0.44007802,-0.4209757,"('disagreeable', 'welcoming')",-0.440078,-0.4209757,0.0191023
19,-0.48919064,-0.41446373,"('inhospitable', 'hospitable')",-0.4891906,-0.4144637,0.0747269
20,0.68969524,0.6605645,"('rough', 'thoughtful')",0.6896952,0.6605645,-0.0291307
21,-0.5124916,-0.4744556,"('immoral', 'moral')",-0.5124916,-0.4744556,0.038036
22,-1.0940708,-1.1670542,"('untrustworthy', 'trustworthy')",-1.0940708,-1.1670542,-0.0729834
23,6.3927655,6.458578,"('insincere', 'sincere')",6.3927655,6.4585781,0.0658126
24,1.673324,1.5179449,"('dishonest', 'honest')",1.673324,1.5179449,-0.1553791
25,1.1329138,1.0850203,"('egoistic', 'altruistic')",1.1329138,1.0850203,-0.0478935
26,0.9578313,0.91175467,"('hardhearted', 'benevolent')",0.9578313,0.9117547,-0.0460766
27,1.6530464,1.5341805,"('hardhearted', 'softhearted')",1.6530464,1.5341805,-0.1188659
28,1.6175299,1.488983,"('disloyal', 'loyal')",1.6175299,1.488983,-0.1285469
29,-0.832827,-0.85159606,"('unfair', 'fair')",-0.832827,-0.8515961,-0.0187691
30,0.7002102,0.7178276,"('intolerant', 'tolerant')",0.7002102,0.7178276,0.0176174
31,-1.1507832,-1.0340503,"('evil', 'good')",-1.1507832,-1.0340503,0.1167329
32,1.1476665,1.0304008,"('unkind', 'kind')",1.1476665,1.0304008,-0.1172657
33,-0.26904982,-0.28775895,"('wrong', 'right')",-0.2690498,-0.2877589,-0.0187091
