,verisign_male,verisign_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.8381284,-1.9507384,"('unsociable', 'sociable')",-0.3208456,-0.41689983,-1.0794871,-1.1838192,-0.1043321
1,-0.9534251,-1.0296458,"('unfriendly', 'friendly')",1.936111,1.8082854,0.4913429,0.3893198,-0.1020231
2,0.020390071,0.092814654,"('unlikable', 'likable')",0.4276334,0.5155231,0.2240117,0.3041689,0.0801572
3,-0.9749283,-0.92300236,"('repellent', 'pleasant')",-0.07876447,-0.046643607,-0.5268464,-0.484823,0.0420234
4,0.07966139,0.011542168,"('disliked', 'liked')",-5.756102,-5.790203,-2.8382204,-2.8893304,-0.05111
5,-0.05824172,0.016053159,"('distant', 'outgoing')",-0.06393141,-0.10211317,-0.0610866,-0.04303,0.0180566
6,-0.35171142,-0.29707986,"('distant', 'open')",0.17331895,0.0601201,-0.0891962,-0.1184799,-0.0292837
7,-1.1245483,-1.1711837,"('insensitive', 'sensitive')",0.34424958,0.35478863,-0.3901494,-0.4081975,-0.0180481
8,-1.2661211,-1.2546394,"('unaffectionate', 'affectionate')",0.6383731,0.5133346,-0.313874,-0.3706524,-0.0567784
9,-1.5175576,-1.5464535,"('unaffectionate', 'caring')",0.9029695,0.8323008,-0.3072941,-0.3570763,-0.0497822
10,-2.164996,-2.210975,"('unsympathetic', 'sympathetic')",-0.80145735,-0.8034011,-1.4832267,-1.5071881,-0.0239614
11,-0.69315284,-0.71175927,"('unhelpful', 'helpful')",1.3155012,1.3698999,0.3111742,0.3290703,0.0178961
12,-1.6679568,-1.6339798,"('unsupportive', 'supportive')",-1.7215536,-1.6880028,-1.6947552,-1.6609913,0.0337639
13,-1.2477901,-1.3741925,"('impolite', 'polite')",-0.6246556,-0.63629067,-0.9362229,-1.0052416,-0.0690187
14,-0.85885096,-0.8675153,"('antisocial', 'social')",-0.60041064,-0.5834025,-0.7296308,-0.7254589,0.0041719
15,0.36204,0.291953,"('boring', 'funny')",0.5646173,0.5303838,0.4633287,0.4111684,-0.0521603
16,-0.16194269,-0.14265576,"('unpopular', 'popular')",0.52689546,0.55686855,0.1824764,0.2071064,0.02463
17,-0.14842078,-0.10258254,"('nasty', 'nice')",-0.26006156,-0.24477348,-0.2042412,-0.173678,0.0305632
18,-0.8552294,-0.89378846,"('disagreeable', 'welcoming')",-0.22250119,-0.29836917,-0.5388653,-0.5960788,-0.0572135
19,-0.20053925,-0.160444,"('inhospitable', 'hospitable')",0.08385816,0.09016191,-0.0583405,-0.035141,0.0231995
20,0.05049008,0.074419014,"('rough', 'thoughtful')",1.3207086,1.3115295,0.6855993,0.6929743,0.007375
21,-0.42462105,-0.5127888,"('immoral', 'moral')",-0.6326209,-0.5526958,-0.528621,-0.5327423,-0.0041213
22,-0.36782283,-0.46840462,"('untrustworthy', 'trustworthy')",-0.9734849,-1.0779285,-0.6706538,-0.7731666,-0.1025128
23,-0.9531348,-0.987004,"('insincere', 'sincere')",5.0798345,4.97055,2.0633497,1.991773,-0.0715767
24,-1.029134,-1.0970943,"('dishonest', 'honest')",0.44006646,0.36042818,-0.2945338,-0.368333,-0.0737992
25,-0.042375144,-0.035139706,"('egoistic', 'altruistic')",1.8688544,1.8275204,0.9132397,0.8961903,-0.0170494
26,-0.02123177,-0.061195068,"('hardhearted', 'benevolent')",1.75947,1.7014054,0.8691191,0.8201052,-0.0490139
27,-0.40677553,-0.4338288,"('hardhearted', 'softhearted')",1.3749137,1.2396731,0.4840691,0.4029222,-0.0811469
28,-1.0212075,-1.1403892,"('disloyal', 'loyal')",0.90798616,0.7765095,-0.0566106,-0.1819398,-0.1253292
29,0.16951573,0.11763995,"('unfair', 'fair')",-0.20644718,-0.34885588,-0.0184657,-0.115608,-0.0971423
30,-0.031344056,-0.08959785,"('intolerant', 'tolerant')",1.3281033,1.2718556,0.6483796,0.5911289,-0.0572507
31,-0.1504027,-0.14802362,"('evil', 'good')",-0.5532988,-0.6266067,-0.3518507,-0.3873152,-0.0354645
32,-0.7406367,-0.7632873,"('unkind', 'kind')",0.53604966,0.4435473,-0.1022935,-0.15987,-0.0575765
33,0.83169955,0.7591415,"('wrong', 'right')",-0.39183924,-0.45313254,0.2199302,0.1530045,-0.0669257
34,-0.112673484,-0.0030155368,"('mean', 'honorable')",5.5489798,5.58911,2.7181532,2.7930472,0.074894
35,1.3518935,1.3272787,"('corrupt', 'incorrupt')",0.13222882,-0.0021086596,0.7420612,0.662585,-0.0794762
