,moose_male,moose_female,tuple,average_male,average_female,female-male
0,0.49450126,0.40868723,"('unsociable', 'sociable')",0.4945013,0.4086872,-0.0858141
1,1.002904,1.0155997,"('unfriendly', 'friendly')",1.0029041,1.0155997,0.0126956
2,-0.03831464,0.13163738,"('unlikable', 'likable')",-0.0383146,0.1316374,0.169952
3,0.86264974,0.9696298,"('repellent', 'pleasant')",0.8626497,0.9696298,0.1069801
4,-7.121923,-7.3477726,"('disliked', 'liked')",-7.121923,-7.3477726,-0.2258496
5,-0.57428634,-0.5989231,"('distant', 'outgoing')",-0.5742863,-0.5989231,-0.0246368
6,-0.11515009,-0.20870602,"('distant', 'open')",-0.1151501,-0.208706,-0.0935559
7,1.4081604,1.4592543,"('insensitive', 'sensitive')",1.4081604,1.4592543,0.0510939
8,0.83405066,0.8049974,"('unaffectionate', 'affectionate')",0.8340507,0.8049974,-0.0290533
9,1.1501337,1.1698383,"('unaffectionate', 'caring')",1.1501337,1.1698383,0.0197046
10,1.2886431,1.3466134,"('unsympathetic', 'sympathetic')",1.2886431,1.3466134,0.0579703
11,1.6173538,1.7071825,"('unhelpful', 'helpful')",1.6173538,1.7071825,0.0898287
12,-1.5372368,-1.4910505,"('unsupportive', 'supportive')",-1.5372368,-1.4910505,0.0461863
13,0.14178993,0.25519815,"('impolite', 'polite')",0.1417899,0.2551982,0.1134083
14,0.434721,0.41096184,"('antisocial', 'social')",0.434721,0.4109618,-0.0237592
15,0.6621741,0.64305574,"('boring', 'funny')",0.6621741,0.6430557,-0.0191184
16,-0.8553621,-0.92270046,"('unpopular', 'popular')",-0.8553621,-0.9227005,-0.0673384
17,-0.0048933905,-0.05444651,"('nasty', 'nice')",-0.0048934,-0.0544465,-0.0495531
18,-0.41852668,-0.27875382,"('disagreeable', 'welcoming')",-0.4185267,-0.2787538,0.1397729
19,-0.83052474,-0.77621657,"('inhospitable', 'hospitable')",-0.8305247,-0.7762166,0.0543081
20,0.5036464,0.38323727,"('rough', 'thoughtful')",0.5036464,0.3832373,-0.1204091
21,0.18944679,0.44386333,"('immoral', 'moral')",0.1894468,0.4438633,0.2544165
22,0.017368855,0.022580398,"('untrustworthy', 'trustworthy')",0.0173689,0.0225804,0.0052115
23,5.9782987,6.2340674,"('insincere', 'sincere')",5.9782987,6.2340674,0.2557687
24,1.4077913,1.4562377,"('dishonest', 'honest')",1.4077913,1.4562377,0.0484464
25,0.8107584,0.82774997,"('egoistic', 'altruistic')",0.8107584,0.82775,0.0169916
26,1.2487441,1.0451685,"('hardhearted', 'benevolent')",1.2487441,1.0451685,-0.2035756
27,1.7142807,1.515569,"('hardhearted', 'softhearted')",1.7142807,1.515569,-0.1987117
28,1.4324468,1.2387716,"('disloyal', 'loyal')",1.4324468,1.2387716,-0.1936752
29,-0.48738274,-0.6648216,"('unfair', 'fair')",-0.4873827,-0.6648216,-0.1774389
30,0.907353,1.0481817,"('intolerant', 'tolerant')",0.907353,1.0481817,0.1408287
31,-1.4538313,-1.565649,"('evil', 'good')",-1.4538313,-1.565649,-0.1118177
32,1.129351,1.0182036,"('unkind', 'kind')",1.129351,1.0182036,-0.1111474
33,-0.44476905,-0.4836454,"('wrong', 'right')",-0.4447691,-0.4836454,-0.0388763
34,4.0617027,4.3936462,"('mean', 'honorable')",4.0617027,4.3936462,0.3319435
35,-1.0156244,-1.4764373,"('corrupt', 'incorrupt')",-1.0156244,-1.4764373,-0.4608129
36,-0.7909733,-1.0337253,"('hostile', 'amicable')",-0.7909733,-1.0337253,-0.242752
37,0.9177277,0.92411435,"('fake', 'genuine')",0.9177277,0.9241143,0.0063866
38,-0.67557716,-0.5210017,"('untruthful', 'truthful')",-0.6755772,-0.5210017,0.1545755
39,0.54651266,0.59387875,"('exploitative', 'cooperative')",0.5465127,0.5938787,0.047366
40,-1.0720522,-1.1430402,"('stingy', 'generous')",-1.0720522,-1.1430402,-0.070988
41,0.7247537,0.58229095,"('unforgiving', 'forgiving')",0.7247537,0.5822909,-0.1424628
42,-1.892339,-1.908069,"('unreliable', 'reliable')",-1.892339,-1.908069,-0.01573
43,1.1172352,1.2986668,"('irresponsible', 'responsible')",1.1172352,1.2986668,0.1814316
44,-0.93219376,-1.0779047,"('prejudiced', 'unprejudiced')",-0.9321938,-1.0779047,-0.1457109
45,0.60942626,0.37806633,"('incompetent', 'competent')",0.6094263,0.3780663,-0.23136
46,-0.2440886,-0.2681767,"('uncompetitive', 'competitive')",-0.2440886,-0.2681767,-0.0240881
47,4.527259,4.732248,"('stupid', 'smart')",4.5272589,4.7322478,0.2049889
48,0.28827968,0.40790957,"('unintelligent', 'intelligent')",0.2882797,0.4079096,0.1196299
49,-0.13545662,-0.085388,"('unable', 'able')",-0.1354566,-0.085388,0.0500686
50,-0.3593955,-0.39898396,"('clumsy', 'skillful')",-0.3593955,-0.398984,-0.0395885
51,0.53966403,0.5916936,"('uneducated', 'educated')",0.539664,0.5916936,0.0520296
52,-0.18768331,-0.376122,"('irrational', 'rational')",-0.1876833,-0.376122,-0.1884387
53,-0.09049913,-0.17309931,"('uncreative', 'creative')",-0.0904991,-0.1730993,-0.0826002
54,0.6324535,0.69783664,"('incapable', 'capable')",0.6324535,0.6978366,0.0653831
55,0.90394515,1.0462685,"('incompetent', 'clever')",0.9039451,1.0462685,0.1423234
56,0.48788637,0.5208382,"('impractical', 'practical')",0.4878864,0.5208382,0.0329518
57,-1.5940093,-1.8143282,"('unimaginative', 'imaginative')",-1.5940093,-1.8143282,-0.2203189
58,0.4964218,0.41576198,"('undiscriminating', 'discriminating')",0.4964218,0.415762,-0.0806598
59,-0.015209015,-0.021259643,"('foolish', 'wise')",-0.015209,-0.0212596,-0.0060506
60,0.3644925,0.73356473,"('inefficient', 'efficient')",0.3644925,0.7335647,0.3690722
61,0.3995064,0.1997153,"('illogical', 'logical')",0.3995064,0.1997153,-0.1997911
62,0.5103397,0.72332346,"('incompetent', 'brilliant')",0.5103397,0.7233235,0.2129838
63,0.2438089,0.3673863,"('unperceptive', 'insightful')",0.2438089,0.3673863,0.1235774
64,-5.949421,-5.8124986,"('shy', 'confident')",-5.9494209,-5.8124986,0.1369223
65,0.5673877,0.8336951,"('insecure', 'secure')",0.5673877,0.8336951,0.2663074
66,-0.010124102,-0.23103279,"('inactive', 'active')",-0.0101241,-0.2310328,-0.2209087
67,-0.71102726,-0.62588614,"('doubtful', 'determined')",-0.7110273,-0.6258861,0.0851412
68,-0.92997926,-0.81347066,"('dependent', 'independent')",-0.9299793,-0.8134707,0.1165086
69,-2.0084386,-2.0936902,"('lazy', 'industrious')",-2.0084386,-2.0936902,-0.0852516
70,1.8463176,1.7761436,"('lethargic', 'energetic')",1.8463176,1.7761436,-0.070174
71,0.3042689,0.23826618,"('diffident', 'self-confident')",0.3042689,0.2382662,-0.0660027
72,0.7614968,1.0541292,"('unambitious', 'ambitious')",0.7614968,1.0541292,0.2926324
73,-2.8052037,-2.744856,"('helpless', 'self-reliant')",-2.8052037,-2.7448561,0.0603476
74,0.5503228,0.39865765,"('undedicated', 'dedicated')",0.5503228,0.3986576,-0.1516652
75,-0.8146366,-0.82716733,"('meek', 'impulsive')",-0.8146366,-0.8271673,-0.0125307
76,0.63069654,0.74499404,"('anxious', 'daring')",0.6306965,0.744994,0.1142975
77,-1.6127672,-1.4473281,"('unmotivated', 'motivated')",-1.6127672,-1.4473281,0.1654391
78,-0.8603072,-0.96968156,"('nonresilient', 'resilient')",-0.8603072,-0.9696816,-0.1093744
79,-0.11086322,-0.23165414,"('wavering', 'unwavering')",-0.1108632,-0.2316541,-0.1207909
80,0.3885916,0.27266735,"('dominated', 'dominating')",0.3885916,0.2726673,-0.1159243
81,0.20443727,0.2998984,"('submissive', 'aggressive')",0.2044373,0.2998984,0.0954611
82,6.04682,6.097875,"('poor', 'rich')",6.0468202,6.0978751,0.0510549
83,-0.45200813,-0.36919117,"('powerless', 'powerful')",-0.4520081,-0.3691912,0.0828169
84,0.34481132,0.3437874,"('inferior', 'superior')",0.3448113,0.3437874,-0.0010239
85,-1.1949964,-1.3216455,"('insignificant', 'prestigious')",-1.1949964,-1.3216455,-0.1266491
86,0.85988593,0.77854466,"('uninfluential', 'influential')",0.8598859,0.7785447,-0.0813412
87,0.022483245,-0.008582085,"('unsuccessful', 'successful')",0.0224832,-0.0085821,-0.0310653
88,0.061454184,0.038658258,"('low', 'eminent')",0.0614542,0.0386583,-0.0227959
