,marsh_male,marsh_female,tuple,&_male,&_female,mclennan_male,mclennan_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.08847839,-0.25336966,"('unsociable', 'sociable')",0.9323939,0.8900541,-2.753139,-2.9505086,-0.22768085,-0.5218946,-0.45756656,-0.64400434,-0.5188942,-0.6959446,-0.1770504
1,0.57195437,0.512502,"('unfriendly', 'friendly')",-1.3313445,-1.1573745,-1.5306879,-1.5335544,-0.40046036,-0.4799568,1.8615962,1.7851038,-0.1657884,-0.174656,-0.0088676
2,-0.5409793,-0.42883992,"('unlikable', 'likable')",0.75439095,0.9248083,0.17261136,0.24562669,1.0265083,1.1123477,0.73244715,0.9146182,0.4289957,0.5537122,0.1247165
3,-0.61715156,-0.40306202,"('repellent', 'pleasant')",0.13202772,0.20750874,-1.4306632,-1.3661727,0.12805502,0.17276073,-0.04178599,0.055788867,-0.3659036,-0.2666353,0.0992683
4,-0.43606415,-0.50577974,"('disliked', 'liked')",0.15936573,0.0073995404,0.75807005,0.6916205,-0.69838065,-0.73453623,-5.8838186,-5.68481,-1.2201655,-1.2452212,-0.0250557
5,0.06853705,0.21236457,"('distant', 'outgoing')",-0.8582587,-0.75758886,1.6010704,1.6673967,-0.9360381,-0.78119665,-0.08182043,0.06686291,-0.041302,0.0815677,0.1228697
6,0.537042,0.73794943,"('distant', 'open')",-0.9149432,-0.72954804,1.7461449,1.8482945,-0.98142475,-0.814907,0.6551282,0.7768621,0.2083894,0.3637302,0.1553408
7,1.2862083,1.348263,"('insensitive', 'sensitive')",0.23210284,0.39264414,-1.386286,-1.4021852,-0.24987489,-0.35776436,0.7437052,0.67652833,0.1251711,0.1314972,0.0063261
8,0.80742097,0.84108454,"('unaffectionate', 'affectionate')",-0.7113002,-0.5630995,0.26882127,0.24531142,-0.93344015,-0.85469913,0.6291482,0.5783752,0.01213,0.0493945,0.0372645
9,1.2200906,1.2282985,"('unaffectionate', 'caring')",-0.663529,-0.4991386,-0.04778693,-0.08976203,-0.23377734,-0.27664673,1.3668505,1.2948788,0.3283696,0.331526,0.0031564
10,0.032514513,0.011907954,"('unsympathetic', 'sympathetic')",0.63720155,0.678807,-3.6785998,-3.7734497,-0.39103287,-0.71796066,0.07402751,-0.11408251,-0.6651778,-0.7829556,-0.1177778
11,0.19759934,0.15964028,"('unhelpful', 'helpful')",-0.63685894,-0.5756625,-2.0553312,-2.0399537,0.0763554,-0.05459888,2.0411804,1.9839063,-0.075411,-0.1053337,-0.0299227
12,0.8420748,0.9226003,"('unsupportive', 'supportive')",0.8280141,1.0954679,-0.8981819,-0.8426995,-0.6452615,-0.6162099,-1.5030426,-1.3761042,-0.2752794,-0.1633891,0.1118903
