,pinto_male,pinto_female,tuple,average_male,average_female,female-male
0,0.67783713,0.46003747,"('unsociable', 'sociable')",0.6778371,0.4600375,-0.2177996
1,1.0511329,0.95074284,"('unfriendly', 'friendly')",1.0511329,0.9507428,-0.1003901
2,0.6630458,0.7919126,"('unlikable', 'likable')",0.6630458,0.7919126,0.1288668
3,0.9823945,1.026572,"('repellent', 'pleasant')",0.9823945,1.026572,0.0441775
4,-6.8720036,-6.8887954,"('disliked', 'liked')",-6.8720036,-6.8887954,-0.0167918
5,-0.5287762,-0.35085037,"('distant', 'outgoing')",-0.5287762,-0.3508504,0.1779258
6,-0.40038696,-0.25685057,"('distant', 'open')",-0.400387,-0.2568506,0.1435364
7,1.0694612,0.9919174,"('insensitive', 'sensitive')",1.0694612,0.9919174,-0.0775438
8,0.5691251,0.5706416,"('unaffectionate', 'affectionate')",0.5691251,0.5706416,0.0015165
9,1.2564778,1.3175492,"('unaffectionate', 'caring')",1.2564778,1.3175492,0.0610714
10,1.7021859,1.6668843,"('unsympathetic', 'sympathetic')",1.7021859,1.6668843,-0.0353016
11,2.51584,2.4459167,"('unhelpful', 'helpful')",2.5158401,2.4459167,-0.0699234
12,-1.3426461,-1.3452514,"('unsupportive', 'supportive')",-1.3426461,-1.3452514,-0.0026053
13,0.9913532,0.89886814,"('impolite', 'polite')",0.9913532,0.8988681,-0.0924851
14,0.33084762,0.14303422,"('antisocial', 'social')",0.3308476,0.1430342,-0.1878134
15,0.7460623,0.604361,"('boring', 'funny')",0.7460623,0.604361,-0.1417013
16,-0.31288844,-0.25766018,"('unpopular', 'popular')",-0.3128884,-0.2576602,0.0552282
17,0.06156499,0.117705695,"('nasty', 'nice')",0.061565,0.1177057,0.0561407
18,-0.5212824,-0.6133867,"('disagreeable', 'welcoming')",-0.5212824,-0.6133867,-0.0921043
19,-0.6859065,-0.56330204,"('inhospitable', 'hospitable')",-0.6859065,-0.563302,0.1226045
20,0.72058976,0.57502294,"('rough', 'thoughtful')",0.7205898,0.5750229,-0.1455669
21,0.72672385,0.7304434,"('immoral', 'moral')",0.7267238,0.7304434,0.0037196
22,0.29234585,0.25100923,"('untrustworthy', 'trustworthy')",0.2923459,0.2510092,-0.0413367
23,6.4687905,6.3976107,"('insincere', 'sincere')",6.4687905,6.3976107,-0.0711798
24,1.9982985,1.9852047,"('dishonest', 'honest')",1.9982985,1.9852047,-0.0130938
25,0.32840484,0.27373487,"('egoistic', 'altruistic')",0.3284048,0.2737349,-0.0546699
26,0.2675209,0.09167124,"('hardhearted', 'benevolent')",0.2675209,0.0916712,-0.1758497
27,1.1297631,0.9865748,"('hardhearted', 'softhearted')",1.1297631,0.9865748,-0.1431883
28,1.1855716,1.1176479,"('disloyal', 'loyal')",1.1855716,1.1176479,-0.0679237
29,-0.72922224,-0.744669,"('unfair', 'fair')",-0.7292222,-0.744669,-0.0154468
30,1.2766162,1.1380998,"('intolerant', 'tolerant')",1.2766162,1.1380998,-0.1385164
31,-1.9308963,-1.8000507,"('evil', 'good')",-1.9308963,-1.8000507,0.1308456
32,1.4676716,1.4202707,"('unkind', 'kind')",1.4676716,1.4202707,-0.0474009
33,-0.6270203,-0.5421223,"('wrong', 'right')",-0.6270203,-0.5421223,0.084898
34,4.451534,4.591843,"('mean', 'honorable')",4.4515338,4.5918431,0.1403093
35,-1.5882871,-1.6232724,"('corrupt', 'incorrupt')",-1.5882871,-1.6232724,-0.0349853
36,-1.3917735,-1.3691009,"('hostile', 'amicable')",-1.3917735,-1.3691009,0.0226726
37,0.66440135,0.67932725,"('fake', 'genuine')",0.6644014,0.6793272,0.0149258
38,0.14282034,0.13855888,"('untruthful', 'truthful')",0.1428203,0.1385589,-0.0042614
39,0.356552,0.2957168,"('exploitative', 'cooperative')",0.356552,0.2957168,-0.0608352
40,-1.5507716,-1.6589617,"('stingy', 'generous')",-1.5507716,-1.6589617,-0.1081901
41,0.02709607,-0.034403272,"('unforgiving', 'forgiving')",0.0270961,-0.0344033,-0.0614994
42,-1.6084777,-1.6225066,"('unreliable', 'reliable')",-1.6084777,-1.6225066,-0.0140289
43,1.6825124,1.603273,"('irresponsible', 'responsible')",1.6825124,1.603273,-0.0792394
44,-1.2102243,-1.2403551,"('prejudiced', 'unprejudiced')",-1.2102243,-1.2403551,-0.0301308
45,0.58626527,0.55192494,"('incompetent', 'competent')",0.5862653,0.5519249,-0.0343404
46,0.25420386,0.22065054,"('uncompetitive', 'competitive')",0.2542039,0.2206505,-0.0335534
47,4.9674788,5.197448,"('stupid', 'smart')",4.9674788,5.1974478,0.229969
48,1.1177617,0.9205355,"('unintelligent', 'intelligent')",1.1177617,0.9205355,-0.1972262
49,0.05887324,0.19941097,"('unable', 'able')",0.0588732,0.199411,0.1405378
50,-0.06285575,-0.02071229,"('clumsy', 'skillful')",-0.0628558,-0.0207123,0.0421435
51,0.7666595,0.6847896,"('uneducated', 'educated')",0.7666595,0.6847896,-0.0818699
52,-1.0059296,-1.0302265,"('irrational', 'rational')",-1.0059296,-1.0302265,-0.0242969
53,0.0068503567,-0.028865239,"('uncreative', 'creative')",0.0068504,-0.0288652,-0.0357156
54,0.7708982,0.9885047,"('incapable', 'capable')",0.7708982,0.9885047,0.2176065
55,1.4293995,1.2794312,"('incompetent', 'clever')",1.4293995,1.2794312,-0.1499683
56,1.5365937,1.4400997,"('impractical', 'practical')",1.5365937,1.4400997,-0.096494
57,-2.072137,-2.123583,"('unimaginative', 'imaginative')",-2.0721371,-2.1235831,-0.051446
58,-0.114696935,-0.1552181,"('undiscriminating', 'discriminating')",-0.1146969,-0.1552181,-0.0405212
59,-0.27777508,-0.16990188,"('foolish', 'wise')",-0.2777751,-0.1699019,0.1078732
60,1.5396614,1.4579496,"('inefficient', 'efficient')",1.5396614,1.4579496,-0.0817118
61,0.34361193,0.111839026,"('illogical', 'logical')",0.3436119,0.111839,-0.2317729
62,1.8042842,1.8172826,"('incompetent', 'brilliant')",1.8042842,1.8172826,0.0129984
63,0.9673972,0.9746992,"('unperceptive', 'insightful')",0.9673972,0.9746992,0.007302
64,-5.303824,-5.2769294,"('shy', 'confident')",-5.3038239,-5.2769294,0.0268945
65,1.3001547,1.2541865,"('insecure', 'secure')",1.3001547,1.2541865,-0.0459682
66,-0.5357991,-0.47558227,"('inactive', 'active')",-0.5357991,-0.4755823,0.0602168
67,-0.54345584,-0.46465054,"('doubtful', 'determined')",-0.5434558,-0.4646505,0.0788053
68,-0.41508603,-0.40281215,"('dependent', 'independent')",-0.415086,-0.4028122,0.0122738
69,-2.1089544,-2.0083785,"('lazy', 'industrious')",-2.1089544,-2.0083785,0.1005759
70,1.9017106,1.8316362,"('lethargic', 'energetic')",1.9017106,1.8316362,-0.0700744
71,0.3353493,0.39620143,"('diffident', 'self-confident')",0.3353493,0.3962014,0.0608521
72,0.9240519,1.0492258,"('unambitious', 'ambitious')",0.9240519,1.0492258,0.1251739
73,-2.9471612,-2.9482152,"('helpless', 'self-reliant')",-2.9471612,-2.9482152,-0.001054
74,0.21898307,0.046121545,"('undedicated', 'dedicated')",0.2189831,0.0461215,-0.1728616
75,-1.0162927,-0.78590006,"('meek', 'impulsive')",-1.0162927,-0.7859001,0.2303926
76,1.1957734,1.0794845,"('anxious', 'daring')",1.1957734,1.0794845,-0.1162889
77,-0.8103441,-0.79082155,"('unmotivated', 'motivated')",-0.8103441,-0.7908216,0.0195225
78,-0.5122808,-0.54626626,"('nonresilient', 'resilient')",-0.5122808,-0.5462663,-0.0339855
79,-0.5869029,-0.4550333,"('wavering', 'unwavering')",-0.5869029,-0.4550333,0.1318696
80,0.089654416,-0.0149558475,"('dominated', 'dominating')",0.0896544,-0.0149558,-0.1046102
81,0.82358336,0.79843426,"('submissive', 'aggressive')",0.8235834,0.7984343,-0.0251491
82,6.7023516,6.777599,"('poor', 'rich')",6.7023516,6.7775989,0.0752473
83,-0.3750392,-0.3321546,"('powerless', 'powerful')",-0.3750392,-0.3321546,0.0428846
84,-0.0900978,-0.04845395,"('inferior', 'superior')",-0.0900978,-0.0484539,0.0416439
85,-1.6106188,-1.7010635,"('insignificant', 'prestigious')",-1.6106188,-1.7010635,-0.0904447
86,0.748518,0.7446676,"('uninfluential', 'influential')",0.748518,0.7446676,-0.0038504
87,0.06737247,0.124327496,"('unsuccessful', 'successful')",0.0673725,0.1243275,0.056955
88,0.54095775,0.42853898,"('low', 'eminent')",0.5409577,0.428539,-0.1124187
