,plier_male,plier_female,tuple,average_male,average_female,female-male
0,1.1622255,1.1289691,"('unsociable', 'sociable')",1.1622255,1.1289691,-0.0332564
1,-1.3157251,-1.4783891,"('unfriendly', 'friendly')",-1.3157251,-1.4783891,-0.162664
2,-0.007095594,0.15158197,"('unlikable', 'likable')",-0.0070956,0.151582,0.1586776
3,-0.054944173,0.049333103,"('repellent', 'pleasant')",-0.0549442,0.0493331,0.1042773
4,-2.971776,-2.7887077,"('disliked', 'liked')",-2.971776,-2.7887077,0.1830683
5,-1.8663833,-1.915859,"('distant', 'outgoing')",-1.8663833,-1.915859,-0.0494757
6,-1.6457541,-1.7893263,"('distant', 'open')",-1.6457541,-1.7893263,-0.1435722
7,0.7883963,0.8675506,"('insensitive', 'sensitive')",0.7883963,0.8675506,0.0791543
8,-0.9886488,-1.0882491,"('unaffectionate', 'affectionate')",-0.9886488,-1.0882491,-0.0996003
9,-0.7110276,-0.71428764,"('unaffectionate', 'caring')",-0.7110276,-0.7142876,-0.00326
10,0.67970496,0.5587744,"('unsympathetic', 'sympathetic')",0.679705,0.5587744,-0.1209306
11,0.40947953,0.51862514,"('unhelpful', 'helpful')",0.4094795,0.5186251,0.1091456
12,-1.0293107,-0.92179674,"('unsupportive', 'supportive')",-1.0293107,-0.9217967,0.107514
13,0.29081008,0.38214016,"('impolite', 'polite')",0.2908101,0.3821402,0.0913301
14,1.3618071,1.4476984,"('antisocial', 'social')",1.3618071,1.4476984,0.0858913
15,0.63525707,0.49449524,"('boring', 'funny')",0.6352571,0.4944952,-0.1407619
16,-0.6803155,-0.53072613,"('unpopular', 'popular')",-0.6803155,-0.5307261,0.1495894
17,-0.22178304,-0.1904335,"('nasty', 'nice')",-0.221783,-0.1904335,0.0313495
18,-1.9026158,-1.7843708,"('disagreeable', 'welcoming')",-1.9026158,-1.7843708,0.118245
19,-2.1451879,-2.1659691,"('inhospitable', 'hospitable')",-2.1451879,-2.1659691,-0.0207812
20,0.2280021,0.30533385,"('rough', 'thoughtful')",0.2280021,0.3053339,0.0773318
21,0.19000919,0.5072959,"('immoral', 'moral')",0.1900092,0.5072959,0.3172867
22,0.027591247,0.061362248,"('untrustworthy', 'trustworthy')",0.0275912,0.0613622,0.033771
23,2.3072252,2.2364852,"('insincere', 'sincere')",2.3072252,2.2364852,-0.07074
24,0.04533464,0.0067917593,"('dishonest', 'honest')",0.0453346,0.0067918,-0.0385428
25,-0.3008562,-0.29958528,"('egoistic', 'altruistic')",-0.3008562,-0.2995853,0.0012709
26,0.90824676,0.49692193,"('hardhearted', 'benevolent')",0.9082468,0.4969219,-0.4113249
27,-0.36736178,-0.38329533,"('hardhearted', 'softhearted')",-0.3673618,-0.3832953,-0.0159335
28,0.2737826,0.24937162,"('disloyal', 'loyal')",0.2737826,0.2493716,-0.024411
29,-0.38606507,-0.3477189,"('unfair', 'fair')",-0.3860651,-0.3477189,0.0383462
30,0.8352038,0.78228456,"('intolerant', 'tolerant')",0.8352038,0.7822846,-0.0529192
31,-1.740535,-1.7403599,"('evil', 'good')",-1.740535,-1.7403599,0.0001751
32,0.16092408,0.102190584,"('unkind', 'kind')",0.1609241,0.1021906,-0.0587335
