,nonbeliever_male,nonbeliever_female,tuple,average_male,average_female,female-male
0,-1.8307534,-2.0830271,"('unsociable', 'sociable')",-1.8307534,-2.0830271,-0.2522737
1,-1.437719,-1.5284963,"('unfriendly', 'friendly')",-1.437719,-1.5284963,-0.0907773
2,0.117342226,0.22086883,"('unlikable', 'likable')",0.1173422,0.2208688,0.1035266
3,-1.3575704,-1.1569496,"('repellent', 'pleasant')",-1.3575704,-1.1569496,0.2006208
4,-0.15251805,-0.13476588,"('disliked', 'liked')",-0.152518,-0.1347659,0.0177521
5,1.2251074,1.400649,"('distant', 'outgoing')",1.2251074,1.400649,0.1755416
6,1.1375438,1.2709235,"('distant', 'open')",1.1375438,1.2709235,0.1333797
7,-0.521452,-0.5105364,"('insensitive', 'sensitive')",-0.521452,-0.5105364,0.0109156
8,-1.3411536,-1.3586138,"('unaffectionate', 'affectionate')",-1.3411536,-1.3586138,-0.0174602
9,-0.66526395,-0.6221007,"('unaffectionate', 'caring')",-0.665264,-0.6221007,0.0431633
10,-1.9081372,-2.0859494,"('unsympathetic', 'sympathetic')",-1.9081372,-2.0859494,-0.1778122
11,-1.0182998,-0.92610586,"('unhelpful', 'helpful')",-1.0182998,-0.9261059,0.0921939
12,-1.677453,-1.5641125,"('unsupportive', 'supportive')",-1.677453,-1.5641125,0.1133405
13,-1.1294336,-1.1780868,"('impolite', 'polite')",-1.1294336,-1.1780868,-0.0486532
14,-1.4547564,-1.5929233,"('antisocial', 'social')",-1.4547564,-1.5929233,-0.1381669
15,0.9307536,0.85527664,"('boring', 'funny')",0.9307536,0.8552766,-0.075477
16,-0.61794406,-0.4620824,"('unpopular', 'popular')",-0.6179441,-0.4620824,0.1558617
17,0.5429677,0.6181699,"('nasty', 'nice')",0.5429677,0.6181699,0.0752022
18,-1.0597595,-0.8323529,"('disagreeable', 'welcoming')",-1.0597595,-0.8323529,0.2274066
19,0.6622208,0.82057416,"('inhospitable', 'hospitable')",0.6622208,0.8205742,0.1583534
20,0.046869583,0.034493044,"('rough', 'thoughtful')",0.0468696,0.034493,-0.0123766
21,-1.8016675,-1.6692904,"('immoral', 'moral')",-1.8016675,-1.6692904,0.1323771
22,-1.3831967,-1.3886055,"('untrustworthy', 'trustworthy')",-1.3831967,-1.3886055,-0.0054088
23,-0.23966861,-0.22252111,"('insincere', 'sincere')",-0.2396686,-0.2225211,0.0171475
24,-0.79997516,-0.84075725,"('dishonest', 'honest')",-0.7999752,-0.8407573,-0.0407821
25,0.60242194,0.6925682,"('egoistic', 'altruistic')",0.6024219,0.6925682,0.0901463
26,0.026421206,-0.16153991,"('hardhearted', 'benevolent')",0.0264212,-0.1615399,-0.1879611
27,-0.41336027,-0.2717111,"('hardhearted', 'softhearted')",-0.4133603,-0.2717111,0.1416492
28,-0.43049532,-0.6008331,"('disloyal', 'loyal')",-0.4304953,-0.6008331,-0.1703378
29,-0.0017274059,0.019795239,"('unfair', 'fair')",-0.0017274,0.0197952,0.0215226
30,-0.9233165,-0.9112513,"('intolerant', 'tolerant')",-0.9233165,-0.9112513,0.0120652
31,-0.17699012,-0.14557575,"('evil', 'good')",-0.1769901,-0.1455757,0.0314144
32,-0.23475929,-0.21694583,"('unkind', 'kind')",-0.2347593,-0.2169458,0.0178135
33,1.1122679,1.1387686,"('wrong', 'right')",1.1122679,1.1387686,0.0265007
34,0.08842897,0.25733495,"('mean', 'honorable')",0.088429,0.2573349,0.1689059
35,2.4179559,2.4752748,"('corrupt', 'incorrupt')",2.4179559,2.4752748,0.0573189
36,0.5503867,0.5548537,"('hostile', 'amicable')",0.5503867,0.5548537,0.004467
37,0.5326586,0.5603155,"('fake', 'genuine')",0.5326586,0.5603155,0.0276569
38,-0.26608014,-0.25695547,"('untruthful', 'truthful')",-0.2660801,-0.2569555,0.0091246
39,0.19395691,0.36995843,"('exploitative', 'cooperative')",0.1939569,0.3699584,0.1760015
40,-0.81376094,-0.85567874,"('stingy', 'generous')",-0.8137609,-0.8556787,-0.0419178
41,-1.3390673,-1.4799154,"('unforgiving', 'forgiving')",-1.3390673,-1.4799154,-0.1408481
42,0.70585644,0.7666959,"('unreliable', 'reliable')",0.7058564,0.7666959,0.0608395
43,-0.8033404,-0.77226853,"('irresponsible', 'responsible')",-0.8033404,-0.7722685,0.0310719
44,0.9523727,1.1140296,"('prejudiced', 'unprejudiced')",0.9523727,1.1140296,0.1616569
45,-1.1678855,-1.3303266,"('incompetent', 'competent')",-1.1678855,-1.3303266,-0.1624411
46,-2.1577513,-2.1701744,"('uncompetitive', 'competitive')",-2.1577513,-2.1701744,-0.0124231
47,-0.11727509,-0.18659492,"('stupid', 'smart')",-0.1172751,-0.1865949,-0.0693198
48,-2.8194656,-2.8835645,"('unintelligent', 'intelligent')",-2.8194656,-2.8835645,-0.0640989
49,-0.6817094,-0.38392615,"('unable', 'able')",-0.6817094,-0.3839262,0.2977832
50,0.8079146,0.96322256,"('clumsy', 'skillful')",0.8079146,0.9632226,0.155308
51,-1.7129993,-1.6894279,"('uneducated', 'educated')",-1.7129993,-1.6894279,0.0235714
52,-0.79605734,-0.7828986,"('irrational', 'rational')",-0.7960573,-0.7828986,0.0131587
53,-1.2368286,-1.1135471,"('uncreative', 'creative')",-1.2368286,-1.1135471,0.1232815
54,-0.13676883,-0.079307534,"('incapable', 'capable')",-0.1367688,-0.0793075,0.0574613
55,-2.2159004,-2.2506742,"('incompetent', 'clever')",-2.2159004,-2.2506742,-0.0347738
56,0.17592496,0.11675391,"('impractical', 'practical')",0.175925,0.1167539,-0.0591711
57,-1.7915685,-1.9528896,"('unimaginative', 'imaginative')",-1.7915685,-1.9528896,-0.1613211
58,-0.85247326,-1.0254278,"('undiscriminating', 'discriminating')",-0.8524733,-1.0254278,-0.1729545
59,0.5836135,0.6676479,"('foolish', 'wise')",0.5836135,0.6676479,0.0840344
