,regions_male,regions_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,female-male
0,0.7609105,0.8917632,"('unsociable', 'sociable')",-0.34850675,-0.42845604,0.39915484,0.41764203,0.2705195,0.2936497,0.0231302
1,-1.652558,-1.8104541,"('unfriendly', 'friendly')",1.0291516,0.8785332,0.57647777,0.32908592,-0.0156429,-0.200945,-0.1853021
2,0.56179506,0.53394926,"('unlikable', 'likable')",2.3780382,2.4419959,0.9534389,0.93634796,1.2977573,1.3040977,0.0063404
3,0.98048985,1.1924365,"('repellent', 'pleasant')",-0.521163,-0.40180704,1.1283034,1.2580721,0.5292101,0.6829005,0.1536904
4,-1.5303338,-1.774317,"('disliked', 'liked')",0.43880144,0.3349385,-6.681175,-7.050447,-2.5909025,-2.8299417,-0.2390392
5,-2.317624,-2.5768094,"('distant', 'outgoing')",0.798139,0.69808555,-1.5063632,-1.7458471,-1.0086161,-1.2081903,-0.1995742
6,-2.3969336,-2.5955055,"('distant', 'open')",0.065037765,-0.009084307,-1.5426931,-1.8170214,-1.2915297,-1.4738703,-0.1823406
7,2.2881696,2.529849,"('insensitive', 'sensitive')",0.42090213,0.49045342,1.0457717,1.1886029,1.2516144,1.4029684,0.151354
8,-1.1262088,-1.2891518,"('unaffectionate', 'affectionate')",0.1734338,0.12088649,-0.35807413,-0.5599034,-0.4369497,-0.5760562,-0.1391065
9,0.2611732,0.14944877,"('unaffectionate', 'caring')",1.1060747,1.0579736,0.64418674,0.5570038,0.6704782,0.5881421,-0.0823361
10,2.5650477,2.87683,"('unsympathetic', 'sympathetic')",-1.1404792,-1.0397462,0.54010993,0.7511994,0.6548928,0.8627611,0.2078683
11,1.1875869,1.3338995,"('unhelpful', 'helpful')",0.20470682,0.25350398,2.5399542,2.614996,1.3107493,1.4007998,0.0900505
12,1.9641482,2.0973735,"('unsupportive', 'supportive')",0.9816221,1.0950283,-1.8407586,-1.9317273,0.3683372,0.4202249,0.0518877
