,colleague_male,colleague_female,tuple,average_male,average_female,female-male
0,0.9276271,0.74718744,"('unsociable', 'sociable')",0.9276271,0.7471874,-0.1804397
1,1.4451581,1.6808695,"('unfriendly', 'friendly')",1.4451581,1.6808695,0.2357114
2,0.029520223,0.2630177,"('unlikable', 'likable')",0.0295202,0.2630177,0.2334975
3,1.5243069,1.5868863,"('repellent', 'pleasant')",1.5243069,1.5868863,0.0625794
4,-7.5349503,-7.397876,"('disliked', 'liked')",-7.5349503,-7.3978758,0.1370745
5,-0.80118066,-0.4152049,"('distant', 'outgoing')",-0.8011807,-0.4152049,0.3859758
6,-0.6584158,-0.29350427,"('distant', 'open')",-0.6584158,-0.2935043,0.3649115
7,1.8772031,1.874563,"('insensitive', 'sensitive')",1.8772031,1.874563,-0.0026401
8,0.5049794,0.7514218,"('unaffectionate', 'affectionate')",0.5049794,0.7514218,0.2464424
9,1.5551693,1.7987618,"('unaffectionate', 'caring')",1.5551693,1.7987618,0.2435925
10,1.760897,1.7710125,"('unsympathetic', 'sympathetic')",1.760897,1.7710125,0.0101155
11,2.7623568,2.7850173,"('unhelpful', 'helpful')",2.7623568,2.7850173,0.0226605
12,-0.86969906,-0.638281,"('unsupportive', 'supportive')",-0.8696991,-0.638281,0.2314181
13,0.9796458,0.81338197,"('impolite', 'polite')",0.9796458,0.813382,-0.1662638
14,0.47563377,0.29215837,"('antisocial', 'social')",0.4756338,0.2921584,-0.1834754
15,-0.0012405841,0.06578406,"('boring', 'funny')",-0.0012406,0.0657841,0.0670247
16,-0.7781826,-0.48369074,"('unpopular', 'popular')",-0.7781826,-0.4836907,0.2944919
17,-0.3973603,-0.25045,"('nasty', 'nice')",-0.3973603,-0.25045,0.1469103
18,-0.60416055,-0.44293773,"('disagreeable', 'welcoming')",-0.6041605,-0.4429377,0.1612228
19,-0.92648935,-0.5780666,"('inhospitable', 'hospitable')",-0.9264894,-0.5780666,0.3484228
20,0.78066665,0.5631343,"('rough', 'thoughtful')",0.7806666,0.5631343,-0.2175323
21,0.7487112,0.8616137,"('immoral', 'moral')",0.7487112,0.8616137,0.1129025
22,0.44904143,0.43930185,"('untrustworthy', 'trustworthy')",0.4490414,0.4393018,-0.0097396
23,7.654343,7.702796,"('insincere', 'sincere')",7.6543431,7.702796,0.0484529
24,2.4662087,2.4676151,"('dishonest', 'honest')",2.4662087,2.4676151,0.0014064
25,0.53253305,0.6005318,"('egoistic', 'altruistic')",0.532533,0.6005318,0.0679988
26,0.49555054,0.29555273,"('hardhearted', 'benevolent')",0.4955505,0.2955527,-0.1999978
27,1.7350566,1.5870519,"('hardhearted', 'softhearted')",1.7350566,1.5870519,-0.1480047
28,1.4484457,1.3603177,"('disloyal', 'loyal')",1.4484457,1.3603177,-0.088128
29,-1.025661,-1.0688943,"('unfair', 'fair')",-1.025661,-1.0688943,-0.0432333
30,1.2488015,1.2590278,"('intolerant', 'tolerant')",1.2488015,1.2590278,0.0102263
31,-2.166517,-1.9457412,"('evil', 'good')",-2.166517,-1.9457412,0.2207758
32,1.878263,1.7364186,"('unkind', 'kind')",1.878263,1.7364186,-0.1418444
33,-0.55708414,-0.3746431,"('wrong', 'right')",-0.5570841,-0.3746431,0.182441
34,4.979074,5.28584,"('mean', 'honorable')",4.979074,5.28584,0.306766
35,-1.9091983,-1.86426,"('corrupt', 'incorrupt')",-1.9091983,-1.86426,0.0449383
36,-1.7519597,-1.5277989,"('hostile', 'amicable')",-1.7519597,-1.5277989,0.2241608
37,1.0257412,1.0736021,"('fake', 'genuine')",1.0257412,1.0736021,0.0478609
38,0.20165011,0.34758842,"('untruthful', 'truthful')",0.2016501,0.3475884,0.1459383
39,0.7941272,0.69545,"('exploitative', 'cooperative')",0.7941272,0.69545,-0.0986772
40,-0.99359804,-1.081147,"('stingy', 'generous')",-0.993598,-1.081147,-0.087549
41,0.40820533,0.2977201,"('unforgiving', 'forgiving')",0.4082053,0.2977201,-0.1104852
42,-2.4100704,-2.3553855,"('unreliable', 'reliable')",-2.4100704,-2.3553855,0.0546849
43,1.6407944,1.6828598,"('irresponsible', 'responsible')",1.6407944,1.6828598,0.0420654
44,-1.7018399,-1.8929027,"('prejudiced', 'unprejudiced')",-1.7018399,-1.8929027,-0.1910628
45,1.1233056,0.9755891,"('incompetent', 'competent')",1.1233056,0.9755891,-0.1477165
46,0.16003036,0.0837506,"('uncompetitive', 'competitive')",0.1600304,0.0837506,-0.0762798
47,5.366406,5.5649557,"('stupid', 'smart')",5.366406,5.5649557,0.1985497
48,1.0886844,1.0693216,"('unintelligent', 'intelligent')",1.0886844,1.0693216,-0.0193628
49,0.07611537,0.39380997,"('unable', 'able')",0.0761154,0.39381,0.3176946
