,newell_male,newell_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,female-male
0,0.021873452,-0.056459434,"('unsociable', 'sociable')",0.3893389,0.3137589,-0.69898754,-0.83748597,-0.0959251,-0.1933955,-0.0974704
1,2.3758748,2.2508924,"('unfriendly', 'friendly')",1.0565985,0.9788828,1.9673929,1.8404697,1.7999554,1.6900816,-0.1098738
2,1.2049476,1.2360766,"('unlikable', 'likable')",0.97688633,1.0076271,0.59953934,0.6966185,0.9271244,0.9801075,0.0529831
3,-1.6794722,-1.6342508,"('repellent', 'pleasant')",-0.8664638,-0.6962138,-0.2790535,-0.26996455,-0.9416632,-0.8668097,0.0748535
4,0.18692993,0.12903339,"('disliked', 'liked')",-0.28820997,-0.25309798,-5.8476677,-5.8913455,-1.9829826,-2.0051366,-0.022154
5,1.440385,1.4078953,"('distant', 'outgoing')",0.28110322,0.354987,0.23353174,0.27570468,0.6516733,0.679529,0.0278557
6,0.72610384,0.69528985,"('distant', 'open')",-0.033198044,0.029170439,0.90591925,0.8936721,0.5329417,0.5393775,0.0064358
7,0.20960167,0.15887153,"('insensitive', 'sensitive')",0.08669762,0.14177698,0.20598306,0.14949836,0.1674274,0.150049,-0.0173784
8,0.9803676,0.9082495,"('unaffectionate', 'affectionate')",0.20528896,0.16791853,0.8829351,0.7439158,0.6895305,0.6066946,-0.0828359
9,1.3519772,1.3068348,"('unaffectionate', 'caring')",0.96053153,0.91877246,1.0758431,0.9696687,1.1294506,1.065092,-0.0643586
10,-0.41928786,-0.43767104,"('unsympathetic', 'sympathetic')",-0.02508656,0.026932526,-0.49725413,-0.6743508,-0.3138762,-0.3616964,-0.0478202
11,0.07716262,0.09549155,"('unhelpful', 'helpful')",0.4110006,0.44628727,1.5911399,1.5484154,0.6931011,0.6967314,0.0036303
12,2.1710184,2.2532485,"('unsupportive', 'supportive')",0.6643135,0.8544366,-1.4449993,-1.4726326,0.4634442,0.5450175,0.0815733
13,-0.27353513,-0.25407925,"('impolite', 'polite')",0.21569914,0.23930156,-0.68436193,-0.71329796,-0.2473993,-0.2426919,0.0047074
14,0.40015164,0.33922884,"('antisocial', 'social')",-0.099350266,-0.13449362,-1.1504586,-1.2081541,-0.2832191,-0.334473,-0.0512539
15,0.17600128,0.082252815,"('boring', 'funny')",-0.11391654,-0.2028425,0.501602,0.47649816,0.1878956,0.1186362,-0.0692594
16,-0.4596449,-0.5236008,"('unpopular', 'popular')",-0.4172065,-0.37156785,0.58577484,0.59969383,-0.0970255,-0.0984916,-0.0014661
17,-0.36523312,-0.30529633,"('nasty', 'nice')",-0.26214886,-0.13405673,-0.39589068,-0.30247638,-0.3410909,-0.2472765,0.0938144
18,0.86124456,0.80925834,"('disagreeable', 'welcoming')",-0.11510514,-0.0077771693,-0.28073823,-0.31557423,0.1551337,0.161969,0.0068353
19,1.309416,1.32956,"('inhospitable', 'hospitable')",0.054836117,0.08222623,0.42828104,0.54078794,0.5975111,0.6508581,0.053347
20,0.5806026,0.5238203,"('rough', 'thoughtful')",0.557197,0.6277279,1.1396204,1.0493851,0.75914,0.7336444,-0.0254956
