,anybody_male,anybody_female,tuple,average_male,average_female,female-male
0,-0.10834466,-0.21869816,"('unsociable', 'sociable')",-0.1083447,-0.2186982,-0.1103535
1,1.922355,1.9856784,"('unfriendly', 'friendly')",1.9223551,1.9856784,0.0633233
2,0.4920803,0.6096354,"('unlikable', 'likable')",0.4920803,0.6096354,0.1175551
3,0.59350985,0.68922484,"('repellent', 'pleasant')",0.5935099,0.6892248,0.0957149
4,-6.528485,-6.462757,"('disliked', 'liked')",-6.5284848,-6.4627571,0.0657277
5,0.7185192,0.78444463,"('distant', 'outgoing')",0.7185192,0.7844446,0.0659254
6,0.8100391,0.91938424,"('distant', 'open')",0.8100391,0.9193842,0.1093451
7,0.82198834,0.87688184,"('insensitive', 'sensitive')",0.8219883,0.8768818,0.0548935
8,1.3923637,1.4584316,"('unaffectionate', 'affectionate')",1.3923637,1.4584316,0.0660679
9,1.792202,1.8555529,"('unaffectionate', 'caring')",1.792202,1.8555529,0.0633509
10,0.73489314,0.7890989,"('unsympathetic', 'sympathetic')",0.7348931,0.7890989,0.0542058
11,2.3710022,2.3471165,"('unhelpful', 'helpful')",2.3710022,2.3471165,-0.0238857
12,-1.3347887,-1.2792543,"('unsupportive', 'supportive')",-1.3347887,-1.2792543,0.0555344
13,-0.08760978,-0.11803392,"('impolite', 'polite')",-0.0876098,-0.1180339,-0.0304241
14,-0.073498115,-0.21414539,"('antisocial', 'social')",-0.0734981,-0.2141454,-0.1406473
15,0.8641324,0.83392674,"('boring', 'funny')",0.8641324,0.8339267,-0.0302057
16,-0.25365758,-0.20860812,"('unpopular', 'popular')",-0.2536576,-0.2086081,0.0450495
17,-0.02524535,-0.0058931895,"('nasty', 'nice')",-0.0252453,-0.0058932,0.0193521
18,-0.30573118,-0.29496652,"('disagreeable', 'welcoming')",-0.3057312,-0.2949665,0.0107647
19,0.40011206,0.47344688,"('inhospitable', 'hospitable')",0.4001121,0.4734469,0.0733348
20,0.37679672,0.34521982,"('rough', 'thoughtful')",0.3767967,0.3452198,-0.0315769
21,-0.22594513,-0.17384173,"('immoral', 'moral')",-0.2259451,-0.1738417,0.0521034
22,-0.05513879,-0.07063608,"('untrustworthy', 'trustworthy')",-0.0551388,-0.0706361,-0.0154973
23,6.7805247,6.7656603,"('insincere', 'sincere')",6.7805247,6.7656603,-0.0148644
24,2.0976348,2.152636,"('dishonest', 'honest')",2.0976348,2.1526361,0.0550013
25,0.54588884,0.46330148,"('egoistic', 'altruistic')",0.5458888,0.4633015,-0.0825873
26,0.4949588,0.45848763,"('hardhearted', 'benevolent')",0.4949588,0.4584876,-0.0364712
27,1.4693729,1.3932376,"('hardhearted', 'softhearted')",1.4693729,1.3932376,-0.0761353
28,1.2310609,1.2340423,"('disloyal', 'loyal')",1.2310609,1.2340423,0.0029814
29,0.06257335,-0.026787123,"('unfair', 'fair')",0.0625734,-0.0267871,-0.0893605
30,0.733124,0.6266979,"('intolerant', 'tolerant')",0.733124,0.6266979,-0.1064261
31,-0.81143945,-0.7473203,"('evil', 'good')",-0.8114395,-0.7473203,0.0641192
