,ca_male,ca_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,0.23077855,0.08685779,"('unsociable', 'sociable')",-0.6011212,-0.66973066,-0.46537596,-0.62425077,-0.2785729,-0.4023745,-0.1238016
1,-0.33391264,-0.24011236,"('unfriendly', 'friendly')",0.097618125,0.024735674,1.6379073,1.6591082,0.4672043,0.4812438,0.0140395
2,1.2550546,1.3164822,"('unlikable', 'likable')",0.32901064,0.35310128,0.7566954,0.7667115,0.7802536,0.8120983,0.0318447
3,0.6875216,0.8755817,"('repellent', 'pleasant')",0.24733031,0.44111922,0.30408564,0.3276254,0.4129792,0.5481088,0.1351296
4,-1.1175474,-1.1424025,"('disliked', 'liked')",-0.22053374,-0.3143325,-5.9101343,-6.1112905,-2.4160719,-2.5226752,-0.1066033
5,-1.5977533,-1.4925537,"('distant', 'outgoing')",-0.39059725,-0.31964326,-0.47982812,-0.3083058,-0.8227262,-0.7068342,0.115892
6,-1.5083355,-1.3285491,"('distant', 'open')",-0.7088357,-0.64530504,0.13327768,0.3104432,-0.6946312,-0.5544703,0.1401609
7,0.6173357,0.6706528,"('insensitive', 'sensitive')",0.049158525,0.21038623,0.6992339,0.7901177,0.4552427,0.5570522,0.1018095
8,-0.46867993,-0.46832776,"('unaffectionate', 'affectionate')",-0.2166343,-0.26396546,0.6310935,0.73996377,-0.0180736,0.0025568,0.0206304
9,0.56810284,0.60045356,"('unaffectionate', 'caring')",-0.00066223554,-0.011628028,1.1345737,1.2768552,0.5673381,0.6218936,0.0545555
10,-0.13913126,-0.1908234,"('unsympathetic', 'sympathetic')",-0.85810137,-0.7657561,-0.55776143,-0.5716816,-0.5183314,-0.5094204,0.008911
11,0.8998854,0.8687941,"('unhelpful', 'helpful')",0.8450823,0.9290021,1.9701492,2.0163262,1.2383723,1.2713741,0.0330018
12,1.2861172,1.4204888,"('unsupportive', 'supportive')",0.369563,0.53975904,-1.7473135,-1.6684089,-0.0305444,0.0972797,0.1278241
13,0.48722464,0.35412595,"('impolite', 'polite')",-0.5105742,-0.47107488,-0.3818413,-0.45844436,-0.1350636,-0.1917978,-0.0567342
14,0.739355,0.6978311,"('antisocial', 'social')",0.5608698,0.5941065,-0.4824813,-0.585596,0.2725812,0.2354472,-0.037134
15,0.6648636,0.49868914,"('boring', 'funny')",0.15984906,0.048332468,0.60411763,0.5775006,0.4762768,0.3748407,-0.1014361
16,-0.85843366,-0.87153506,"('unpopular', 'popular')",-0.105275884,-0.15159866,0.5250094,0.54313576,-0.1462334,-0.1599993,-0.0137659
17,0.37099487,0.442199,"('nasty', 'nice')",-0.5568095,-0.50304353,-0.4113142,-0.3161368,-0.1990429,-0.1256604,0.0733825
18,-0.025438882,0.008847147,"('disagreeable', 'welcoming')",0.16185991,0.19513656,-0.2598116,-0.23191328,-0.0411302,-0.0093099,0.0318203
19,-0.66023844,-0.57621986,"('inhospitable', 'hospitable')",-0.6893368,-0.6873617,-0.14339817,0.00447572,-0.4976578,-0.4197019,0.0779559
20,1.2230453,1.2808146,"('rough', 'thoughtful')",0.78984493,0.8486932,0.7025256,0.69248176,0.9051387,0.9406632,0.0355245
21,0.9748685,0.89022404,"('immoral', 'moral')",0.3119809,0.31887433,-0.5990069,-0.6303604,0.2292808,0.1929126,-0.0363682
22,1.1900496,1.1963181,"('untrustworthy', 'trustworthy')",-0.102652736,-0.11620205,-0.7119383,-0.78105414,0.1251528,0.0996873,-0.0254655
23,0.8475952,0.78371155,"('insincere', 'sincere')",-0.37639922,-0.33506534,5.6029706,5.636921,2.0247223,2.0285223,0.0038
24,0.34806114,0.34403795,"('dishonest', 'honest')",-1.5396357,-1.5579296,0.72080785,0.660986,-0.1569222,-0.1843019,-0.0273797
25,0.167424,0.2024157,"('egoistic', 'altruistic')",0.7154948,0.678423,1.658215,1.6627716,0.8470446,0.8478701,0.0008255
26,0.18909371,0.13238533,"('hardhearted', 'benevolent')",0.83475673,0.8045642,1.5965424,1.5224853,0.8734643,0.8198116,-0.0536527
27,0.5516948,0.6706952,"('hardhearted', 'softhearted')",0.23537478,0.2787935,1.328696,1.3605181,0.7052552,0.7700023,0.0647471
28,0.25685075,0.080220334,"('disloyal', 'loyal')",0.09791312,-0.008584727,1.1578062,1.0301354,0.50419,0.367257,-0.136933
29,0.64485496,0.66429925,"('unfair', 'fair')",-0.80274206,-0.84229505,-0.52768266,-0.6100921,-0.2285233,-0.262696,-0.0341727
30,1.5667021,1.4677643,"('intolerant', 'tolerant')",1.4700894,1.4263844,1.048798,0.9874407,1.3618631,1.2938631,-0.068
31,-0.8461562,-0.59753543,"('evil', 'good')",-0.16903806,-0.20610051,-0.89489925,-0.8044024,-0.6366978,-0.5360128,0.100685
32,0.2897034,0.17610608,"('unkind', 'kind')",-0.17215057,-0.20171487,1.0781534,0.94115716,0.3985687,0.3051828,-0.0933859
33,0.15496437,0.103980765,"('wrong', 'right')",0.35200298,0.29363233,-0.33095938,-0.3990084,0.0586693,-0.0004651,-0.0591344
34,0.5719814,0.8316527,"('mean', 'honorable')",-0.015535768,0.15150322,6.0300145,6.2557125,2.1954867,2.4129561,0.2174694
35,-1.1125419,-1.2084528,"('corrupt', 'incorrupt')",-0.16278388,-0.36016238,-0.26349992,-0.36712483,-0.5129419,-0.6452467,-0.1323048
36,-0.8557831,-0.723289,"('hostile', 'amicable')",-0.33200964,-0.5418983,0.2781418,0.16429242,-0.303217,-0.3669649,-0.0637479
37,-0.22122204,-0.21391068,"('fake', 'genuine')",-0.42115876,-0.43331736,0.29620925,0.3956936,-0.1153905,-0.0838448,0.0315457
38,-0.030342959,-0.063384905,"('untruthful', 'truthful')",-0.8180368,-0.75504345,-0.015590772,0.039901946,-0.2879902,-0.2595088,0.0284814
