,mass_male,mass_female,tuple,average_male,average_female,female-male
0,0.3549916,0.23082304,"('unsociable', 'sociable')",0.3549916,0.230823,-0.1241686
1,0.8936272,0.95986694,"('unfriendly', 'friendly')",0.8936272,0.9598669,0.0662397
2,0.11017086,0.25839296,"('unlikable', 'likable')",0.1101709,0.258393,0.1482221
3,0.84612185,1.0091364,"('repellent', 'pleasant')",0.8461218,1.0091364,0.1630146
4,-6.829788,-7.025027,"('disliked', 'liked')",-6.8297882,-7.0250268,-0.1952386
5,-0.553793,-0.5946424,"('distant', 'outgoing')",-0.553793,-0.5946424,-0.0408494
6,-0.31200334,-0.37602043,"('distant', 'open')",-0.3120033,-0.3760204,-0.0640171
7,1.2143579,1.2823349,"('insensitive', 'sensitive')",1.2143579,1.2823349,0.067977
8,0.89169496,0.9146496,"('unaffectionate', 'affectionate')",0.891695,0.9146496,0.0229546
9,1.3890359,1.4621489,"('unaffectionate', 'caring')",1.3890359,1.4621489,0.073113
10,0.9799863,1.0919894,"('unsympathetic', 'sympathetic')",0.9799863,1.0919894,0.1120031
11,1.5206509,1.6364837,"('unhelpful', 'helpful')",1.5206509,1.6364837,0.1158328
12,-1.1108421,-1.0449661,"('unsupportive', 'supportive')",-1.1108421,-1.0449661,0.065876
13,0.10752283,0.2511598,"('impolite', 'polite')",0.1075228,0.2511598,0.143637
14,0.54472345,0.5049701,"('antisocial', 'social')",0.5447235,0.5049701,-0.0397534
15,0.48888338,0.37001652,"('boring', 'funny')",0.4888834,0.3700165,-0.1188669
16,-0.796535,-0.7922489,"('unpopular', 'popular')",-0.796535,-0.7922489,0.0042861
17,0.19906905,0.15192547,"('nasty', 'nice')",0.1990691,0.1519255,-0.0471436
18,-1.022852,-0.8520844,"('disagreeable', 'welcoming')",-1.0228519,-0.8520844,0.1707675
19,-0.48105955,-0.43040773,"('inhospitable', 'hospitable')",-0.4810596,-0.4304077,0.0506519
20,0.49307385,0.39107707,"('rough', 'thoughtful')",0.4930739,0.3910771,-0.1019968
21,-0.12752262,0.15583965,"('immoral', 'moral')",-0.1275226,0.1558397,0.2833623
22,0.02750415,0.022816338,"('untrustworthy', 'trustworthy')",0.0275041,0.0228163,-0.0046878
23,5.8612866,6.117513,"('insincere', 'sincere')",5.8612866,6.1175132,0.2562266
24,1.6732478,1.6845233,"('dishonest', 'honest')",1.6732478,1.6845233,0.0112755
25,0.644819,0.7512439,"('egoistic', 'altruistic')",0.644819,0.7512439,0.1064249
26,1.3394989,1.0741462,"('hardhearted', 'benevolent')",1.3394989,1.0741462,-0.2653527
27,1.3727643,1.2592733,"('hardhearted', 'softhearted')",1.3727643,1.2592733,-0.113491
28,1.3204155,1.1439252,"('disloyal', 'loyal')",1.3204155,1.1439252,-0.1764903
29,-0.25473508,-0.42987382,"('unfair', 'fair')",-0.2547351,-0.4298738,-0.1751387
30,1.1646259,1.2158573,"('intolerant', 'tolerant')",1.1646259,1.2158573,0.0512314
31,-1.124801,-1.2356846,"('evil', 'good')",-1.124801,-1.2356846,-0.1108836
32,1.2574674,1.2096121,"('unkind', 'kind')",1.2574674,1.2096121,-0.0478553
33,-0.04397265,-0.14090914,"('wrong', 'right')",-0.0439726,-0.1409091,-0.0969365
34,4.1686163,4.4474688,"('mean', 'honorable')",4.1686163,4.4474688,0.2788525
35,-0.69328576,-1.1444267,"('corrupt', 'incorrupt')",-0.6932858,-1.1444267,-0.4511409
36,-0.47524422,-0.7338034,"('hostile', 'amicable')",-0.4752442,-0.7338034,-0.2585592
37,0.72757196,0.77807957,"('fake', 'genuine')",0.727572,0.7780796,0.0505076
38,-0.29454482,-0.15851372,"('untruthful', 'truthful')",-0.2945448,-0.1585137,0.1360311
39,0.46833408,0.5255216,"('exploitative', 'cooperative')",0.4683341,0.5255216,0.0571875
40,-1.1259481,-1.2605497,"('stingy', 'generous')",-1.1259481,-1.2605497,-0.1346016
41,1.0198861,0.8167581,"('unforgiving', 'forgiving')",1.0198861,0.8167581,-0.203128
42,-2.3714588,-2.349381,"('unreliable', 'reliable')",-2.3714588,-2.349381,0.0220778
43,0.811168,0.9490081,"('irresponsible', 'responsible')",0.811168,0.9490081,0.1378401
44,-1.4491132,-1.4777219,"('prejudiced', 'unprejudiced')",-1.4491132,-1.4777219,-0.0286087
45,0.76262057,0.48917654,"('incompetent', 'competent')",0.7626206,0.4891765,-0.2734441
46,-0.80789787,-0.8456715,"('uncompetitive', 'competitive')",-0.8078979,-0.8456715,-0.0377736
47,4.9436154,5.0829363,"('stupid', 'smart')",4.9436154,5.0829363,0.1393209
48,0.4709655,0.56938106,"('unintelligent', 'intelligent')",0.4709655,0.5693811,0.0984156
