,teco_male,teco_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.8276428,-1.9290304,"('unsociable', 'sociable')",0.23707741,0.11086508,-0.64526045,-0.8006123,-0.7452753,-0.8729258,-0.1276505
1,-1.2071183,-1.3405601,"('unfriendly', 'friendly')",0.43143314,0.20721802,1.6992462,1.5738014,0.3078537,0.1468198,-0.1610339
2,0.8203612,0.8582837,"('unlikable', 'likable')",1.3161334,1.2686971,0.6935099,0.7715105,0.9433348,0.9661638,0.022829
3,-0.39389366,-0.30385265,"('repellent', 'pleasant')",0.02693518,0.10016372,0.19222185,0.20656238,-0.0582455,0.0009578,0.0592033
4,0.62463844,0.5479332,"('disliked', 'liked')",0.46889943,0.28047276,-5.688105,-5.824325,-1.5315224,-1.6653064,-0.133784
5,-0.65275824,-0.7274027,"('distant', 'outgoing')",-0.20806354,-0.28822058,-0.2735666,-0.3058198,-0.3781295,-0.440481,-0.0623515
6,-1.2497587,-1.3084761,"('distant', 'open')",-0.77407825,-0.9257994,0.17429072,0.120820165,-0.6165155,-0.7044851,-0.0879696
7,-0.72138846,-0.71468675,"('insensitive', 'sensitive')",0.86480093,0.8907285,0.46600473,0.44161958,0.2031391,0.2058871,0.002748
8,-1.3086653,-1.3761626,"('unaffectionate', 'affectionate')",-0.8504247,-1.0031464,0.5243965,0.45252198,-0.5448979,-0.6422624,-0.0973645
9,-1.0950416,-1.174048,"('unaffectionate', 'caring')",0.22308834,0.09686625,0.7766212,0.7219526,-0.0317774,-0.1184097,-0.0866323
10,-1.6585716,-1.6628218,"('unsympathetic', 'sympathetic')",-0.27804282,-0.31783697,-0.62496585,-0.6876466,-0.8538601,-0.8894351,-0.035575
11,-0.65838885,-0.5798638,"('unhelpful', 'helpful')",0.5195496,0.5971602,1.4100463,1.4702746,0.4237357,0.495857,0.0721213
12,-0.31530744,-0.26091135,"('unsupportive', 'supportive')",0.7576064,0.76996726,-1.9198298,-1.9338771,-0.4925103,-0.4749404,0.0175699
13,-0.7606833,-0.7561456,"('impolite', 'polite')",0.18190041,0.29722673,-0.6647384,-0.6852115,-0.4145071,-0.3813768,0.0331303
14,-0.7923266,-0.75075847,"('antisocial', 'social')",1.1264333,1.1546104,-0.5101151,-0.60159063,-0.0586695,-0.0659129,-0.0072434
15,0.38531122,0.26933676,"('boring', 'funny')",-0.07946573,-0.17015666,0.6509349,0.60652435,0.3189268,0.2352348,-0.083692
