,residence_male,residence_female,tuple,average_male,average_female,female-male
0,0.7136639,0.44117588,"('unsociable', 'sociable')",0.7136639,0.4411759,-0.272488
1,0.98706317,1.0434053,"('unfriendly', 'friendly')",0.9870632,1.0434053,0.0563421
2,0.43493733,0.65525454,"('unlikable', 'likable')",0.4349373,0.6552545,0.2203172
3,0.39236912,0.50784546,"('repellent', 'pleasant')",0.3923691,0.5078455,0.1154764
4,-6.8672795,-6.9386044,"('disliked', 'liked')",-6.8672795,-6.9386044,-0.0713249
5,-1.0766847,-0.898109,"('distant', 'outgoing')",-1.0766847,-0.898109,0.1785757
6,-0.9564532,-0.8076932,"('distant', 'open')",-0.9564532,-0.8076932,0.14876
7,1.4652156,1.5055658,"('insensitive', 'sensitive')",1.4652156,1.5055658,0.0403502
8,0.5259974,0.5579915,"('unaffectionate', 'affectionate')",0.5259974,0.5579915,0.0319941
9,1.0608101,1.1928457,"('unaffectionate', 'caring')",1.0608101,1.1928457,0.1320356
10,1.0955435,0.9989149,"('unsympathetic', 'sympathetic')",1.0955435,0.9989149,-0.0966286
11,1.976308,2.049996,"('unhelpful', 'helpful')",1.976308,2.0499959,0.0736879
12,-1.4858314,-1.4640032,"('unsupportive', 'supportive')",-1.4858314,-1.4640032,0.0218282
13,0.7453208,0.6368542,"('impolite', 'polite')",0.7453208,0.6368542,-0.1084666
14,1.389927,1.2971556,"('antisocial', 'social')",1.389927,1.2971556,-0.0927714
15,0.10400223,0.1242096,"('boring', 'funny')",0.1040022,0.1242096,0.0202074
16,-0.14065248,0.00017703325,"('unpopular', 'popular')",-0.1406525,0.000177,0.1408295
17,0.112832576,0.16390543,"('nasty', 'nice')",0.1128326,0.1639054,0.0510728
18,-0.24015962,-0.18080252,"('disagreeable', 'welcoming')",-0.2401596,-0.1808025,0.0593571
19,-0.9751012,-0.85334873,"('inhospitable', 'hospitable')",-0.9751012,-0.8533487,0.1217525
20,0.75447834,0.6883179,"('rough', 'thoughtful')",0.7544783,0.6883179,-0.0661604
21,0.2348191,0.17961942,"('immoral', 'moral')",0.2348191,0.1796194,-0.0551997
22,0.23965272,0.18777688,"('untrustworthy', 'trustworthy')",0.2396527,0.1877769,-0.0518758
23,6.5206866,6.6435485,"('insincere', 'sincere')",6.5206866,6.6435485,0.1228619
24,1.6221874,1.6502491,"('dishonest', 'honest')",1.6221874,1.6502491,0.0280617
25,0.44381332,0.42850375,"('egoistic', 'altruistic')",0.4438133,0.4285038,-0.0153095
26,1.123032,1.0266173,"('hardhearted', 'benevolent')",1.123032,1.0266173,-0.0964147
