,priority_male,priority_female,tuple,average_male,average_female,female-male
0,-0.44392723,-0.5193305,"('unsociable', 'sociable')",-0.4439272,-0.5193305,-0.0754033
1,1.5112858,1.5647975,"('unfriendly', 'friendly')",1.5112858,1.5647975,0.0535117
2,0.051884685,0.12001202,"('unlikable', 'likable')",0.0518847,0.120012,0.0681273
3,0.35905078,0.26909193,"('repellent', 'pleasant')",0.3590508,0.2690919,-0.0899589
4,-7.3923826,-7.5574336,"('disliked', 'liked')",-7.3923826,-7.5574336,-0.165051
5,-0.15549248,-0.043557256,"('distant', 'outgoing')",-0.1554925,-0.0435573,0.1119352
6,0.30934912,0.38424355,"('distant', 'open')",0.3093491,0.3842435,0.0748944
7,0.76231045,0.79309446,"('insensitive', 'sensitive')",0.7623104,0.7930945,0.0307841
8,1.5285511,1.5867581,"('unaffectionate', 'affectionate')",1.5285511,1.5867581,0.058207
9,1.664036,1.8692564,"('unaffectionate', 'caring')",1.664036,1.8692564,0.2052204
10,0.74023145,0.6122599,"('unsympathetic', 'sympathetic')",0.7402315,0.6122599,-0.1279716
11,1.3501368,1.3778125,"('unhelpful', 'helpful')",1.3501368,1.3778125,0.0276757
12,-1.6861707,-1.6784587,"('unsupportive', 'supportive')",-1.6861707,-1.6784587,0.007712
13,-0.6841887,-0.8349072,"('impolite', 'polite')",-0.6841887,-0.8349072,-0.1507185
14,-0.34796268,-0.48008582,"('antisocial', 'social')",-0.3479627,-0.4800858,-0.1321231
15,-0.035191625,-0.12380943,"('boring', 'funny')",-0.0351916,-0.1238094,-0.0886178
16,-0.5551441,-0.46967003,"('unpopular', 'popular')",-0.5551441,-0.46967,0.0854741
17,-0.53040034,-0.44014892,"('nasty', 'nice')",-0.5304003,-0.4401489,0.0902514
18,-0.100113146,-0.23471653,"('disagreeable', 'welcoming')",-0.1001131,-0.2347165,-0.1346034
19,-0.341296,-0.27876878,"('inhospitable', 'hospitable')",-0.341296,-0.2787688,0.0625272
