,northern_male,northern_female,tuple,trust_male,trust_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.10021233,-0.16009092,"('unsociable', 'sociable')",-0.16799779,-0.17029347,-0.05027803,-0.06721628,-0.1061627,-0.1325336,-0.0263709
1,-0.7537421,-0.78613377,"('unfriendly', 'friendly')",-0.5702077,-0.67961067,1.5047315,1.3244342,0.0602606,-0.0471034,-0.107364
2,0.4041409,0.46889153,"('unlikable', 'likable')",1.9606783,1.9938488,0.5724626,0.5653024,0.9790939,1.0093476,0.0302537
3,0.44470885,0.5411149,"('repellent', 'pleasant')",0.3395878,0.5538484,0.8675524,0.9591852,0.5506163,0.6847161,0.1340998
4,-0.72380924,-0.78692734,"('disliked', 'liked')",-0.19413745,-0.23087244,-7.5034842,-7.743283,-2.8071435,-2.9203609,-0.1132174
5,-1.4161344,-1.4610903,"('distant', 'outgoing')",-0.4297514,-0.48376128,-0.57711834,-0.68939847,-0.8076681,-0.8780834,-0.0704153
6,-1.4915811,-1.4996121,"('distant', 'open')",-0.3272477,-0.40669268,-0.2708978,-0.4139441,-0.6965756,-0.7734163,-0.0768407
7,0.81057703,0.8526074,"('insensitive', 'sensitive')",0.89067686,1.0384169,0.74033844,0.8001003,0.8138641,0.8970416,0.0831775
8,-0.26729643,-0.26081088,"('unaffectionate', 'affectionate')",-0.560617,-0.6705715,0.72397333,0.56557256,-0.0346467,-0.1219366,-0.0872899
9,-0.056188602,-0.019002955,"('unaffectionate', 'caring')",0.055903174,0.0018613073,1.2682627,1.2163407,0.4226591,0.399733,-0.0229261
10,0.84429586,0.92441064,"('unsympathetic', 'sympathetic')",-0.3340127,-0.23409137,-0.18352327,-0.06245301,0.10892,0.2092888,0.1003688
11,0.013622008,0.054875366,"('unhelpful', 'helpful')",0.6102735,0.6686681,1.7792903,1.8872623,0.8010619,0.8702686,0.0692067
12,1.1091819,1.2191097,"('unsupportive', 'supportive')",0.6565511,0.85499924,-2.0955067,-2.096869,-0.1099246,-0.0075867,0.1023379
13,-0.09404789,-0.12897417,"('impolite', 'polite')",0.4074018,0.4943189,-0.71973467,-0.59627086,-0.1354603,-0.0769754,0.0584849
