,ashram_male,ashram_female,tuple,average_male,average_female,female-male
0,0.28224775,0.10645102,"('unsociable', 'sociable')",0.2822478,0.106451,-0.1757968
1,0.5646846,0.42623347,"('unfriendly', 'friendly')",0.5646846,0.4262335,-0.1384511
2,0.28074324,0.336918,"('unlikable', 'likable')",0.2807432,0.336918,0.0561748
3,-1.3186841,-1.1790682,"('repellent', 'pleasant')",-1.3186841,-1.1790682,0.1396159
4,-1.6876111,-1.7902778,"('disliked', 'liked')",-1.6876111,-1.7902778,-0.1026667
5,0.82828987,0.8096908,"('distant', 'outgoing')",0.8282899,0.8096908,-0.0185991
6,0.94544387,0.9162801,"('distant', 'open')",0.9454439,0.9162801,-0.0291638
7,-0.44445187,-0.42585123,"('insensitive', 'sensitive')",-0.4444519,-0.4258512,0.0186007
8,0.47969216,0.29811478,"('unaffectionate', 'affectionate')",0.4796922,0.2981148,-0.1815774
9,0.525615,0.41118675,"('unaffectionate', 'caring')",0.525615,0.4111868,-0.1144282
10,-1.5390743,-1.5042156,"('unsympathetic', 'sympathetic')",-1.5390743,-1.5042156,0.0348587
11,0.24744703,0.3337447,"('unhelpful', 'helpful')",0.247447,0.3337447,0.0862977
12,-0.7600597,-0.7122866,"('unsupportive', 'supportive')",-0.7600597,-0.7122866,0.0477731
13,-1.2970895,-1.2620574,"('impolite', 'polite')",-1.2970895,-1.2620574,0.0350321
14,-1.1992217,-1.0789998,"('antisocial', 'social')",-1.1992217,-1.0789998,0.1202219
15,1.3504115,1.3084251,"('boring', 'funny')",1.3504115,1.3084251,-0.0419864
16,0.80801326,0.7146616,"('unpopular', 'popular')",0.8080133,0.7146616,-0.0933517
17,-0.04292997,-0.029837187,"('nasty', 'nice')",-0.04293,-0.0298372,0.0130928
18,0.43806702,0.3720126,"('disagreeable', 'welcoming')",0.438067,0.3720126,-0.0660544
19,0.28042108,0.27298784,"('inhospitable', 'hospitable')",0.2804211,0.2729878,-0.0074333
20,-0.17547774,-0.18395606,"('rough', 'thoughtful')",-0.1754777,-0.1839561,-0.0084784
21,-0.6689661,-0.6484399,"('immoral', 'moral')",-0.6689661,-0.6484399,0.0205262
22,-0.16747127,-0.13386455,"('untrustworthy', 'trustworthy')",-0.1674713,-0.1338646,0.0336067
23,1.8325727,1.9056219,"('insincere', 'sincere')",1.8325727,1.9056219,0.0730492
24,0.23217848,0.1920584,"('dishonest', 'honest')",0.2321785,0.1920584,-0.0401201
25,0.9398825,0.80288935,"('egoistic', 'altruistic')",0.9398825,0.8028893,-0.1369932
26,1.8226697,1.7044803,"('hardhearted', 'benevolent')",1.8226697,1.7044803,-0.1181894
27,-0.17665237,-0.3418323,"('hardhearted', 'softhearted')",-0.1766524,-0.3418323,-0.1651799
