,lounge_male,lounge_female,tuple,average_male,average_female,female-male
0,0.7625214,0.7040993,"('unsociable', 'sociable')",0.7625214,0.7040993,-0.0584221
1,1.7991523,1.867952,"('unfriendly', 'friendly')",1.7991523,1.867952,0.0687997
2,0.41487628,0.5045533,"('unlikable', 'likable')",0.4148763,0.5045533,0.089677
3,0.94728667,0.95394206,"('repellent', 'pleasant')",0.9472867,0.9539421,0.0066554
4,-7.386113,-7.320364,"('disliked', 'liked')",-7.3861132,-7.320364,0.0657492
5,-0.40589947,-0.20685321,"('distant', 'outgoing')",-0.4058995,-0.2068532,0.1990463
6,-0.060896296,0.14932337,"('distant', 'open')",-0.0608963,0.1493234,0.2102197
7,1.6867435,1.6924443,"('insensitive', 'sensitive')",1.6867435,1.6924443,0.0057008
8,1.1912794,1.1061836,"('unaffectionate', 'affectionate')",1.1912794,1.1061836,-0.0850958
9,2.0497906,2.1678023,"('unaffectionate', 'caring')",2.0497906,2.1678023,0.1180117
10,0.94323426,0.8180878,"('unsympathetic', 'sympathetic')",0.9432343,0.8180878,-0.1251465
11,2.317227,2.4011738,"('unhelpful', 'helpful')",2.3172269,2.4011738,0.0839469
12,-1.1372681,-1.115246,"('unsupportive', 'supportive')",-1.1372681,-1.1152461,0.022022
13,0.46972725,0.32855672,"('impolite', 'polite')",0.4697272,0.3285567,-0.1411705
14,0.35318217,0.29266292,"('antisocial', 'social')",0.3531822,0.2926629,-0.0605193
15,0.41875774,0.31881952,"('boring', 'funny')",0.4187577,0.3188195,-0.0999382
16,-0.2876621,-0.10648674,"('unpopular', 'popular')",-0.2876621,-0.1064867,0.1811754
17,-0.14824118,-0.13568646,"('nasty', 'nice')",-0.1482412,-0.1356865,0.0125547
18,-0.26278588,-0.22008052,"('disagreeable', 'welcoming')",-0.2627859,-0.2200805,0.0427054
19,-0.43018737,-0.26465148,"('inhospitable', 'hospitable')",-0.4301874,-0.2646515,0.1655359
20,0.45860672,0.29886523,"('rough', 'thoughtful')",0.4586067,0.2988652,-0.1597415
21,-0.055043608,-0.030428965,"('immoral', 'moral')",-0.0550436,-0.030429,0.0246146
22,-0.39884186,-0.27383482,"('untrustworthy', 'trustworthy')",-0.3988419,-0.2738348,0.1250071
23,7.205493,7.2616396,"('insincere', 'sincere')",7.205493,7.2616396,0.0561466
24,1.9948525,1.9886286,"('dishonest', 'honest')",1.9948525,1.9886286,-0.0062239
25,0.92288405,0.9403252,"('egoistic', 'altruistic')",0.922884,0.9403252,0.0174412
26,0.61425394,0.5428807,"('hardhearted', 'benevolent')",0.6142539,0.5428807,-0.0713732
27,1.7686474,1.6087612,"('hardhearted', 'softhearted')",1.7686474,1.6087612,-0.1598862
28,1.1637542,1.1028556,"('disloyal', 'loyal')",1.1637542,1.1028556,-0.0608986
29,-0.4915466,-0.58694494,"('unfair', 'fair')",-0.4915466,-0.5869449,-0.0953983
30,1.3230809,1.3669002,"('intolerant', 'tolerant')",1.3230809,1.3669002,0.0438193
31,-1.5669464,-1.4349589,"('evil', 'good')",-1.5669464,-1.4349589,0.1319875
32,1.406496,1.2248408,"('unkind', 'kind')",1.406496,1.2248408,-0.1816552
33,0.04241384,0.13302149,"('wrong', 'right')",0.0424138,0.1330215,0.0906077
34,4.846501,5.1202817,"('mean', 'honorable')",4.8465009,5.1202817,0.2737808
35,-1.2998499,-1.3111125,"('corrupt', 'incorrupt')",-1.2998499,-1.3111125,-0.0112626
36,-1.1748742,-1.0556384,"('hostile', 'amicable')",-1.1748742,-1.0556384,0.1192358
37,1.0463786,0.94848377,"('fake', 'genuine')",1.0463786,0.9484838,-0.0978948
38,0.43925098,0.5228329,"('untruthful', 'truthful')",0.439251,0.5228329,0.0835819
39,0.39422268,0.5001064,"('exploitative', 'cooperative')",0.3942227,0.5001064,0.1058837
40,-1.3418745,-1.5576386,"('stingy', 'generous')",-1.3418745,-1.5576386,-0.2157641
41,0.30032724,0.19188942,"('unforgiving', 'forgiving')",0.3003272,0.1918894,-0.1084378
42,-2.3650324,-2.3529458,"('unreliable', 'reliable')",-2.3650324,-2.3529458,0.0120866
43,1.5395637,1.5370433,"('irresponsible', 'responsible')",1.5395637,1.5370433,-0.0025204
44,-1.8900647,-1.9573257,"('prejudiced', 'unprejudiced')",-1.8900647,-1.9573257,-0.067261
