,under_male,under_female,tuple,armour_male,armour_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.09334905,-0.31229633,"('unsociable', 'sociable')",0.6295349,0.52216554,-0.4683941,-0.5305153,0.0225973,-0.106882,-0.1294793
1,-1.3495946,-1.485984,"('unfriendly', 'friendly')",1.2831684,1.1220238,2.0560644,1.9485528,0.6632127,0.5281976,-0.1350151
2,-0.50644416,-0.36046615,"('unlikable', 'likable')",1.0474145,1.1995951,0.25299072,0.3950122,0.2646537,0.4113804,0.1467267
3,-0.06944856,-0.022209767,"('repellent', 'pleasant')",-1.436379,-1.3813671,0.26849997,0.28259087,-0.4124425,-0.373662,0.0387805
4,-0.80299187,-0.9728029,"('disliked', 'liked')",0.079949036,0.08459777,-6.521283,-6.567707,-2.4147754,-2.485304,-0.0705286
5,-1.5646942,-1.6061633,"('distant', 'outgoing')",0.50797,0.52163976,0.3465201,0.28853336,-0.2367347,-0.26533,-0.0285953
6,-1.2613289,-1.2411895,"('distant', 'open')",0.7719722,0.71737933,0.6412861,0.54328537,0.0506431,0.0064917,-0.0441514
7,0.98284954,1.025777,"('insensitive', 'sensitive')",0.43122607,0.4074587,1.2216365,1.264391,0.8785707,0.8992089,0.0206382
8,-1.8097262,-1.8428303,"('unaffectionate', 'affectionate')",0.7146431,0.72832984,1.3440481,1.1834657,0.0829883,0.0229884,-0.0599999
9,-1.1950301,-1.2492555,"('unaffectionate', 'caring')",0.66182554,0.7010251,1.3265606,1.2917091,0.264452,0.2478262,-0.0166258
10,0.60522085,0.5825611,"('unsympathetic', 'sympathetic')",0.3836761,0.34742284,-0.16170079,-0.113927245,0.2757321,0.2720189,-0.0037132
11,-0.47369856,-0.36656362,"('unhelpful', 'helpful')",-0.70155317,-0.69100696,1.310767,1.5611777,0.0451718,0.1678691,0.1226973
12,0.44335303,0.53875756,"('unsupportive', 'supportive')",1.5424125,1.5884689,-1.833566,-1.7518508,0.0507332,0.1251252,0.074392
13,0.3469416,0.4131788,"('impolite', 'polite')",0.23522003,0.23328233,-1.0983745,-0.9081339,-0.172071,-0.0872243,0.0848467
14,0.8438009,0.7197752,"('antisocial', 'social')",0.4760863,0.43525845,-0.45080677,-0.3285205,0.2896935,0.2755044,-0.0141891
15,1.0919483,1.0150057,"('boring', 'funny')",1.1325576,1.0522599,0.93471336,0.8746359,1.0530731,0.9806338,-0.0724393
16,-2.0353355,-1.9996439,"('unpopular', 'popular')",-1.0445758,-0.96961886,-0.33657378,-0.29620457,-1.1388284,-1.0884891,0.0503393
17,-0.08381447,0.021078032,"('nasty', 'nice')",-0.276354,-0.18621549,-0.06518589,-0.006803332,-0.1417848,-0.0573136,0.0844712
18,-0.43885377,-0.25932717,"('disagreeable', 'welcoming')",-0.92210966,-0.8835878,-0.80127186,-0.7476652,-0.7207451,-0.6301934,0.0905517
19,-2.028682,-1.9117324,"('inhospitable', 'hospitable')",0.011906099,0.11543058,0.3274855,0.42404062,-0.5630968,-0.4574204,0.1056764
20,-0.13535689,-0.055290274,"('rough', 'thoughtful')",0.14757383,0.10930559,0.9514179,0.86718076,0.3212116,0.3070654,-0.0141462
21,0.30581418,0.4085173,"('immoral', 'moral')",0.1387052,0.12294863,-1.1943175,-0.95596105,-0.2499327,-0.1414984,0.1084343
22,0.62761223,0.6375202,"('untrustworthy', 'trustworthy')",-0.42017207,-0.49302015,-0.5444814,-0.5219811,-0.1123471,-0.125827,-0.0134799
23,0.37847984,0.5403197,"('insincere', 'sincere')",0.25273427,0.23318246,5.744514,5.8176765,2.1252427,2.1970596,0.0718169
24,0.42627394,0.4440088,"('dishonest', 'honest')",0.5929689,0.5510863,0.88437474,0.82192516,0.6345392,0.6056734,-0.0288658
25,-0.3470168,-0.5142201,"('egoistic', 'altruistic')",0.42408672,0.45418322,1.560292,1.4571925,0.5457873,0.4657185,-0.0800688
26,0.8445896,0.6444833,"('hardhearted', 'benevolent')",2.3530424,2.188373,2.084765,2.03629,1.7607989,1.6230488,-0.1377501
27,0.21622357,0.24957587,"('hardhearted', 'softhearted')",0.38170528,0.30333662,1.6388334,1.4129361,0.7455874,0.6552829,-0.0903045
28,0.06014114,-0.12949833,"('disloyal', 'loyal')",0.72198033,0.5974706,1.168586,1.0289377,0.6502358,0.49897,-0.1512658
29,-0.097528376,-0.25367406,"('unfair', 'fair')",-1.2002219,-1.2937258,-0.13179412,-0.36726636,-0.4765148,-0.6382221,-0.1617073
30,0.60558665,0.7753998,"('intolerant', 'tolerant')",0.8536708,0.8638958,0.7556809,0.87689656,0.7383127,0.8387307,0.100418
31,-2.0256703,-2.1371822,"('evil', 'good')",0.04781184,0.028347746,-0.37267756,-0.58494157,-0.783512,-0.8979254,-0.1144134
32,-0.68565995,-0.6254824,"('unkind', 'kind')",0.8432609,0.8319316,0.8028587,0.73873895,0.3201532,0.3150627,-0.0050905
33,-1.1660715,-1.129362,"('wrong', 'right')",0.9740116,0.97806,-0.19051722,-0.29915166,-0.1275257,-0.1501512,-0.0226255
34,-0.68669486,-0.41145933,"('mean', 'honorable')",-0.11155772,0.041560546,5.339997,5.630277,1.5139147,1.7534595,0.2395448
35,-1.2680764,-1.4222013,"('corrupt', 'incorrupt')",0.5166601,0.46287033,0.22546245,-0.098005116,-0.175318,-0.3524454,-0.1771274
36,-2.0766053,-2.2057407,"('hostile', 'amicable')",0.4722155,0.40479076,0.12613223,-0.14306608,-0.4927525,-0.6480053,-0.1552528
37,-0.23684923,0.012898808,"('fake', 'genuine')",0.11463204,0.21909353,0.66938156,0.68817014,0.1823881,0.3067208,0.1243327
