,hartford_male,hartford_female,tuple,financial_male,financial_female,svcs_male,svcs_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,female-male
0,0.22565217,0.16542497,"('unsociable', 'sociable')",0.7364124,0.5698371,-0.13063237,-0.2775046,0.42259648,0.2837201,0.16013965,0.07255949,0.2828337,0.1628074,-0.1200263
1,0.4252753,0.37112856,"('unfriendly', 'friendly')",0.2556816,0.08386793,-1.9154727,-1.9643978,-1.4741445,-1.6375583,1.3749717,1.2575155,-0.2667377,-0.3778888,-0.1111511
2,0.7520321,0.82992697,"('unlikable', 'likable')",2.7963731,2.84469,1.3622208,1.4296877,1.2331372,1.3135207,0.7447191,0.8280988,1.3776964,1.4491849,0.0714885
3,0.056034956,0.12658879,"('repellent', 'pleasant')",-0.13278681,-0.13310562,0.4244681,0.40287414,0.52549684,0.49964297,0.630617,0.6643826,0.300766,0.3120766,0.0113106
4,-0.7484584,-0.76749843,"('disliked', 'liked')",-0.592579,-0.63373077,-0.85672706,-0.82721096,-0.77470857,-0.7699689,-6.189231,-6.3346853,-1.8323408,-1.8666189,-0.0342781
5,-0.28540218,-0.33076358,"('distant', 'outgoing')",-0.23444751,-0.23316678,-1.2015578,-1.0733182,-1.7281402,-1.6777328,-0.95917195,-0.95452404,-0.8817439,-0.8539011,0.0278428
6,-0.962443,-0.9495801,"('distant', 'open')",-1.022178,-1.0252798,-1.7615486,-1.5991489,-1.829567,-1.7561715,-0.12969561,-0.12610528,-1.1410864,-1.0912571,0.0498293
7,1.8891559,1.8907279,"('insensitive', 'sensitive')",1.1804637,1.2041883,0.57704586,0.54096615,0.8163156,0.75631595,1.0637879,1.162903,1.1053538,1.1110203,0.0056665
8,-0.4488999,-0.5104766,"('unaffectionate', 'affectionate')",-0.31835046,-0.38974467,-2.2455702,-2.2334535,-1.8436192,-1.903605,0.21188353,0.14700714,-0.9289112,-0.9780545,-0.0491433
9,0.7890292,0.7094905,"('unaffectionate', 'caring')",1.1375824,1.0403256,-1.5469432,-1.5481492,-1.2509935,-1.333697,1.017302,1.027109,0.0291954,-0.0209842,-0.0501796
10,1.4542924,1.4596314,"('unsympathetic', 'sympathetic')",0.3292088,0.29929644,-0.12631258,-0.22298847,0.47724172,0.3494318,0.562609,0.5530126,0.5394078,0.4876768,-0.051731
11,0.5505915,0.53297055,"('unhelpful', 'helpful')",1.5413144,1.5065846,0.6639308,0.6542546,0.54170716,0.4955098,2.3175519,2.353644,1.123019,1.1085927,-0.0144263
12,1.4451088,1.4868475,"('unsupportive', 'supportive')",1.8337458,1.9118665,-0.08131937,0.00894242,-0.5108031,-0.43928754,-1.6157537,-1.5906901,0.2141957,0.2755358,0.0613401
13,1.1595713,1.1537993,"('impolite', 'polite')",1.5281011,1.5814648,0.99941534,0.96873724,1.1818533,1.1530524,0.29486734,0.3081726,1.0327618,1.0330453,0.0002835
14,1.131068,1.105006,"('antisocial', 'social')",2.024239,2.0180142,1.0846472,1.0171914,1.591234,1.5619361,-0.13087878,-0.12315326,1.1400619,1.1157989,-0.024263
