,mob_male,mob_female,tuple,average_male,average_female,female-male
0,-0.09709148,-0.08891907,"('unsociable', 'sociable')",-0.0970915,-0.0889191,0.0081724
1,1.0022022,0.8750101,"('unfriendly', 'friendly')",1.0022022,0.8750101,-0.1271921
2,0.5856591,0.7079219,"('unlikable', 'likable')",0.5856591,0.7079219,0.1222628
3,0.78665596,0.8405023,"('repellent', 'pleasant')",0.786656,0.8405023,0.0538463
4,-6.9389687,-7.1349354,"('disliked', 'liked')",-6.9389687,-7.1349354,-0.1959667
5,-0.29495674,-0.3924044,"('distant', 'outgoing')",-0.2949567,-0.3924044,-0.0974477
6,0.10695861,-0.043411344,"('distant', 'open')",0.1069586,-0.0434113,-0.1503699
7,0.70138156,0.83045566,"('insensitive', 'sensitive')",0.7013816,0.8304557,0.1290741
8,0.894329,0.79332703,"('unaffectionate', 'affectionate')",0.894329,0.793327,-0.101002
9,1.3471017,1.3580934,"('unaffectionate', 'caring')",1.3471017,1.3580934,0.0109917
10,1.1312616,1.227859,"('unsympathetic', 'sympathetic')",1.1312616,1.227859,0.0965974
11,1.3242565,1.387081,"('unhelpful', 'helpful')",1.3242565,1.387081,0.0628245
12,-1.687218,-1.6917266,"('unsupportive', 'supportive')",-1.687218,-1.6917266,-0.0045086
13,-0.18026191,-0.075638816,"('impolite', 'polite')",-0.1802619,-0.0756388,0.1046231
14,-0.1709549,-0.16290706,"('antisocial', 'social')",-0.1709549,-0.1629071,0.0080478
15,0.17533386,0.066421196,"('boring', 'funny')",0.1753339,0.0664212,-0.1089127
16,-0.4161763,-0.43668783,"('unpopular', 'popular')",-0.4161763,-0.4366878,-0.0205115
17,-0.16287859,-0.18570969,"('nasty', 'nice')",-0.1628786,-0.1857097,-0.0228311
18,-0.1988418,-0.23365982,"('disagreeable', 'welcoming')",-0.1988418,-0.2336598,-0.034818
19,-0.69705975,-0.74081075,"('inhospitable', 'hospitable')",-0.6970598,-0.7408108,-0.043751
20,0.68160874,0.65375733,"('rough', 'thoughtful')",0.6816087,0.6537573,-0.0278514
21,0.017347164,0.22749051,"('immoral', 'moral')",0.0173472,0.2274905,0.2101433
22,0.022208096,0.003492061,"('untrustworthy', 'trustworthy')",0.0222081,0.0034921,-0.018716
23,5.423062,5.5515594,"('insincere', 'sincere')",5.4230618,5.5515594,0.1284976
24,1.4632449,1.4530351,"('dishonest', 'honest')",1.4632449,1.4530351,-0.0102098
25,0.45117986,0.3992729,"('egoistic', 'altruistic')",0.4511799,0.3992729,-0.051907
26,0.6594919,0.48503244,"('hardhearted', 'benevolent')",0.6594919,0.4850324,-0.1744595
27,1.4880887,1.2970647,"('hardhearted', 'softhearted')",1.4880887,1.2970647,-0.191024
28,0.9395095,0.9117148,"('disloyal', 'loyal')",0.9395095,0.9117148,-0.0277947
29,-0.41005957,-0.5411076,"('unfair', 'fair')",-0.4100596,-0.5411076,-0.131048
30,0.851467,0.910135,"('intolerant', 'tolerant')",0.851467,0.910135,0.058668
31,-1.3435159,-1.482943,"('evil', 'good')",-1.3435159,-1.4829431,-0.1394272
32,1.0198016,1.0163546,"('unkind', 'kind')",1.0198016,1.0163546,-0.003447
33,-0.3276058,-0.38655478,"('wrong', 'right')",-0.3276058,-0.3865548,-0.058949
34,3.8014808,4.0446277,"('mean', 'honorable')",3.8014808,4.0446277,0.2431469
35,-1.1206844,-1.3948655,"('corrupt', 'incorrupt')",-1.1206844,-1.3948655,-0.2741811
36,-0.6447741,-0.8206312,"('hostile', 'amicable')",-0.6447741,-0.8206312,-0.1758571
37,0.84324867,0.87681913,"('fake', 'genuine')",0.8432487,0.8768191,0.0335704
38,-0.69526714,-0.61539453,"('untruthful', 'truthful')",-0.6952671,-0.6153945,0.0798726
39,0.10551749,0.19098683,"('exploitative', 'cooperative')",0.1055175,0.1909868,0.0854693
40,-1.1434711,-1.3512053,"('stingy', 'generous')",-1.1434711,-1.3512053,-0.2077342
41,0.31927222,0.25963998,"('unforgiving', 'forgiving')",0.3192722,0.25964,-0.0596322
42,-1.6841252,-1.7023678,"('unreliable', 'reliable')",-1.6841252,-1.7023678,-0.0182426
43,1.0191303,1.1288596,"('irresponsible', 'responsible')",1.0191303,1.1288596,0.1097293
