,attacker_male,attacker_female,tuple,average_male,average_female,female-male
0,-0.009942532,-0.09372524,"('unsociable', 'sociable')",-0.0099425,-0.0937252,-0.0837827
1,1.6771965,1.5483102,"('unfriendly', 'friendly')",1.6771965,1.5483102,-0.1288863
2,-0.16238639,-0.11747395,"('unlikable', 'likable')",-0.1623864,-0.117474,0.0449124
3,0.42743602,0.5028377,"('repellent', 'pleasant')",0.427436,0.5028377,0.0754017
4,-7.6544614,-7.632979,"('disliked', 'liked')",-7.6544614,-7.6329789,0.0214825
5,-0.15375382,-0.18675777,"('distant', 'outgoing')",-0.1537538,-0.1867578,-0.033004
6,0.48718488,0.36730692,"('distant', 'open')",0.4871849,0.3673069,-0.119878
7,1.0549214,1.1249495,"('insensitive', 'sensitive')",1.0549214,1.1249495,0.0700281
8,1.3328527,1.2241169,"('unaffectionate', 'affectionate')",1.3328527,1.2241169,-0.1087358
9,1.9174892,1.844096,"('unaffectionate', 'caring')",1.9174892,1.8440959,-0.0733933
10,1.0293144,1.0865842,"('unsympathetic', 'sympathetic')",1.0293144,1.0865842,0.0572698
11,1.95204,1.9430629,"('unhelpful', 'helpful')",1.95204,1.9430629,-0.0089771
12,-1.4882349,-1.524244,"('unsupportive', 'supportive')",-1.4882349,-1.524244,-0.0360091
13,-0.13919424,-0.14448592,"('impolite', 'polite')",-0.1391942,-0.1444859,-0.0052917
14,-0.18941163,-0.13329943,"('antisocial', 'social')",-0.1894116,-0.1332994,0.0561122
15,-0.06346762,-0.07394903,"('boring', 'funny')",-0.0634676,-0.073949,-0.0104814
16,-0.5248185,-0.520464,"('unpopular', 'popular')",-0.5248185,-0.520464,0.0043545
17,-0.4391719,-0.40520722,"('nasty', 'nice')",-0.4391719,-0.4052072,0.0339647
18,0.115361854,0.010791689,"('disagreeable', 'welcoming')",0.1153619,0.0107917,-0.1045702
19,-0.6206094,-0.66086483,"('inhospitable', 'hospitable')",-0.6206094,-0.6608648,-0.0402554
20,1.1581023,1.0783099,"('rough', 'thoughtful')",1.1581023,1.0783099,-0.0797924
21,-0.53930336,-0.44890904,"('immoral', 'moral')",-0.5393034,-0.448909,0.0903944
22,-0.57483834,-0.5884798,"('untrustworthy', 'trustworthy')",-0.5748383,-0.5884798,-0.0136415
23,6.7996325,6.79289,"('insincere', 'sincere')",6.7996325,6.7928901,-0.0067424
24,1.8540686,1.7136327,"('dishonest', 'honest')",1.8540686,1.7136327,-0.1404359
25,1.050245,0.9363098,"('egoistic', 'altruistic')",1.050245,0.9363098,-0.1139352
26,0.7930707,0.71016157,"('hardhearted', 'benevolent')",0.7930707,0.7101616,-0.0829091
27,1.9770021,1.7485836,"('hardhearted', 'softhearted')",1.9770021,1.7485836,-0.2284185
28,1.5967886,1.4829301,"('disloyal', 'loyal')",1.5967886,1.4829301,-0.1138585
29,-0.47019905,-0.57799464,"('unfair', 'fair')",-0.470199,-0.5779946,-0.1077956
30,0.9662565,0.94887316,"('intolerant', 'tolerant')",0.9662565,0.9488732,-0.0173833
31,-1.0768049,-1.1206794,"('evil', 'good')",-1.0768049,-1.1206794,-0.0438745
32,1.2314763,1.1595165,"('unkind', 'kind')",1.2314763,1.1595165,-0.0719598
33,-0.4246511,-0.551279,"('wrong', 'right')",-0.4246511,-0.551279,-0.1266279
34,4.982952,5.064696,"('mean', 'honorable')",4.9829521,5.0646958,0.0817437
35,-0.58692944,-0.7966958,"('corrupt', 'incorrupt')",-0.5869294,-0.7966958,-0.2097664
36,-0.48101705,-0.6307674,"('hostile', 'amicable')",-0.4810171,-0.6307674,-0.1497503
37,0.916688,0.94726956,"('fake', 'genuine')",0.916688,0.9472696,0.0305816
38,0.14579554,0.08552281,"('untruthful', 'truthful')",0.1457955,0.0855228,-0.0602727
39,0.40547788,0.38246673,"('exploitative', 'cooperative')",0.4054779,0.3824667,-0.0230112
40,-1.3772391,-1.4467196,"('stingy', 'generous')",-1.3772391,-1.4467196,-0.0694805
41,0.23729466,0.1531431,"('unforgiving', 'forgiving')",0.2372947,0.1531431,-0.0841516
42,-2.76796,-2.6616018,"('unreliable', 'reliable')",-2.7679601,-2.6616018,0.1063583
43,1.3507096,1.3125981,"('irresponsible', 'responsible')",1.3507096,1.3125981,-0.0381115
44,-1.2721423,-1.1710733,"('prejudiced', 'unprejudiced')",-1.2721423,-1.1710733,0.101069
45,0.14097309,0.15591466,"('incompetent', 'competent')",0.1409731,0.1559147,0.0149416
46,-0.7437612,-0.75411826,"('uncompetitive', 'competitive')",-0.7437612,-0.7541183,-0.0103571
47,5.2547703,5.34372,"('stupid', 'smart')",5.2547703,5.34372,0.0889497
48,0.6614735,0.57632816,"('unintelligent', 'intelligent')",0.6614735,0.5763282,-0.0851453
49,0.5272176,0.5346586,"('unable', 'able')",0.5272176,0.5346586,0.007441
50,-0.33710867,-0.36700585,"('clumsy', 'skillful')",-0.3371087,-0.3670059,-0.0298972
51,0.4980992,0.5211504,"('uneducated', 'educated')",0.4980992,0.5211504,0.0230512
52,-0.55844885,-0.6852717,"('irrational', 'rational')",-0.5584489,-0.6852717,-0.1268228
53,0.09527572,0.021010168,"('uncreative', 'creative')",0.0952757,0.0210102,-0.0742655
54,1.2781804,1.2930173,"('incapable', 'capable')",1.2781804,1.2930173,0.0148369
55,0.90999436,0.90110165,"('incompetent', 'clever')",0.9099944,0.9011016,-0.0088928
56,0.29899785,0.33140895,"('impractical', 'practical')",0.2989978,0.3314089,0.0324111
57,-3.0984833,-2.9758823,"('unimaginative', 'imaginative')",-3.0984833,-2.9758823,0.122601
58,0.30450985,0.3166769,"('undiscriminating', 'discriminating')",0.3045098,0.3166769,0.0121671
59,-0.23912504,-0.23151529,"('foolish', 'wise')",-0.239125,-0.2315153,0.0076097
60,0.6980444,0.76791734,"('inefficient', 'efficient')",0.6980444,0.7679173,0.0698729
61,0.7671129,0.48808646,"('illogical', 'logical')",0.7671129,0.4880865,-0.2790264
