,surgery_male,surgery_female,tuple,average_male,average_female,female-male
0,0.22599632,0.19012864,"('unsociable', 'sociable')",0.2259963,0.1901286,-0.0358677
1,1.3285781,1.122232,"('unfriendly', 'friendly')",1.3285781,1.122232,-0.2063461
2,-0.008650341,0.019556098,"('unlikable', 'likable')",-0.0086503,0.0195561,0.0282064
3,0.4512232,0.61998636,"('repellent', 'pleasant')",0.4512232,0.6199864,0.1687632
4,-7.3910127,-7.6357093,"('disliked', 'liked')",-7.3910127,-7.6357093,-0.2446966
5,-0.47039014,-0.58898866,"('distant', 'outgoing')",-0.4703901,-0.5889887,-0.1185986
6,0.00350184,-0.18468595,"('distant', 'open')",0.0035018,-0.1846859,-0.1881877
7,0.9274854,1.0377496,"('insensitive', 'sensitive')",0.9274854,1.0377496,0.1102642
8,1.5694885,1.2547716,"('unaffectionate', 'affectionate')",1.5694885,1.2547716,-0.3147169
9,2.183932,2.0668228,"('unaffectionate', 'caring')",2.1839321,2.0668228,-0.1171093
10,1.0142831,1.2142832,"('unsympathetic', 'sympathetic')",1.0142831,1.2142832,0.2000001
11,2.123639,2.2698019,"('unhelpful', 'helpful')",2.1236391,2.2698019,0.1461628
12,-1.354215,-1.4134558,"('unsupportive', 'supportive')",-1.354215,-1.4134558,-0.0592408
13,-0.2127113,-0.036665447,"('impolite', 'polite')",-0.2127113,-0.0366654,0.1760459
14,-0.09576449,-0.03594446,"('antisocial', 'social')",-0.0957645,-0.0359445,0.05982
15,0.14040786,0.021583822,"('boring', 'funny')",0.1404079,0.0215838,-0.1188241
16,-0.15842907,-0.29511794,"('unpopular', 'popular')",-0.1584291,-0.2951179,-0.1366888
17,-0.04944011,-0.017623855,"('nasty', 'nice')",-0.0494401,-0.0176239,0.0318162
18,-0.50937605,-0.53979945,"('disagreeable', 'welcoming')",-0.509376,-0.5397995,-0.0304235
19,-0.47557145,-0.5940974,"('inhospitable', 'hospitable')",-0.4755715,-0.5940974,-0.1185259
20,0.5823333,0.6058323,"('rough', 'thoughtful')",0.5823333,0.6058323,0.023499
21,-0.37194145,-0.07155098,"('immoral', 'moral')",-0.3719414,-0.071551,0.3003904
22,-0.7484244,-0.62174106,"('untrustworthy', 'trustworthy')",-0.7484244,-0.6217411,0.1266833
23,6.390917,6.543588,"('insincere', 'sincere')",6.3909168,6.5435882,0.1526714
24,1.3749051,1.3573583,"('dishonest', 'honest')",1.3749051,1.3573583,-0.0175468
25,0.56529105,0.4082411,"('egoistic', 'altruistic')",0.565291,0.4082411,-0.1570499
26,1.2354716,0.9024737,"('hardhearted', 'benevolent')",1.2354716,0.9024737,-0.3329979
27,1.7218918,1.5518702,"('hardhearted', 'softhearted')",1.7218918,1.5518702,-0.1700216
28,1.2660481,1.1985846,"('disloyal', 'loyal')",1.2660481,1.1985846,-0.0674635
29,-0.58439434,-0.67898744,"('unfair', 'fair')",-0.5843943,-0.6789874,-0.0945931
30,0.82065576,0.94651425,"('intolerant', 'tolerant')",0.8206558,0.9465142,0.1258584
31,-1.1072493,-1.3804319,"('evil', 'good')",-1.1072493,-1.3804319,-0.2731826
32,1.5928648,1.5018214,"('unkind', 'kind')",1.5928648,1.5018214,-0.0910434
33,-0.3342741,-0.50080776,"('wrong', 'right')",-0.3342741,-0.5008078,-0.1665337
34,4.940898,5.0563393,"('mean', 'honorable')",4.9408979,5.0563393,0.1154414
35,-0.77948046,-1.1561179,"('corrupt', 'incorrupt')",-0.7794805,-1.1561179,-0.3766374
36,-0.52705413,-0.8762364,"('hostile', 'amicable')",-0.5270541,-0.8762364,-0.3491823
37,0.7283062,0.7548428,"('fake', 'genuine')",0.7283062,0.7548428,0.0265366
38,-0.03445638,-0.033532552,"('untruthful', 'truthful')",-0.0344564,-0.0335326,0.0009238
39,-0.041094266,0.085216306,"('exploitative', 'cooperative')",-0.0410943,0.0852163,0.1263106
40,-1.797032,-1.9484252,"('stingy', 'generous')",-1.797032,-1.9484252,-0.1513932
41,0.27999243,0.24712382,"('unforgiving', 'forgiving')",0.2799924,0.2471238,-0.0328686
42,-2.5039427,-2.383206,"('unreliable', 'reliable')",-2.5039427,-2.3832059,0.1207368
43,1.2298266,1.4056927,"('irresponsible', 'responsible')",1.2298266,1.4056927,0.1758661
44,-1.4665037,-1.2800184,"('prejudiced', 'unprejudiced')",-1.4665037,-1.2800184,0.1864853
45,0.26180974,0.23119876,"('incompetent', 'competent')",0.2618097,0.2311988,-0.0306109
46,-1.0091765,-0.7787831,"('uncompetitive', 'competitive')",-1.0091765,-0.7787831,0.2303934
47,5.311498,5.4662914,"('stupid', 'smart')",5.3114982,5.4662914,0.1547932
48,0.5536464,0.6341226,"('unintelligent', 'intelligent')",0.5536464,0.6341226,0.0804762
49,-0.108702354,0.09111029,"('unable', 'able')",-0.1087024,0.0911103,0.1998127
50,-0.4373346,-0.4919457,"('clumsy', 'skillful')",-0.4373346,-0.4919457,-0.0546111
51,0.1908237,0.24861178,"('uneducated', 'educated')",0.1908237,0.2486118,0.0577881
52,-0.112212636,-0.5170226,"('irrational', 'rational')",-0.1122126,-0.5170226,-0.40481
53,0.074342206,-0.031658266,"('uncreative', 'creative')",0.0743422,-0.0316583,-0.1060005
54,0.9730089,1.0189902,"('incapable', 'capable')",0.9730089,1.0189902,0.0459813
55,0.4306205,0.6586379,"('incompetent', 'clever')",0.4306205,0.6586379,0.2280174
56,0.44348428,0.57462126,"('impractical', 'practical')",0.4434843,0.5746213,0.131137
57,-2.8318877,-2.8210547,"('unimaginative', 'imaginative')",-2.8318877,-2.8210547,0.010833
58,0.17174533,0.12915707,"('undiscriminating', 'discriminating')",0.1717453,0.1291571,-0.0425882
59,0.24315755,0.082200564,"('foolish', 'wise')",0.2431576,0.0822006,-0.160957
60,0.339325,0.7680849,"('inefficient', 'efficient')",0.339325,0.7680849,0.4287599
61,0.34547195,0.24421829,"('illogical', 'logical')",0.3454719,0.2442183,-0.1012536
62,0.60218227,0.8483409,"('incompetent', 'brilliant')",0.6021823,0.8483409,0.2461586
63,0.08392334,0.20893112,"('unperceptive', 'insightful')",0.0839233,0.2089311,0.1250078
64,-6.86405,-6.704198,"('shy', 'confident')",-6.8640499,-6.7041979,0.159852
