,timetable_male,timetable_female,tuple,average_male,average_female,female-male
0,0.6522973,0.49511176,"('unsociable', 'sociable')",0.6522973,0.4951118,-0.1571855
1,0.7948462,0.8629518,"('unfriendly', 'friendly')",0.7948462,0.8629518,0.0681056
2,0.32034323,0.6129136,"('unlikable', 'likable')",0.3203432,0.6129136,0.2925704
3,0.91651726,1.0322798,"('repellent', 'pleasant')",0.9165173,1.0322798,0.1157625
4,-7.37075,-7.3274117,"('disliked', 'liked')",-7.37075,-7.3274117,0.0433383
5,-1.1079922,-0.70805657,"('distant', 'outgoing')",-1.1079922,-0.7080566,0.3999356
6,-0.8826579,-0.54030067,"('distant', 'open')",-0.8826579,-0.5403007,0.3423572
7,1.5416552,1.3487134,"('insensitive', 'sensitive')",1.5416552,1.3487134,-0.1929418
8,0.51353663,0.5605038,"('unaffectionate', 'affectionate')",0.5135366,0.5605038,0.0469672
9,1.2377195,1.2854943,"('unaffectionate', 'caring')",1.2377195,1.2854943,0.0477748
10,2.0211933,2.0155225,"('unsympathetic', 'sympathetic')",2.0211933,2.0155225,-0.0056708
11,2.3621702,2.3148906,"('unhelpful', 'helpful')",2.3621702,2.3148906,-0.0472796
12,-1.1963018,-1.191458,"('unsupportive', 'supportive')",-1.1963018,-1.191458,0.0048438
13,0.8304812,0.85815376,"('impolite', 'polite')",0.8304812,0.8581538,0.0276726
14,0.22894992,0.054643944,"('antisocial', 'social')",0.2289499,0.0546439,-0.174306
15,0.15337087,0.15986311,"('boring', 'funny')",0.1533709,0.1598631,0.0064922
16,-0.72890055,-0.6413064,"('unpopular', 'popular')",-0.7289006,-0.6413064,0.0875942
17,-0.34594452,-0.26630867,"('nasty', 'nice')",-0.3459445,-0.2663087,0.0796358
18,-1.1762174,-1.1104833,"('disagreeable', 'welcoming')",-1.1762174,-1.1104833,0.0657341
19,-0.990211,-0.67131215,"('inhospitable', 'hospitable')",-0.990211,-0.6713122,0.3188988
20,0.92444396,0.67125887,"('rough', 'thoughtful')",0.924444,0.6712589,-0.2531851
21,0.4902104,0.7711456,"('immoral', 'moral')",0.4902104,0.7711456,0.2809352
22,0.004591219,-0.011248512,"('untrustworthy', 'trustworthy')",0.0045912,-0.0112485,-0.0158397
23,6.638426,6.5865355,"('insincere', 'sincere')",6.6384258,6.5865355,-0.0518903
24,1.8947798,1.9561858,"('dishonest', 'honest')",1.8947798,1.9561858,0.061406
25,-0.24968113,-0.22106765,"('egoistic', 'altruistic')",-0.2496811,-0.2210677,0.0286134
26,0.34730244,-0.060685597,"('hardhearted', 'benevolent')",0.3473024,-0.0606856,-0.407988
27,1.602914,1.4611036,"('hardhearted', 'softhearted')",1.602914,1.4611036,-0.1418104
28,1.1988702,1.116358,"('disloyal', 'loyal')",1.1988702,1.116358,-0.0825122
29,-0.44075742,-0.5750401,"('unfair', 'fair')",-0.4407574,-0.5750401,-0.1342827
30,0.9683061,1.1526178,"('intolerant', 'tolerant')",0.9683061,1.1526178,0.1843117
31,-2.0862005,-2.0259924,"('evil', 'good')",-2.0862005,-2.0259924,0.0602081
32,1.7912475,1.584904,"('unkind', 'kind')",1.7912475,1.584904,-0.2063435
33,-0.6874546,-0.57527757,"('wrong', 'right')",-0.6874546,-0.5752776,0.112177
34,4.401681,4.677722,"('mean', 'honorable')",4.4016809,4.677722,0.2760411
35,-1.8333703,-1.8549652,"('corrupt', 'incorrupt')",-1.8333703,-1.8549652,-0.0215949
36,-1.9056334,-1.8244863,"('hostile', 'amicable')",-1.9056334,-1.8244863,0.0811471
37,1.1978393,1.2134801,"('fake', 'genuine')",1.1978393,1.2134801,0.0156408
38,0.025739893,0.15562573,"('untruthful', 'truthful')",0.0257399,0.1556257,0.1298858
39,0.22911486,0.19122641,"('exploitative', 'cooperative')",0.2291149,0.1912264,-0.0378885
40,-1.5646029,-1.7974408,"('stingy', 'generous')",-1.5646029,-1.7974408,-0.2328379
41,0.16252998,0.1394338,"('unforgiving', 'forgiving')",0.16253,0.1394338,-0.0230962
42,-1.7643814,-1.7154223,"('unreliable', 'reliable')",-1.7643814,-1.7154223,0.0489591
43,1.7076193,1.8440844,"('irresponsible', 'responsible')",1.7076193,1.8440844,0.1364651
44,-1.1482058,-1.1976986,"('prejudiced', 'unprejudiced')",-1.1482058,-1.1976986,-0.0494928
45,1.3564578,1.1627635,"('incompetent', 'competent')",1.3564578,1.1627635,-0.1936943
46,0.46456498,0.4128971,"('uncompetitive', 'competitive')",0.464565,0.4128971,-0.0516679
47,5.563297,5.796367,"('stupid', 'smart')",5.5632968,5.7963672,0.2330704
48,0.7389286,0.70434034,"('unintelligent', 'intelligent')",0.7389286,0.7043403,-0.0345883
49,0.10495958,0.41478157,"('unable', 'able')",0.1049596,0.4147816,0.309822
50,-0.40300047,-0.36830223,"('clumsy', 'skillful')",-0.4030005,-0.3683022,0.0346983
51,0.80558604,0.84457403,"('uneducated', 'educated')",0.805586,0.844574,0.038988
52,-1.0076708,-0.99635804,"('irrational', 'rational')",-1.0076708,-0.996358,0.0113128
53,-0.27241206,-0.25275958,"('uncreative', 'creative')",-0.2724121,-0.2527596,0.0196525
54,1.0068637,1.2618512,"('incapable', 'capable')",1.0068637,1.2618512,0.2549875
55,1.5297433,1.4859347,"('incompetent', 'clever')",1.5297433,1.4859347,-0.0438086
56,1.5430248,1.4627482,"('impractical', 'practical')",1.5430248,1.4627482,-0.0802766
57,-1.8658787,-1.9328467,"('unimaginative', 'imaginative')",-1.8658787,-1.9328467,-0.066968
58,0.08866769,0.018423066,"('undiscriminating', 'discriminating')",0.0886677,0.0184231,-0.0702446
59,-0.55626297,-0.4752042,"('foolish', 'wise')",-0.556263,-0.4752042,0.0810588
60,1.8865305,1.9881564,"('inefficient', 'efficient')",1.8865305,1.9881564,0.1016259
61,0.47790337,0.34077767,"('illogical', 'logical')",0.4779034,0.3407777,-0.1371257
62,1.9709942,2.087008,"('incompetent', 'brilliant')",1.9709942,2.087008,0.1160138
63,0.901266,1.0866761,"('unperceptive', 'insightful')",0.901266,1.0866761,0.1854101
64,-5.265224,-5.210499,"('shy', 'confident')",-5.265224,-5.2104988,0.0547252
65,1.2136434,1.2089813,"('insecure', 'secure')",1.2136434,1.2089813,-0.0046621
66,-0.17246674,-0.27367887,"('inactive', 'active')",-0.1724667,-0.2736789,-0.1012122
67,0.0668036,0.09587073,"('doubtful', 'determined')",0.0668036,0.0958707,0.0290671
68,-0.91372454,-0.64802945,"('dependent', 'independent')",-0.9137245,-0.6480294,0.2656951
69,-2.6400032,-2.5152142,"('lazy', 'industrious')",-2.6400032,-2.5152142,0.124789
70,2.3547478,2.2765303,"('lethargic', 'energetic')",2.3547478,2.2765303,-0.0782175
71,0.29185557,0.26917756,"('diffident', 'self-confident')",0.2918556,0.2691776,-0.022678
72,1.3626735,1.331808,"('unambitious', 'ambitious')",1.3626735,1.331808,-0.0308655
73,-3.1784694,-3.116228,"('helpless', 'self-reliant')",-3.1784694,-3.1162281,0.0622413
74,0.7317906,0.4688099,"('undedicated', 'dedicated')",0.7317906,0.4688099,-0.2629807
75,-0.8753536,-0.7452542,"('meek', 'impulsive')",-0.8753536,-0.7452542,0.1300994
76,1.0918895,1.0684392,"('anxious', 'daring')",1.0918895,1.0684392,-0.0234503
77,-0.9691484,-0.8518539,"('unmotivated', 'motivated')",-0.9691484,-0.8518539,0.1172945
78,-0.47187856,-0.51005644,"('nonresilient', 'resilient')",-0.4718786,-0.5100564,-0.0381778
79,-1.0561355,-0.8979441,"('wavering', 'unwavering')",-1.0561355,-0.8979441,0.1581914
80,0.79008746,0.51732975,"('dominated', 'dominating')",0.7900875,0.5173298,-0.2727577
81,1.0274473,1.0289074,"('submissive', 'aggressive')",1.0274473,1.0289074,0.0014601
82,6.615976,6.8815722,"('poor', 'rich')",6.6159759,6.8815722,0.2655963
83,-0.046452697,-0.09914929,"('powerless', 'powerful')",-0.0464527,-0.0991493,-0.0526966
84,-0.09272526,-0.13993426,"('inferior', 'superior')",-0.0927253,-0.1399343,-0.047209
85,-2.4433293,-2.4330795,"('insignificant', 'prestigious')",-2.4433293,-2.4330795,0.0102498
86,1.1866182,1.1622419,"('uninfluential', 'influential')",1.1866182,1.1622419,-0.0243763
87,0.37433246,0.38684517,"('unsuccessful', 'successful')",0.3743325,0.3868452,0.0125127
88,0.09443882,0.157123,"('low', 'eminent')",0.0944388,0.157123,0.0626842
