,model_male,model_female,tuple,average_male,average_female,female-male
0,0.22353838,0.23617148,"('unsociable', 'sociable')",0.2235384,0.2361715,0.0126331
1,0.8831574,1.0614679,"('unfriendly', 'friendly')",0.8831574,1.0614679,0.1783105
2,0.16221766,0.22756891,"('unlikable', 'likable')",0.1622177,0.2275689,0.0653512
3,0.57226586,0.53607666,"('repellent', 'pleasant')",0.5722659,0.5360767,-0.0361892
4,-7.2953086,-7.44713,"('disliked', 'liked')",-7.2953086,-7.4471302,-0.1518216
5,-0.7804486,-0.6630508,"('distant', 'outgoing')",-0.7804486,-0.6630508,0.1173978
6,-0.38160712,-0.33687368,"('distant', 'open')",-0.3816071,-0.3368737,0.0447334
7,1.059862,1.1363568,"('insensitive', 'sensitive')",1.059862,1.1363568,0.0764948
8,0.6442172,0.66423136,"('unaffectionate', 'affectionate')",0.6442172,0.6642314,0.0200142
9,1.3332477,1.4259197,"('unaffectionate', 'caring')",1.3332477,1.4259197,0.092672
10,0.7858734,0.8568739,"('unsympathetic', 'sympathetic')",0.7858734,0.8568739,0.0710005
11,1.7322335,1.8775717,"('unhelpful', 'helpful')",1.7322335,1.8775717,0.1453382
12,-1.4568219,-1.447893,"('unsupportive', 'supportive')",-1.4568219,-1.447893,0.0089289
13,0.14561422,0.19649622,"('impolite', 'polite')",0.1456142,0.1964962,0.050882
14,0.4581555,0.35101885,"('antisocial', 'social')",0.4581555,0.3510188,-0.1071367
15,0.14966384,0.11412442,"('boring', 'funny')",0.1496638,0.1141244,-0.0355394
16,-0.35810822,-0.29517,"('unpopular', 'popular')",-0.3581082,-0.29517,0.0629382
17,-0.13534813,-0.031046916,"('nasty', 'nice')",-0.1353481,-0.0310469,0.1043012
18,-0.3917346,-0.44450435,"('disagreeable', 'welcoming')",-0.3917346,-0.4445044,-0.0527698
19,-0.75976545,-0.6774246,"('inhospitable', 'hospitable')",-0.7597654,-0.6774246,0.0823408
20,0.9714048,0.912618,"('rough', 'thoughtful')",0.9714048,0.912618,-0.0587868
21,-0.061866153,0.012575878,"('immoral', 'moral')",-0.0618662,0.0125759,0.0744421
22,-0.35162163,-0.35659486,"('untrustworthy', 'trustworthy')",-0.3516216,-0.3565949,-0.0049733
23,6.6482277,6.8625855,"('insincere', 'sincere')",6.6482277,6.8625855,0.2143578
24,1.300292,1.3137879,"('dishonest', 'honest')",1.300292,1.3137879,0.0134959
25,0.19167097,0.13685215,"('egoistic', 'altruistic')",0.191671,0.1368521,-0.0548189
26,0.929351,0.9132152,"('hardhearted', 'benevolent')",0.929351,0.9132152,-0.0161358
27,1.3929342,1.2691054,"('hardhearted', 'softhearted')",1.3929342,1.2691054,-0.1238288
28,1.0917996,1.1146704,"('disloyal', 'loyal')",1.0917996,1.1146704,0.0228708
29,-0.35303655,-0.44102436,"('unfair', 'fair')",-0.3530366,-0.4410244,-0.0879878
30,1.222129,1.23826,"('intolerant', 'tolerant')",1.222129,1.23826,0.016131
31,-1.852411,-1.866706,"('evil', 'good')",-1.852411,-1.866706,-0.014295
32,1.280373,1.350756,"('unkind', 'kind')",1.280373,1.350756,0.070383
33,-0.29650933,-0.35222888,"('wrong', 'right')",-0.2965093,-0.3522289,-0.0557196
34,4.619798,4.930859,"('mean', 'honorable')",4.6197982,4.9308591,0.3110609
35,-0.91323864,-1.1489888,"('corrupt', 'incorrupt')",-0.9132386,-1.1489888,-0.2357502
36,-1.1597279,-1.2283863,"('hostile', 'amicable')",-1.1597279,-1.2283863,-0.0686584
37,0.5241364,0.5682268,"('fake', 'genuine')",0.5241364,0.5682268,0.0440904
38,-0.03407652,0.18425779,"('untruthful', 'truthful')",-0.0340765,0.1842578,0.2183343
39,0.66368264,0.556692,"('exploitative', 'cooperative')",0.6636826,0.556692,-0.1069906
40,-1.8125622,-2.0161593,"('stingy', 'generous')",-1.8125622,-2.0161593,-0.2035971
41,0.099473946,0.07236682,"('unforgiving', 'forgiving')",0.0994739,0.0723668,-0.0271071
42,-2.728738,-2.749348,"('unreliable', 'reliable')",-2.7287381,-2.7493479,-0.0206098
43,1.5087011,1.6912856,"('irresponsible', 'responsible')",1.5087011,1.6912856,0.1825845
44,-1.0450382,-1.0391479,"('prejudiced', 'unprejudiced')",-1.0450382,-1.0391479,0.0058903
45,0.32146972,0.27028117,"('incompetent', 'competent')",0.3214697,0.2702812,-0.0511885
46,-0.44026142,-0.4756483,"('uncompetitive', 'competitive')",-0.4402614,-0.4756483,-0.0353869
47,5.4755745,5.6836934,"('stupid', 'smart')",5.4755745,5.6836934,0.2081189
48,0.4625442,0.4690113,"('unintelligent', 'intelligent')",0.4625442,0.4690113,0.0064671
49,0.19573823,0.21370387,"('unable', 'able')",0.1957382,0.2137039,0.0179657
50,-0.44905132,-0.40326396,"('clumsy', 'skillful')",-0.4490513,-0.403264,0.0457873
51,0.63350505,0.5430392,"('uneducated', 'educated')",0.633505,0.5430392,-0.0904658
52,-0.6654877,-0.8669081,"('irrational', 'rational')",-0.6654877,-0.8669081,-0.2014204
53,0.037658364,0.09415576,"('uncreative', 'creative')",0.0376584,0.0941558,0.0564974
54,1.0326278,1.114209,"('incapable', 'capable')",1.0326278,1.1142091,0.0815813
55,0.8303419,0.81590164,"('incompetent', 'clever')",0.8303419,0.8159016,-0.0144403
56,1.0041707,1.0977956,"('impractical', 'practical')",1.0041707,1.0977956,0.0936249
57,-2.9576488,-3.0597527,"('unimaginative', 'imaginative')",-2.9576488,-3.0597527,-0.1021039
58,-0.014400719,0.0015969053,"('undiscriminating', 'discriminating')",-0.0144007,0.0015969,0.0159976
59,-0.051386945,-0.12548965,"('foolish', 'wise')",-0.0513869,-0.1254897,-0.0741028
60,1.0019416,1.1418324,"('inefficient', 'efficient')",1.0019416,1.1418324,0.1398908
61,0.5491632,0.40809137,"('illogical', 'logical')",0.5491632,0.4080914,-0.1410718
62,0.5686372,0.5931773,"('incompetent', 'brilliant')",0.5686372,0.5931773,0.0245401
63,0.35399175,0.44055685,"('unperceptive', 'insightful')",0.3539917,0.4405569,0.0865652
64,-5.9902844,-6.150353,"('shy', 'confident')",-5.9902844,-6.150353,-0.1600686
65,0.23399717,0.19555405,"('insecure', 'secure')",0.2339972,0.195554,-0.0384432
66,-0.13901629,-0.24026638,"('inactive', 'active')",-0.1390163,-0.2402664,-0.1012501
67,-0.059242263,0.0018695062,"('doubtful', 'determined')",-0.0592423,0.0018695,0.0611118
68,-0.5765739,-0.5996857,"('dependent', 'independent')",-0.5765739,-0.5996857,-0.0231118
69,-1.9060438,-2.0062807,"('lazy', 'industrious')",-1.9060438,-2.0062807,-0.1002369
70,1.2064122,1.1503663,"('lethargic', 'energetic')",1.2064122,1.1503663,-0.0560459
71,0.8918724,0.90177065,"('diffident', 'self-confident')",0.8918724,0.9017707,0.0098983
72,0.5155211,0.5280917,"('unambitious', 'ambitious')",0.5155211,0.5280917,0.0125706
73,-3.1306803,-3.0604227,"('helpless', 'self-reliant')",-3.1306803,-3.0604227,0.0702576
74,0.4663041,0.41747501,"('undedicated', 'dedicated')",0.4663041,0.417475,-0.0488291
75,-0.9243881,-0.88633835,"('meek', 'impulsive')",-0.9243881,-0.8863384,0.0380497
76,0.60826844,0.60354877,"('anxious', 'daring')",0.6082684,0.6035488,-0.0047196
