,berkshire_male,berkshire_female,tuple,hathaway_male,hathaway_female,inc_male,inc_female,del_male,del_female,average_male,average_female,female-male
0,0.19091067,0.16440997,"('unsociable', 'sociable')",-2.1464016,-2.1750689,-0.37500647,-0.5203187,-0.6988582,-0.65265346,-0.7573389,-0.7959078,-0.0385689
1,0.15582931,0.16929506,"('unfriendly', 'friendly')",-0.18043494,-0.20915969,0.21687351,0.07043801,2.2535157,2.177438,0.6114459,0.5520028,-0.0594431
2,0.18245721,0.29265505,"('unlikable', 'likable')",0.23752402,0.29950112,1.1448959,1.2342418,-0.12452047,-0.043827876,0.3600892,0.4456425,0.0855533
3,-0.6716265,-0.5982296,"('repellent', 'pleasant')",-1.6980971,-1.6164382,-0.34889776,-0.29414907,0.8106572,0.861287,-0.476991,-0.4118825,0.0651085
4,0.43509868,0.37077427,"('disliked', 'liked')",1.5423355,1.5437114,0.42259526,0.2782331,-6.645134,-6.8108997,-1.0612762,-1.1545453,-0.0932691
5,-0.7625389,-0.7589044,"('distant', 'outgoing')",1.3730125,1.4008356,-0.10676505,-0.13673352,0.3335366,0.21514148,0.2093113,0.1800848,-0.0292265
6,-0.7222012,-0.7301606,"('distant', 'open')",1.5043613,1.5369904,-0.13125178,-0.1804276,1.2563909,1.1761882,0.4768248,0.4506476,-0.0261772
7,1.0860473,1.1109202,"('insensitive', 'sensitive')",-1.3097237,-1.2788595,0.19955896,0.21488991,0.740273,0.8686067,0.1790389,0.2288893,0.0498504
8,0.40776163,0.447098,"('unaffectionate', 'affectionate')",0.47027314,0.44059104,-0.6974977,-0.7480231,1.4867768,1.397202,0.4168285,0.384217,-0.0326115
9,1.3185993,1.3302331,"('unaffectionate', 'caring')",0.04108648,0.037997127,-0.3210757,-0.3413668,1.3707356,1.372221,0.6023364,0.5997711,-0.0025653
10,0.67981446,0.7342096,"('unsympathetic', 'sympathetic')",-3.6955922,-3.6555896,-0.81025976,-0.8385519,-0.7623892,-0.5948513,-1.1471066,-1.0886959,0.0584107
11,-0.8403516,-0.7901209,"('unhelpful', 'helpful')",-2.5207677,-2.4750874,-0.40952423,-0.37262943,-0.26301774,-0.16948676,-1.0084153,-0.9518311,0.0565842
12,1.3712565,1.4732609,"('unsupportive', 'supportive')",-0.984866,-0.88155705,0.3746561,0.44251683,-2.1885493,-2.1348567,-0.3568757,-0.275159,0.0817167
13,-0.39008304,-0.40341556,"('impolite', 'polite')",-2.4727356,-2.487096,-0.43580157,-0.4394925,-0.9493011,-0.8619994,-1.0619804,-1.0480008,0.0139796
