,tracksuit_male,tracksuit_female,tuple,average_male,average_female,female-male
0,0.49638873,0.43149704,"('unsociable', 'sociable')",0.4963887,0.431497,-0.0648917
1,0.8065431,0.6014177,"('unfriendly', 'friendly')",0.8065431,0.6014177,-0.2051254
2,0.18665825,0.23141868,"('unlikable', 'likable')",0.1866582,0.2314187,0.0447605
3,0.5051756,0.5684067,"('repellent', 'pleasant')",0.5051756,0.5684067,0.0632311
4,-3.879941,-3.9639187,"('disliked', 'liked')",-3.879941,-3.9639187,-0.0839777
5,-1.022572,-1.0923321,"('distant', 'outgoing')",-1.022572,-1.0923321,-0.0697601
6,-0.504112,-0.6310606,"('distant', 'open')",-0.504112,-0.6310606,-0.1269486
7,1.1478169,1.2280807,"('insensitive', 'sensitive')",1.1478169,1.2280807,0.0802638
8,0.19356415,0.07443415,"('unaffectionate', 'affectionate')",0.1935641,0.0744341,-0.11913
9,0.85788584,0.7821911,"('unaffectionate', 'caring')",0.8578858,0.7821911,-0.0756947
10,0.6257815,0.67978424,"('unsympathetic', 'sympathetic')",0.6257815,0.6797842,0.0540027
11,0.8437865,0.90685517,"('unhelpful', 'helpful')",0.8437865,0.9068552,0.0630687
12,-0.84968823,-0.8293881,"('unsupportive', 'supportive')",-0.8496882,-0.8293881,0.0203001
13,0.017385907,0.05937373,"('impolite', 'polite')",0.0173859,0.0593737,0.0419878
14,0.5395957,0.5538617,"('antisocial', 'social')",0.5395957,0.5538617,0.014266
15,0.13822481,0.09579315,"('boring', 'funny')",0.1382248,0.0957932,-0.0424316
16,-0.19643608,-0.23561694,"('unpopular', 'popular')",-0.1964361,-0.2356169,-0.0391808
17,-0.36082795,-0.2891456,"('nasty', 'nice')",-0.360828,-0.2891456,0.0716824
18,-0.5436356,-0.55412155,"('disagreeable', 'welcoming')",-0.5436356,-0.5541216,-0.010486
19,-1.8604757,-1.8470013,"('inhospitable', 'hospitable')",-1.8604757,-1.8470013,0.0134744
20,0.17611581,0.18023153,"('rough', 'thoughtful')",0.1761158,0.1802315,0.0041157
21,0.5261627,0.59208816,"('immoral', 'moral')",0.5261627,0.5920882,0.0659255
22,0.2925255,0.27175584,"('untrustworthy', 'trustworthy')",0.2925255,0.2717558,-0.0207697
23,3.5069675,3.5538223,"('insincere', 'sincere')",3.5069675,3.5538223,0.0468548
24,0.904754,0.87520295,"('dishonest', 'honest')",0.904754,0.875203,-0.029551
25,0.57056946,0.44135755,"('egoistic', 'altruistic')",0.5705695,0.4413576,-0.1292119
26,0.6880709,0.616198,"('hardhearted', 'benevolent')",0.6880709,0.616198,-0.0718729
27,0.31566113,0.23084693,"('hardhearted', 'softhearted')",0.3156611,0.2308469,-0.0848142
28,0.9100093,0.75302374,"('disloyal', 'loyal')",0.9100093,0.7530237,-0.1569856
29,0.04341395,-0.05599561,"('unfair', 'fair')",0.0434139,-0.0559956,-0.0994095
30,0.8324765,0.88051575,"('intolerant', 'tolerant')",0.8324765,0.8805158,0.0480393
31,-1.1321228,-1.1555104,"('evil', 'good')",-1.1321228,-1.1555104,-0.0233876
32,1.1222589,1.0506784,"('unkind', 'kind')",1.1222589,1.0506784,-0.0715805
33,0.06796493,0.014775351,"('wrong', 'right')",0.0679649,0.0147754,-0.0531895
34,2.7140596,2.8258448,"('mean', 'honorable')",2.7140596,2.8258448,0.1117852
35,-1.3264822,-1.5166159,"('corrupt', 'incorrupt')",-1.3264822,-1.5166159,-0.1901337
36,-0.76882267,-0.94303787,"('hostile', 'amicable')",-0.7688227,-0.9430379,-0.1742152
37,0.22275577,0.2162849,"('fake', 'genuine')",0.2227558,0.2162849,-0.0064709
38,0.23304299,0.19277796,"('untruthful', 'truthful')",0.233043,0.192778,-0.040265
39,-0.0123538785,0.09811042,"('exploitative', 'cooperative')",-0.0123539,0.0981104,0.1104643
40,-0.8907584,-0.9879706,"('stingy', 'generous')",-0.8907584,-0.9879706,-0.0972122
41,0.32918814,0.28349745,"('unforgiving', 'forgiving')",0.3291881,0.2834975,-0.0456906
42,-0.685569,-0.59307605,"('unreliable', 'reliable')",-0.685569,-0.5930761,0.0924929
43,0.66115427,0.747567,"('irresponsible', 'responsible')",0.6611543,0.747567,0.0864127
44,-1.0117478,-0.9733932,"('prejudiced', 'unprejudiced')",-1.0117478,-0.9733932,0.0383546
45,0.343242,0.28770807,"('incompetent', 'competent')",0.343242,0.2877081,-0.0555339
46,0.29884997,0.31697792,"('uncompetitive', 'competitive')",0.29885,0.3169779,0.0181279
47,3.0178976,3.066866,"('stupid', 'smart')",3.0178976,3.0668659,0.0489683
48,0.16318312,0.11108309,"('unintelligent', 'intelligent')",0.1631831,0.1110831,-0.0521
49,-0.59877986,-0.5149819,"('unable', 'able')",-0.5987799,-0.5149819,0.083798
50,-0.26842546,-0.31462726,"('clumsy', 'skillful')",-0.2684255,-0.3146273,-0.0462018
51,-0.22249177,-0.22146024,"('uneducated', 'educated')",-0.2224918,-0.2214602,0.0010316
52,-0.5334948,-0.68746793,"('irrational', 'rational')",-0.5334948,-0.6874679,-0.1539731
53,-0.024288967,-0.1730271,"('uncreative', 'creative')",-0.024289,-0.1730271,-0.1487381
54,0.09906311,0.1527457,"('incapable', 'capable')",0.0990631,0.1527457,0.0536826
55,0.7840743,0.8418796,"('incompetent', 'clever')",0.7840743,0.8418796,0.0578053
56,1.252167,1.2988118,"('impractical', 'practical')",1.252167,1.2988118,0.0466448
57,-1.2550454,-1.3141431,"('unimaginative', 'imaginative')",-1.2550454,-1.3141431,-0.0590977
58,0.25033554,0.25492942,"('undiscriminating', 'discriminating')",0.2503355,0.2549294,0.0045939
59,-0.20920034,-0.21783137,"('foolish', 'wise')",-0.2092003,-0.2178314,-0.0086311
60,1.2347692,1.3341483,"('inefficient', 'efficient')",1.2347692,1.3341483,0.0993791
61,0.8867028,0.75452024,"('illogical', 'logical')",0.8867028,0.7545202,-0.1321826
62,0.52318144,0.6387237,"('incompetent', 'brilliant')",0.5231814,0.6387237,0.1155423
